ass_cls_map_id,assay_id,assay_class_id
493002,45679,578
419289,45688,159
423954,45694,176
361012,45796,82
387583,45796,115
362144,45797,82
398408,45797,115
362609,45798,82
402955,45798,115
361576,45799,82
392635,45799,115
361137,45800,82
388298,45800,115
361252,45801,82
389772,45801,115
361209,45802,82
388699,45802,115
362374,45803,82
400658,45803,115
361688,45804,82
394080,45804,115
362346,45805,82
399787,45805,115
361253,45806,82
389773,45806,115
362610,45807,82
402956,45807,115
361809,45808,82
394735,45808,115
361254,45809,82
389774,45809,115
361933,45810,82
396374,45810,115
362183,45811,82
398617,45811,115
361904,45812,82
396186,45812,115
361255,45813,82
389775,45813,115
361456,45814,82
391236,45814,115
361013,45815,82
387584,45815,115
361256,45816,82
389776,45816,115
361131,45817,82
388269,45817,115
361681,45818,82
394072,45818,115
361244,45819,82
389764,45819,115
361222,45820,82
389080,45820,115
361902,45821,82
396183,45821,115
361682,45822,82
394073,45822,115
361476,45823,82
391961,45823,115
361650,45824,82
393049,45824,115
361245,45825,82
389765,45825,115
361246,45826,82
389766,45826,115
361247,45827,82
389767,45827,115
361647,45828,82
393037,45828,115
361009,45829,82
387577,45829,115
361683,45830,82
394074,45830,115
361010,45831,82
387578,45831,115
362795,45832,82
404065,45832,115
361684,45833,82
394075,45833,115
362143,45834,82
398404,45834,115
362367,45835,82
400649,45835,115
362559,45836,82
401794,45836,115
420417,45846,159
421232,45870,163
421333,45871,163
420921,45872,163
420702,45873,163
361481,45975,82
391968,45975,115
361721,45976,82
394280,45976,115
361695,45977,82
394090,45977,115
362617,45978,82
402964,45978,115
361264,45979,82
389784,45979,115
361021,45980,82
387593,45980,115
361545,45981,82
392411,45981,115
362383,45982,82
400668,45982,115
362618,45983,82
402965,45983,115
362151,45984,82
398416,45984,115
361692,45985,82
394086,45985,115
362106,45986,82
397339,45986,115
362148,45987,82
398412,45987,115
361910,45988,82
396193,45988,115
361693,45989,82
394087,45989,115
361261,45990,82
389781,45990,115
361680,45991,82
394071,45991,115
361008,45992,82
387576,45992,115
361242,45993,82
389761,45993,115
362600,45994,82
402944,45994,115
361475,45995,82
391960,45995,115
362601,45996,82
402945,45996,115
361696,45997,82
394091,45997,115
362811,45998,82
404477,45998,115
361022,45999,82
387594,45999,115
362619,46000,82
402966,46000,115
361265,46001,82
389785,46001,115
361697,46002,82
394092,46002,115
362620,46003,82
402967,46003,115
361698,46004,82
394093,46004,115
361266,46005,82
389786,46005,115
361690,46006,82
394083,46006,115
361907,46007,82
396189,46007,115
362115,46008,82
397587,46008,115
361691,46009,82
394084,46009,115
362376,46010,82
400660,46010,115
362377,46011,82
400661,46011,115
362146,46012,82
398410,46012,115
361257,46013,82
389777,46013,115
362614,46014,82
402960,46014,115
361258,46015,82
389778,46015,115
361908,46016,82
396190,46016,115
361909,46017,82
396191,46017,115
490731,46024,514
490381,46025,514
490147,46026,514
420203,46035,159
415721,46038,140
415722,46039,140
415295,46040,140
414869,46041,140
415878,46042,140
415296,46043,140
415879,46044,140
415014,46045,140
439798,46051,266
431620,46111,210
433169,46111,214
412733,46112,126
413016,46112,131
412719,46113,126
412874,46113,131
412771,46122,126
413524,46122,131
412732,46123,126
413015,46123,131
334812,46135,403
361687,46148,82
394079,46148,115
362608,46149,82
402954,46149,115
362615,46150,82
402962,46150,115
361694,46151,82
394088,46151,115
362149,46152,82
398413,46152,115
361015,46153,82
387586,46153,115
361262,46154,82
389782,46154,115
362119,46155,82
397726,46155,115
362379,46156,82
400663,46156,115
362380,46157,82
400664,46157,115
361016,46158,82
387587,46158,115
361017,46159,82
387588,46159,115
361480,46160,82
391967,46160,115
362381,46161,82
400665,46161,115
362616,46162,82
402963,46162,115
361018,46163,82
387589,46163,115
361263,46164,82
389783,46164,115
361019,46165,82
387590,46165,115
361020,46166,82
387591,46166,115
362382,46167,82
400666,46167,115
421336,46722,163
421292,46744,163
422645,46744,172
345614,46745,23
345300,46746,23
415300,46877,140
490918,46925,521
490919,46928,521
490920,46931,521
490963,47029,521
490968,47032,521
490939,47033,521
417380,47051,157
421984,47052,169
421734,47053,169
394066,47139,115
421613,47173,169
421555,47174,169
421675,47175,169
421865,47176,169
421556,47177,169
421866,47178,169
421925,47179,169
421926,47180,169
421676,47181,169
421927,47182,169
421733,47183,169
421732,47197,169
421793,47203,169
421821,47204,169
421794,47205,169
421983,47206,169
421864,47207,169
421710,47208,169
421924,47209,169
420812,47345,163
420813,47346,163
420922,47347,163
420814,47348,163
421487,47349,163
421334,47350,163
420418,47559,159
419878,47560,159
419271,47561,159
420419,47562,159
420420,47563,159
362373,47717,82
400656,47717,115
362607,47718,82
402953,47718,115
362558,47719,82
401793,47719,115
387582,47721,115
394078,47722,115
344932,47807,18
394081,47881,115
405422,47881,117
362150,47882,82
398415,47882,115
