prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19734,PRODUCT_021880_006,9056120,2023-04-11 00:00:00,0,0,U-1982,0,2015-07-09 00:00:00
19735,PRODUCT_210884_001,9610280,2030-06-16 00:00:00,0,1,U-1719,0,2019-02-21 00:00:00
19736,PRODUCT_022406_004,7592339,2020-12-11 00:00:00,0,0,U-2435,0,2018-11-08 00:00:00
19737,PRODUCT_208462_001,9175017,2029-06-16 00:00:00,0,0,U-2434,0,2015-12-14 00:00:00
19738,PRODUCT_202880_004,10092559,2034-09-12 00:00:00,0,0,U-55,0,2018-11-13 00:00:00
19739,PRODUCT_202880_006,10092559,2034-09-12 00:00:00,0,0,U-55,0,2018-11-13 00:00:00
19740,PRODUCT_208462_002,8003819,2027-08-06 00:00:00,1,1,U-2434,0,2015-12-14 00:00:00
19741,PRODUCT_208462_003,9233115,2024-08-12 00:00:00,0,0,U-2434,0,2016-02-08 00:00:00
19742,PRODUCT_208462_003,8530694,2027-08-06 00:00:00,1,1,U-2434,0,2015-12-14 00:00:00
19743,PRODUCT_208462_003,8003819,2027-08-06 00:00:00,1,1,U-2434,0,2015-12-14 00:00:00
19744,PRODUCT_208462_003,7442830,2027-08-06 00:00:00,1,1,U-2434,0,2015-12-14 00:00:00
19745,PRODUCT_209817_001,10124014,2029-03-05 00:00:00,0,0,U-2449,0,2018-12-11 00:00:00
19746,PRODUCT_204353_002,7943582,2029-02-26 00:00:00,1,1,U-2441,0,2014-09-04 00:00:00
19747,PRODUCT_204353_004,7943582,2029-02-26 00:00:00,1,1,U-2441,0,2014-09-04 00:00:00
19748,PRODUCT_204353_004,8513202,2027-12-03 00:00:00,1,1,U-2441,0,2014-09-04 00:00:00
19749,PRODUCT_204042_001,8513202,2027-12-03 00:00:00,1,1,U-2441,0,
19750,PRODUCT_205879_003,7943582,2029-02-26 00:00:00,1,1,U-2441,0,2016-10-14 00:00:00
19751,PRODUCT_022505_001,8435945,2023-08-14 00:00:00,0,0,U-1100,0,2018-12-10 00:00:00
19752,PRODUCT_207988_001,10183012,2028-11-26 00:00:00,0,0,U-2311,0,2019-02-21 00:00:00
19753,PRODUCT_203284_001,10183005,2030-09-22 00:00:00,0,0,U-1816,0,2019-02-21 00:00:00
19754,PRODUCT_208692_001,10034873,2031-07-18 00:00:00,0,0,U-2488,0,2019-02-12 00:00:00
19755,PRODUCT_211580_001,9421280,2025-11-24 00:00:00,0,0,U-2466,0,2018-12-20 00:00:00
19756,PRODUCT_211580_001,8406860,2029-04-09 00:00:00,0,0,U-2463,0,2018-12-20 00:00:00
19757,PRODUCT_211710_001,9447104,2029-10-21 00:00:00,0,0,U-2470,0,2018-12-20 00:00:00
19758,PRODUCT_208065_001,10183020,2035-01-02 00:00:00,0,1,U-2289,0,2019-02-12 00:00:00
19759,PRODUCT_210861_002,9782414,2035-11-16 00:00:00,0,0,U-2475,0,2018-12-20 00:00:00
19760,PRODUCT_208259_001,9096569,2026-07-11 00:00:00,1,1,U-1524,0,2019-03-28 00:00:00
19761,PRODUCT_202450_001,7078412,2020-07-07 00:00:00,1,1,U-2513,0,2012-08-17 00:00:00
19762,PRODUCT_205934_002,9763880,2033-09-30 00:00:00,0,0,U-2558,0,2019-06-28 00:00:00
19763,PRODUCT_205934_002,9763880,2033-09-30 00:00:00,0,0,U-2563,0,2019-06-28 00:00:00
19764,PRODUCT_209360_001,9572856,2030-11-20 00:00:00,0,0,U-2221,0,2018-01-22 00:00:00
19765,PRODUCT_209360_001,10335451,2029-12-16 00:00:00,0,0,U-2581,0,2019-07-26 00:00:00
19766,PRODUCT_208573_001,9174982,2030-05-26 00:00:00,0,0,U-2446,0,2016-05-04 00:00:00
19767,PRODUCT_203565_001,7754702,2028-02-15 00:00:00,0,1,U-2556,0,2013-09-12 00:00:00
19768,PRODUCT_205834_001,10039779,2034-01-30 00:00:00,1,1,U-2369,0,2018-08-29 00:00:00
19769,PRODUCT_207078_001,10335432,2032-02-10 00:00:00,0,0,U-2312,0,2019-07-25 00:00:00
19770,PRODUCT_201635_002,10314790,2027-11-16 00:00:00,0,1,U-1675,0,2019-07-09 00:00:00
