tid,component_id,targcomp_id,homologue
18036,3292,201,0
18066,3855,202,0
18072,2506,203,0
18078,3471,205,0
19634,5787,206,0
19640,1923,207,0
19655,2141,208,0
19702,2909,211,0
19903,2117,212,0
19912,222,213,0
20004,1753,214,0
20052,1857,215,0
20053,3,216,0
20072,2403,217,0
20075,2675,218,0
20076,3332,219,0
20079,2518,220,0
20088,1670,221,0
20092,2205,223,0
20099,2251,224,0
20114,1757,225,0
20120,1758,226,0
20129,2063,227,0
20161,2415,228,0
20168,3386,229,0
20177,2401,230,0
30000,2148,231,0
30002,2147,232,0
30010,2452,233,0
30012,2542,234,0
30013,2543,235,0
30024,2915,236,0
30043,2840,237,0
100190,3002,238,0
100211,3156,239,0
100226,2727,240,0
100241,2013,241,0
100244,2572,242,0
100271,2537,243,0
100309,2701,244,0
100322,3056,245,0
100323,3057,246,0
100324,3280,247,0
100411,3212,248,0
100419,2679,249,0
100423,4961,250,0
100427,3222,251,0
100435,2912,252,0
100444,3553,254,0
100450,2825,255,0
100468,2678,256,0
100473,2837,259,0
100479,3437,260,0
100482,3000,261,0
100486,2483,262,0
100596,2008,264,0
100621,2977,266,0
100623,2979,267,0
100644,3049,269,0
100655,2534,270,0
100660,3011,271,0
100670,3291,272,0
100787,2645,274,0
100795,3065,275,0
100796,3066,276,0
100800,1642,277,0
100817,632,278,0
100819,1818,279,0
100825,3498,280,0
100827,1865,281,0
100828,2984,282,0
100832,2987,283,0
100836,3165,284,0
100843,2831,285,0
100844,2832,286,0
100845,2833,287,0
100022,2802,289,0
100044,2671,290,0
100046,2588,291,0
100072,3819,292,0
100078,2539,293,0
100104,3545,294,0
100115,3820,295,0
100117,3821,296,0
100121,3283,297,0
100123,3060,298,0
100137,3480,299,0
100143,3890,300,0
100176,3825,303,0
100868,3786,304,0
100874,2102,305,0
100875,3792,306,0
100886,5405,307,0
100910,3609,309,0
100911,3610,310,0
100917,3616,311,0
100920,3619,312,0
100921,3620,313,0
100922,3621,314,0
100923,3622,315,0
100953,3632,316,0
100954,3633,317,0
100958,3637,318,0
100960,3639,319,0
100963,3677,320,0
100966,3680,321,0
100989,3755,322,0
100995,3761,323,0
101004,3802,324,0
101017,3857,325,0
101019,3859,326,0
101025,3865,327,0
101032,3895,328,0
101036,3899,329,0
101046,3356,330,0
101051,3361,331,0
101054,3388,332,0
101063,3397,333,0
101064,3398,334,0
101070,3403,335,0
101103,3487,336,0
101130,3558,337,0
101132,3560,338,0
101133,3561,339,0
101136,3564,340,0
101138,3566,341,0
101139,3567,342,0
101164,3648,343,0
101171,3691,344,0
101181,3701,345,0
101200,3764,346,0
101206,3770,347,0
101210,3774,348,0
101217,3807,349,0
101222,3812,350,0
101224,3814,351,0
101230,3842,352,0
101251,3311,353,0
101258,3318,354,0
101273,3964,355,0
101274,3965,356,0
101289,4013,357,0
101292,4016,358,0
101297,4072,359,0
101300,4075,360,0
101301,4076,361,0
101314,4135,362,0
101318,4139,363,0
101330,4195,364,0
101331,4196,365,0
101336,4201,366,0
101337,4252,367,0
101350,4306,368,0
101360,4316,369,0
101367,4364,370,0
101370,4367,371,0
101372,4369,372,0
101377,4418,373,0
101380,4421,374,0
101391,4469,375,0
101432,4632,376,0
101435,4635,377,0
101453,4693,378,0
101487,3930,379,0
101492,3974,380,0
101500,3982,381,0
101510,4027,382,0
101511,4028,383,0
101514,4031,384,0
101522,4088,385,0
101525,4091,386,0
101530,5120,387,0
101532,4097,388,0
101533,4098,389,0
101536,4101,390,0
101539,4144,391,0
101555,4205,392,0
101558,4208,393,0
101567,4217,394,0
101569,4218,395,0
101589,4326,396,0
101598,4377,397,0
101599,4378,398,0
101605,4384,399,0
101608,4431,400,0
101623,4485,401,0
103493,5183,402,0
103494,5184,403,0
103497,5365,404,0
103498,5224,405,0
103508,5233,406,0
103522,5112,407,0
103532,4803,409,0
103535,4806,410,0
103537,4808,411,0
103553,4819,412,0
103556,5347,413,0
103557,5348,414,0
103561,5352,415,0
103576,5403,416,0
103593,5161,417,0
103597,5292,418,0
103603,5111,419,0
103605,5299,420,0
103629,4834,421,0
103665,5147,422,0
103667,4890,423,0
103677,4921,424,0
103679,4923,425,0
103681,5149,426,0
103692,4963,427,0
103698,4968,428,0
103712,5040,429,0
103714,5005,430,0
103722,5013,431,0
103729,5075,432,0
103730,5076,433,0
103735,5134,434,0
103736,5154,435,0
103752,5193,436,0
103756,5059,438,0
103773,5235,439,0
103780,5065,441,0
103784,4800,442,0
103787,5077,443,0
103792,5534,444,0
103826,5269,445,0
103841,5276,446,0
103848,5099,447,0
103865,5454,448,0
103870,5458,449,0
103875,5463,450,0
103886,5086,451,0
103893,5092,452,0
103898,5513,453,0
103905,4940,454,0
103916,4950,455,0
103924,5202,457,0
103925,5236,458,0
103926,5237,459,0
103931,5238,460,0
103947,4879,461,0
103960,5525,462,0
103972,5220,463,0
103975,5329,464,0
104001,5429,466,0
104016,5484,469,0
104020,5164,470,0
104033,4862,472,0
104063,5517,473,0
104065,5519,474,0
104067,5521,475,0
104072,5311,476,0
104074,5313,477,0
104080,5318,478,0
104082,5320,479,0
104088,4909,480,0
104096,5029,481,0
104105,4913,482,0
104111,5325,483,0
104121,5377,484,0
104128,5416,485,0
104137,5425,486,0
104167,5049,487,0
104173,5055,488,0
104178,4983,489,0
104186,5664,490,0
104194,5673,491,0
104196,5675,492,0
104206,5709,493,0
104211,5728,494,0
104254,5575,495,0
104268,5763,496,0
104274,5769,497,0
104307,5578,498,0
104308,5579,499,0
104311,5582,500,0
104314,5558,501,0
104332,5685,502,0
104336,5689,503,0
104356,5585,504,0
104371,5615,505,0
104376,5620,507,0
104387,5710,508,0
104388,5711,509,0
104410,5745,510,0
104414,5749,511,0
104420,5697,512,0
104425,5702,513,0
104433,5760,514,0
104452,5654,515,0
104453,5655,516,0
104461,5663,517,0
104472,5621,518,0
102389,4542,519,0
102394,4541,520,0
102398,4587,521,0
102400,4589,522,0
102412,3943,523,0
102432,4655,524,0
102441,4703,525,0
102450,4712,526,0
102459,4761,527,0
102460,4762,528,0
102466,4766,529,0
102467,4767,530,0
102542,4053,531,0
102556,4109,532,0
102580,4160,533,0
102588,4166,534,0
102605,4226,535,0
102631,4490,536,0
102634,4493,537,0
102635,4494,538,0
102679,4283,539,0
102684,4287,540,0
102687,4288,541,0
102699,4340,542,0
102714,4389,543,0
102799,4770,545,0
102810,4615,546,0
102819,4622,547,0
102820,4623,548,0
102824,4626,549,0
102828,4628,550,0
102829,4672,551,0
102836,4678,552,0
102842,4684,553,0
102865,3909,554,0
102869,4595,555,0
102871,4597,556,0
102885,4398,557,0
102894,4608,558,0
102898,4777,559,0
102904,4406,560,0
102914,4416,561,0
102915,4456,562,0
