atc_code,ddd_units,ddd_admr,ddd_comment,ddd_id,ddd_value
N06AX11,mg,O,,1474,30.000000000000000000000000000000
N06AX12,g,O,,1475,0.300000000000000000000000000000
N06AX14,mg,O,,1476,37.500000000000000000000000000000
N06AX16,g,O,,1477,0.100000000000000000000000000000
N06AX18,mg,O,,1478,8.000000000000000000000000000000
N06AX21,mg,O,,1479,60.000000000000000000000000000000
N06BA02,mg,O,,1481,15.000000000000000000000000000000
N06BA03,mg,O,,1482,15.000000000000000000000000000000
N06BA04,mg,O,,1483,30.000000000000000000000000000000
N06BA05,mg,O,,1484,40.000000000000000000000000000000
N06BA07,g,O,,1485,0.300000000000000000000000000000
N06BA09,mg,O,,1486,80.000000000000000000000000000000
N06BX02,g,O,,1488,0.600000000000000000000000000000
N06BX15,mg,O,,1490,30.000000000000000000000000000000
N06DA01,g,O,,1491,0.120000000000000000000000000000
N06DA02,mg,O,,1492,7.500000000000000000000000000000
N06DA04,mg,O,,1494,16.000000000000000000000000000000
N06DX01,mg,O,,1495,20.000000000000000000000000000000
N07AA30,mg,O,,1500,60.000000000000000000000000000000
N07AB02,mg,O,,1502,45.000000000000000000000000000000
N07AX03,mg,O,,1504,90.000000000000000000000000000000
N07BB01,g,O,,1507,0.200000000000000000000000000000
N07BB03,g,O,,1508,2.000000000000000000000000000000
N07BB04,mg,O,,1509,50.000000000000000000000000000000
N07BC01,mg,SL,,1510,8.000000000000000000000000000000
N07BC04,mg,O,,1512,1.400000000000000000000000000000
N07BC51,mg,SL,Refers to buprenorphine,1513,8.000000000000000000000000000000
N07CA01,mg,O,,1514,24.000000000000000000000000000000
N07CA02,mg,O,,1515,90.000000000000000000000000000000
N07CA03,mg,O,,1516,10.000000000000000000000000000000
N07CA52,mg,O,Refers to cinnarizine,1517,90.000000000000000000000000000000
N07XX01,g,P,,1518,0.420000000000000000000000000000
N07XX02,g,O,,1519,0.100000000000000000000000000000
N07XX04,g,O,,1520,7.500000000000000000000000000000
N07XX06,g,O,,1521,0.100000000000000000000000000000
P01AB03,g,O,,1524,1.500000000000000000000000000000
P01AB06,g,O,,1525,2.000000000000000000000000000000
P01AC01,g,O,,1526,1.500000000000000000000000000000
P01AX02,mg,P,,1527,60.000000000000000000000000000000
P01AX05,g,O,,1528,0.300000000000000000000000000000
P01AX06,g,O,,1529,2.250000000000000000000000000000
P01AX07,mg,P,,1530,85.000000000000000000000000000000
P01BA03,mg,O,base,1535,15.000000000000000000000000000000
P01BA06,g,O,,1536,0.500000000000000000000000000000
P01BC02,g,O,base,1539,1.000000000000000000000000000000
P01BD01,mg,O,,1540,75.000000000000000000000000000000
P01BE01,g,O,,1542,1.000000000000000000000000000000
P01BE05,g,O,,1545,0.280000000000000000000000000000
P01BX01,g,O,,1546,1.500000000000000000000000000000
P01CA02,g,O,,1547,0.400000000000000000000000000000
P01CB01,g,P,Sb5+,1548,0.850000000000000000000000000000
P01CB02,g,P,Sb5+,1549,0.850000000000000000000000000000
P01CC01,g,O,,1550,0.700000000000000000000000000000
P01CD01,mg,P,,1551,60.000000000000000000000000000000
P01CX01,g,P,per injection,1552,0.280000000000000000000000000000
P01CX02,g,P,,1553,0.270000000000000000000000000000
P02BA01,g,O,,1554,3.000000000000000000000000000000
P02BA02,g,O,,1555,1.000000000000000000000000000000
P02BB01,mg,O,,1556,40.000000000000000000000000000000
P02CA01,g,O,,1557,0.200000000000000000000000000000
P02CA02,g,O,,1558,3.000000000000000000000000000000
P02CA03,g,O,,1559,0.400000000000000000000000000000
P02CA05,g,O,,1560,0.200000000000000000000000000000
P02CB02,g,O,,1562,0.400000000000000000000000000000
P02CC01,g,O,,1563,0.750000000000000000000000000000
P02CE01,g,O,,1564,0.150000000000000000000000000000
P02CF01,mg,O,,1565,12.000000000000000000000000000000
P02DA01,g,O,,1566,2.000000000000000000000000000000
R01AA03,mg,N,,1567,8.000000000000000000000000000000
R01AA04,mg,N,,1568,4.000000000000000000000000000000
R01AA05,mg,N,,1569,0.400000000000000000000000000000
R01AA06,mg,N,,1570,0.800000000000000000000000000000
R01AA07,mg,N,,1571,0.800000000000000000000000000000
R01AA08,mg,N,,1572,0.400000000000000000000000000000
R01AC01,mg,N,,1573,40.000000000000000000000000000000
R01AC02,mg,N,,1574,0.600000000000000000000000000000
R01AC03,mg,N,,1575,0.560000000000000000000000000000
R01AC07,mg,N,,1576,10.400000000000000000000000000000
R01AD01,mg,N,,1577,0.400000000000000000000000000000
R01AD04,mg,N,,1578,0.150000000000000000000000000000
R01AD05,mg,N,,1579,0.200000000000000000000000000000
