id,city,distance,hotelNames,location,rate,reviewNumbers
71," Beyoglu, Istanbul","2 miles from center","Nabu Hotel Karaköy"," Beyoglu, Istanbul", Awesome , 685 reviews
72," Kucukcekmece, Istanbul","3.1 miles from center","Ramada Encore By Wyndham Istanbul Basin Express"," Kucukcekmece, Istanbul", Very Good , 43 reviews
73," Bahcelievler, Istanbul","1.4 miles from center","Istanbul Gonen Hotel"," Bahcelievler, Istanbul", Very Good ," 1,222 reviews "
74," Fatih, Istanbul","3.1 miles from center","Four-G Hotel"," Fatih, Istanbul", Exceptional , 191 reviews
75," Fatih, Istanbul","2,950 feet from center","GoldenSand Hotel"," Fatih, Istanbul", Excellent , 383 reviews
76," Fatih, Istanbul","350 feet from center","Faros Hotel Old City - Special Category"," Fatih, Istanbul", Very Good , 700 reviews
77," Fatih, Istanbul","1,950 feet from center","Le Petit Palace Hotel - Special Category"," Fatih, Istanbul", Excellent , 249 reviews
78," Besiktas, Istanbul","2.8 miles from center","Meydan Besiktas Hotel"," Besiktas, Istanbul", Very Good , 264 reviews
79," Beyoglu, Istanbul","1.9 miles from center","Premist Hotels Taksim"," Beyoglu, Istanbul", Very Good , 181 reviews
80," Fatih, Istanbul","3.1 miles from center","Vicenza Hotel"," Fatih, Istanbul", Very Good , 697 reviews
81," Besiktas, Istanbul","1 miles from center","Feri Suites"," Besiktas, Istanbul", Excellent , 193 reviews
82," Beyoglu, Istanbul","3.1 miles from center","Hotel DeCamondo"," Beyoglu, Istanbul", Exceptional , 314 reviews
83," Bakirkoy, Istanbul","3.7 miles from center","Rios Edition Hotel"," Bakirkoy, Istanbul", Very Good , 503 reviews
84," Sariyer, Istanbul","1.1 miles from center","The Grand Tarabya Hotel"," Sariyer, Istanbul", Awesome , 664 reviews
85," Fatih, Istanbul","3.1 miles from center","Skalion Hotel & SPA"," Fatih, Istanbul", Very Good ," 1,003 reviews "
86," Beyoglu, Istanbul","5.6 miles from center","Duo Galata Hotel"," Beyoglu, Istanbul", Very Good , 281 reviews
87," Beyoglu, Istanbul","9.9 miles from center","The Marmara Taksim"," Beyoglu, Istanbul", Very Good ," 2,868 reviews "
88," Sisli, Istanbul","2,950 feet from center","Avantgarde Hotel Levent"," Sisli, Istanbul", Very Good , 294 reviews
89," Fatih, Istanbul","1.3 miles from center","Hotel Saba"," Fatih, Istanbul", Very Good , 830 reviews
90," Fatih, Istanbul","3.1 miles from center","Four Doors Hotel"," Fatih, Istanbul", Excellent , 317 reviews
91," Fatih, Istanbul","2.1 miles from center","Sky Kamer Hotel Istanbul"," Fatih, Istanbul", Good , 367 reviews
92," Fatih, Istanbul","3.1 miles from center","Bizim Hotel"," Fatih, Istanbul", Very Good , 181 reviews
93," Fatih, Istanbul","4.3 miles from center","Hotel Topkapı"," Fatih, Istanbul", Good , 142 reviews
94," Sisli, Istanbul","3.1 miles from center","Veyron Hotels & SPA"," Sisli, Istanbul", Very Good , 437 reviews
95," Beyoglu, Istanbul","1,150 feet from center","Taksim Nis Hotel- Special Category"," Beyoglu, Istanbul", Excellent , 839 reviews
96," Beyoglu, Istanbul","1,300 feet from center","Elite World Prestige Hotel"," Beyoglu, Istanbul", Good , 476 reviews
97," Beyoglu, Istanbul","0.6 miles from center","Galatas Hotel Istanbul"," Beyoglu, Istanbul", Exceptional , 6 reviews
98," Bahcelievler, Istanbul","3.1 miles from center","Rox Hotel Istanbul Ataturk Airport"," Bahcelievler, Istanbul", Very Good ," 2,301 reviews "
99," Beyoglu, Istanbul","1,950 feet from center","Taxim Hill Hotel"," Beyoglu, Istanbul", Good , 484 reviews
0," Manhattan, New York","1.4 miles from center","Hotel Pennsylvania"," Manhattan, New York", Review score ," 41,558 reviews "
1," Manhattan, New York","3.1 miles from center","Martinique New York on Broadway, Curio Collection by Hilton"," Manhattan, New York", Very Good ," 7,737 reviews "
2," Chinatown, New York","1.4 miles from center","Walker Hotel Tribeca"," Chinatown, New York", Excellent , 184 reviews
3," Murray Hill, New York","3.1 miles from center","Pestana Park Avenue"," Murray Hill, New York", Excellent , 96 reviews
4," Manhattan, New York","3.1 miles from center","Wingate by Wyndham New York Midtown South/5th Ave"," Manhattan, New York", Awesome , 569 reviews
5," Manhattan, New York","3.1 miles from center","Park Terrace Hotel on Bryant Park"," Manhattan, New York", Very Good ," 1,311 reviews "
6," NoMad, New York","1.2 miles from center","Hotel Wolcott"," NoMad, New York", Excellent ," 4,262 reviews "
7," Manhattan, New York","3.1 miles from center","Hyatt Centric Times Square New York"," Manhattan, New York", Excellent ," 1,507 reviews "
8," Hell's Kitchen, New York","1.2 miles from center","Global Luxury Suites at Sky"," Hell's Kitchen, New York", Very Good , 137 reviews
9," Gramercy, New York","3.1 miles from center","Freehand New York"," Gramercy, New York", Good ," 12,567 reviews "
10," Manhattan, New York","1.1 miles from center","Hotel Hendricks"," Manhattan, New York", Awesome , 39 reviews
11," Manhattan, New York","3.1 miles from center","Hotel Edison Times Square"," Manhattan, New York", Excellent , 493 reviews
12," Murray Hill, New York","1.5 miles from center","Oakwood Aurora Midtown East"," Murray Hill, New York", Awesome ," 3,051 reviews "
13," Lower East Side, New York","3.1 miles from center","Sister City New York"," Lower East Side, New York", Very Good , 382 reviews
14," Manhattan, New York","0.7 miles from center","LUMA Hotel - Times Square"," Manhattan, New York", Review score ," 3,694 reviews "
15," Hell's Kitchen, New York","3.1 miles from center","The Belvedere Hotel"," Hell's Kitchen, New York", Excellent ," 2,332 reviews "
16," Hudson Yards, New York","1 miles from center","Midtown Convention Center Hotel NYC"," Hudson Yards, New York", Excellent , 485 reviews
17," Chelsea, New York","2 miles from center","Hyatt House New York/Chelsea"," Chelsea, New York", Awesome ," 2,241 reviews "
