id,city,distance,hotelNames,location,rate,reviewNumbers
31," Bur Dubai, Dubai","8.7 miles from center","Grayton Hotel"," Bur Dubai, Dubai",dubai, 360 reviews
32," Palm Jumeirah, Dubai","3.1 miles from center","C Central Resort The Palm"," Palm Jumeirah, Dubai",dubai, 166 reviews
33," Al Barsha, Dubai","6.8 miles from center","Ibis Al Barsha"," Al Barsha, Dubai",dubai," 3,617 reviews "
34, Dubai,"2.1 miles from center","The S Hotel Al Barsha", Dubai,dubai, 868 reviews
35," Business Bay, Dubai","3.1 miles from center","Radisson Blu Hotel, Dubai Waterfront"," Business Bay, Dubai",dubai," 3,559 reviews "
36," Dubai World Central, Dubai","3.7 miles from center","Rove At The Park"," Dubai World Central, Dubai",dubai, 760 reviews
37," Jumeirah Lakes Towers, Dubai","8.7 miles from center","Armada BlueBay"," Jumeirah Lakes Towers, Dubai",dubai," 2,537 reviews "
38," Deira, Dubai","3.1 miles from center","Avari Dubai Hotel"," Deira, Dubai",dubai," 2,002 reviews "
39," Downtown Dubai, Dubai","8.1 miles from center","DAMAC Maison Distinction"," Downtown Dubai, Dubai",dubai," 3,675 reviews "
40," Al Barsha, Dubai","3.1 miles from center","Centro Barsha - by Rotana"," Al Barsha, Dubai",dubai," 1,728 reviews "
41," Bur Dubai, Dubai","8.7 miles from center","Ibis Styles Dubai Jumeira"," Bur Dubai, Dubai",dubai," 2,548 reviews "
42," Trade Center Area, Dubai","0.7 miles from center","Ibis One Central - World Trade Centre Dubai"," Trade Center Area, Dubai",dubai," 8,083 reviews "
43," Deira, Dubai","25.5 miles from center","Hyatt Regency Dubai - Corniche"," Deira, Dubai",dubai," 6,154 reviews "
44," Barsha Heights (Tecom) , Dubai","11.2 miles from center","Travelers Stay"," Barsha Heights (Tecom) , Dubai",dubai, 183 reviews
45," Bur Dubai, Dubai","3.1 miles from center","Grand Hyatt Dubai"," Bur Dubai, Dubai",dubai," 6,071 reviews "
46," Deira, Dubai","5.6 miles from center","Emirates Concorde Hotel & Apartments"," Deira, Dubai",dubai," 5,862 reviews "
47," Dubai Media City, Dubai","3.1 miles from center","Media One Hotel"," Dubai Media City, Dubai",dubai," 1,985 reviews "
48," Deira, Dubai","0.7 miles from center","Hyatt Place Dubai/Wasl District"," Deira, Dubai",dubai," 1,148 reviews "
49," Dubai Marina, Dubai","7.5 miles from center","City Premiere Marina Hotel Apartments"," Dubai Marina, Dubai",dubai," 4,489 reviews "
50," Dubai Marina, Dubai","11.2 miles from center","Millennium Place Dubai Marina"," Dubai Marina, Dubai",dubai, 759 reviews
51," Trade Center Area, Dubai","3.1 miles from center","Fairmont Dubai"," Trade Center Area, Dubai",dubai," 2,869 reviews "
52," Bur Dubai, Dubai","3.1 miles from center","Orchid Vue Hotel"," Bur Dubai, Dubai",dubai, 728 reviews
53," Trade Center Area, Dubai","2.3 miles from center","Millennium Plaza Hotel"," Trade Center Area, Dubai",dubai," 8,357 reviews "
54," Al Barsha, Dubai","3.1 miles from center","Kempinski Hotel Mall of the Emirates"," Al Barsha, Dubai",dubai," 3,768 reviews "
55," Deira, Dubai","3.1 miles from center","OYO 130 Phoenix Hotel"," Deira, Dubai",dubai, 238 reviews
56," Garhoud, Dubai","4.3 miles from center","Le Méridien Dubai Hotel & Conference Centre"," Garhoud, Dubai",dubai," 3,219 reviews "
57," Barsha Heights (Tecom) , Dubai","3.1 miles from center","First Central Hotel Suites"," Barsha Heights (Tecom) , Dubai",dubai," 2,539 reviews "
58," Deira, Dubai","1.6 miles from center","Pullman Dubai Creek City Centre"," Deira, Dubai",dubai," 2,169 reviews "
59," Trade Center Area, Dubai","3.1 miles from center","The H Dubai"," Trade Center Area, Dubai",dubai," 3,188 reviews "
60," Trade Center Area, Dubai","3.1 miles from center","Emirates Grand Hotel"," Trade Center Area, Dubai",dubai," 6,252 reviews "
61," Trade Center Area, Dubai","6.8 miles from center","Roda Al Murooj Hotel"," Trade Center Area, Dubai",dubai," 9,250 reviews "
62," Al Barsha, Dubai","3.1 miles from center","Grand Excelsior Hotel Al Barsha"," Al Barsha, Dubai",dubai," 3,208 reviews "
63," Deira, Dubai","3.1 miles from center","OYO 157 Al Khaima Hotel"," Deira, Dubai",dubai, 46 reviews
64," Garhoud, Dubai","5.6 miles from center","Millennium Dubai Airport Hotel"," Garhoud, Dubai",dubai," 4,113 reviews "
65," Dubai Festival City, Dubai","5.6 miles from center","InterContinental Dubai Festival City"," Dubai Festival City, Dubai",dubai," 2,136 reviews "
66," Trade Center Area, Dubai","8.7 miles from center","The Apartments, Dubai World Trade Centre Hotel Apartments"," Trade Center Area, Dubai",dubai," 1,928 reviews "
67," Trade Center Area, Dubai","3.1 miles from center","Sheraton Grand Hotel, Dubai"," Trade Center Area, Dubai",dubai," 3,024 reviews "
68," Bur Dubai, Dubai","5 miles from center","Zabeel House Al Seef"," Bur Dubai, Dubai",dubai," 1,422 reviews "
69," Al Sufouh, Dubai","2.6 miles from center","Fraser Suites Hotel and Apartments"," Al Sufouh, Dubai",dubai," 1,577 reviews "
70," Trade Center Area, Dubai","3.1 miles from center","Number One Tower Suites"," Trade Center Area, Dubai",dubai," 2,523 reviews "
71," Dubai Festival City, Dubai","1 miles from center","Holiday Inn - Dubai Festival City"," Dubai Festival City, Dubai",dubai," 2,063 reviews "
72," Al Qusais, Dubai","3.1 miles from center","TIME Grand Plaza Hotel, Dubai Airport"," Al Qusais, Dubai",dubai," 2,172 reviews "
73," Deira, Dubai","3.1 miles from center","Somewhere Hotel Apartment"," Deira, Dubai",dubai," 2,033 reviews "
74," Deira, Dubai","0.6 miles from center","Flora Grand Hotel"," Deira, Dubai",dubai," 4,898 reviews "
75, Dubai,"9.9 miles from center","Park Inn by Radisson Dubai Motor City", Dubai,dubai," 1,298 reviews "
76," Deira, Dubai","5 miles from center","Ibis Deira City Centre"," Deira, Dubai",dubai," 3,836 reviews "
77," Downtown Dubai, Dubai","3.1 miles from center","Sofitel Dubai Downtown"," Downtown Dubai, Dubai",dubai," 2,718 reviews "
78," Downtown Dubai, Dubai","2,150 feet from center","DAMAC Maison Dubai Mall Street"," Downtown Dubai, Dubai",dubai," 3,464 reviews "
79," Bur Dubai, Dubai","3.1 miles from center","Burjuman Arjaan by Rotana - Dubai"," Bur Dubai, Dubai",dubai," 1,263 reviews "
80," Garhoud, Dubai","3.1 miles from center","Roda Al Bustan Hotel"," Garhoud, Dubai",dubai," 2,304 reviews "
81," Dubai Media City, Dubai","0.7 miles from center","Radisson Blu Hotel, Dubai Media City"," Dubai Media City, Dubai",dubai," 1,488 reviews "
82," Garhoud, Dubai","4.3 miles from center","Jumeirah Creekside Hotel"," Garhoud, Dubai",dubai," 3,321 reviews "
83," Trade Center Area, Dubai","3.1 miles from center","The Ritz-Carlton, Dubai International Financial Centre"," Trade Center Area, Dubai",dubai, 952 reviews
84," Dubai Media City, Dubai","5.6 miles from center","Arjaan by Rotana - Dubai Media City"," Dubai Media City, Dubai",dubai," 1,310 reviews "
85," Beach & Coast, Dubai","9.9 miles from center","Mercure Hotel Apartments Dubai Barsha Heights"," Beach & Coast, Dubai",dubai," 2,685 reviews "
86," Deira, Dubai","3.1 miles from center","Copthorne Hotel Dubai"," Deira, Dubai",dubai," 3,310 reviews "
87," Bur Dubai, Dubai","5 miles from center","OYO 109 Smana Hotel Al Raffa"," Bur Dubai, Dubai",dubai," 1,654 reviews "
88," Dubai Internet City, Dubai","1.3 miles from center","Two Seasons Hotel (Former Gloria)"," Dubai Internet City, Dubai",dubai," 4,669 reviews "
89," Garhoud, Dubai","3.1 miles from center","Flora Inn Hotel Dubai Airport"," Garhoud, Dubai",dubai," 7,875 reviews "
90, Dubai,"3.1 miles from center","Studio One Hotel", Dubai,dubai, 498 reviews
91, Dubai,"9.9 miles from center","The Meydan Hotel", Dubai,dubai," 6,245 reviews "
92," Business Bay, Dubai","3.1 miles from center","City Premiere Hotel Apartments"," Business Bay, Dubai",dubai," 6,403 reviews "
93," Deira, Dubai","8.7 miles from center","OYO 314 24 Gold Hotel"," Deira, Dubai",dubai, 220 reviews
94," Bur Dubai, Dubai","3.1 miles from center","Golden Sands Hotel Apartments"," Bur Dubai, Dubai",dubai," 6,297 reviews "
95," Dubai Investment Park, Dubai","3.1 miles from center","Fortune Park Hotel"," Dubai Investment Park, Dubai",dubai," 1,030 reviews "
96," Trade Center Area, Dubai","5 miles from center","Crowne Plaza Dubai"," Trade Center Area, Dubai",dubai," 2,757 reviews "
97," Deira, Dubai","3.1 miles from center","Monaco Hotel"," Deira, Dubai",dubai, 998 reviews
98," Bur Dubai, Dubai","3.7 miles from center","Royal Ascot Hotel Apartment - Kirklees 2"," Bur Dubai, Dubai",dubai, 218 reviews
99," Trade Center Area, Dubai","3.1 miles from center","Towers Rotana - Dubai"," Trade Center Area, Dubai",dubai," 4,925 reviews "
0," Tower Hamlets, London","4.3 miles from center","Britannia International Hotel Canary Wharf"," Tower Hamlets, London", Review score ," 16,296 reviews "
1," Westminster Borough, London","3.1 miles from center","Stylish 2 Bedroom Fitzrovia Apartment With Roof Terrace"," Westminster Borough, London", Very Good , 6 reviews
2, London,"0.9 miles from center","Stunning 2-Bed Flat w/ Terrace Next to Kings Cross", London, Good , 9 reviews
3," Camden, London","3.1 miles from center","Vintage Regents Park Apartment"," Camden, London", Awesome , 11 reviews
4," Kensington and Chelsea, London","2.1 miles from center","PickThePlace Knightsbridge Suite"," Kensington and Chelsea, London", Awesome , 20 reviews
5," Westminster Borough, London","1.6 miles from center","Bright Studio Flat in Pimlico-Victoria"," Westminster Borough, London", Awesome , 17 reviews
6," City of London, London","1.8 miles from center","Perfect apartment for 6 in the heart of London!"," City of London, London", Good , 6 reviews
7," Camden, London","1.3 miles from center","Camden Modern Apartments"," Camden, London", Exceptional , 36 reviews
8," Westminster Borough, London","3.1 miles from center","Stunning Secluded Belgravia House"," Westminster Borough, London", Very Good , 23 reviews
9," Tower Hamlets, London","2.3 miles from center","1 Bedroom Apartment in the heart of Canary Wharf"," Tower Hamlets, London", Very Good , 202 reviews
10," Kensington and Chelsea, London","3.1 miles from center","Kensington Church Street Apartment"," Kensington and Chelsea, London", Awesome , 72 reviews
11," Tower Hamlets, London","1.9 miles from center","Star Street by Lime Street"," Tower Hamlets, London", Awesome , 17 reviews
12, London,"3.1 miles from center","London Living", London, Good , 6 reviews
13," Westminster Borough, London","3.7 miles from center","Stylish London 3-Bedroom, 3 Bathroom Apartment"," Westminster Borough, London", Exceptional , 36 reviews
14," Tower Hamlets, London","3.1 miles from center","Luxury 3BR Home in Knightsbridge w/Sauna, 6 guests"," Tower Hamlets, London", Very Good , 23 reviews
15," Westminster Borough, London","1.6 miles from center","Urban Stay Cambridge Gardens Apartments"," Westminster Borough, London", Very Good , 202 reviews
16," Southwark, London","3.1 miles from center","Rotherhithe apartment near park and river"," Southwark, London", Awesome , 72 reviews
17," Southwark, London","3.1 miles from center","Primestate Holborn Apartments"," Southwark, London", Very Good , 11 reviews
18," Kensington and Chelsea, London","3.1 miles from center","Homewood Kensington Apartments"," Kensington and Chelsea, London", Good , 101 reviews
19," Kensington and Chelsea, London","3.1 miles from center","Huge 4BR Home for 8 by Guestready"," Kensington and Chelsea, London", Good , 7 reviews
20," Southwark, London","3.1 miles from center","Apartment Gibson Road"," Southwark, London", Good , 5 reviews
21," Camden, London","1.2 miles from center","Urban Stay Oxford Gardens Apartments"," Camden, London", Exceptional , 6 reviews
22," Kensington and Chelsea, London","1.5 miles from center","Millennium Hotel London Knightsbridge"," Kensington and Chelsea, London", Good ," 2,245 reviews "
23," Islington, London","3.1 miles from center","Colourful Modern Brixton 2-Bed with Balcony"," Islington, London", Exceptional , 5 reviews
24," Lambeth, London","2.9 miles from center","Flat 25 Dudley Court"," Lambeth, London", Awesome , 38 reviews
25," Westminster Borough, London","3.1 miles from center","Next to Euston 2 Bedroom Apartment"," Westminster Borough, London", Good , 8 reviews
26," Southwark, London","1.6 miles from center","The Collective Canary Wharf"," Southwark, London", Very Good , 181 reviews
27," Southwark, London","3.1 miles from center","202 Apartments"," Southwark, London", Excellent , 298 reviews
28," Kensington and Chelsea, London","1.5 miles from center","The Pack And Carriage London"," Kensington and Chelsea, London", Very Good , 670 reviews
29," Kensington and Chelsea, London","3.1 miles from center","Collingham Place - Welcome at Home"," Kensington and Chelsea, London", Awesome , 33 reviews
30," Southwark, London","4.3 miles from center","The Z Hotel Gloucester Place"," Southwark, London", Excellent ," 4,335 reviews "
31," Camden, London","2.9 miles from center","Clarendon Masthead House"," Camden, London", Awesome , 117 reviews
32," Kensington and Chelsea, London","3.1 miles from center","Fusion Court Apartments"," Kensington and Chelsea, London", Very Good , 39 reviews
33," Islington, London","5.6 miles from center","The Stratford Hotel London"," Islington, London", Awesome , 392 reviews
34," Lambeth, London","3.1 miles from center","SoHostel"," Lambeth, London", Very Good ," 4,884 reviews "
35," Kensington and Chelsea, London","0.6 miles from center","Paddington suites"," Kensington and Chelsea, London", Good , 11 reviews
36," Westminster Borough, London","3.1 miles from center","Globe View in High Timber Street"," Westminster Borough, London", Good , 6 reviews
37," Westminster Borough, London","2 miles from center","South Kensington - Sloane Square Private Apartment"," Westminster Borough, London", Very Good , 51 reviews
38," Westminster Borough, London","3.1 miles from center","The Z Hotel Piccadilly"," Westminster Borough, London", Excellent ," 6,434 reviews "
39," Westminster Borough, London","1.4 miles from center","Stylish 3 Bedroom Flat with balcony Shoreditch"," Westminster Borough, London", Very Good , 6 reviews
40," Kensington and Chelsea, London","3.1 miles from center","Forbee Studios"," Kensington and Chelsea, London", Excellent , 13 reviews
41," Westminster Borough, London","2 miles from center","Sonder — The Arts Council"," Westminster Borough, London", Awesome , 88 reviews
42," Westminster Borough, London","3.1 miles from center","Copthorne Tara Hotel London Kensington"," Westminster Borough, London", Good ," 5,033 reviews "
43," Westminster Borough, London","1,150 feet from center","South Kensington Modern and Spacious Apartment"," Westminster Borough, London", Very Good , 17 reviews
0," 18th arr., Paris","3.1 miles from center","HotelF1 Paris Saint Ouen Marché Aux Puces"," 18th arr., Paris", Review score ," 5,034 reviews "
1," 2nd arr., Paris","1.2 miles from center","Opéra Septembre"," 2nd arr., Paris", Very Good , 15 reviews
2," 6th arr., Paris","3.1 miles from center","Beautiful two-bedroom apartment in the heart of MONTPARNASSE"," 6th arr., Paris", Good , 5 reviews
3," 2nd arr., Paris","1.6 miles from center","appartement loft"," 2nd arr., Paris", Awesome , 85 reviews
4," 8th arr., Paris","3.1 miles from center","Ponthieu Champs Elysées"," 8th arr., Paris", Very Good , 12 reviews
5," 9th arr., Paris","0.8 miles from center","Drouot Luxe"," 9th arr., Paris", Excellent , 25 reviews
6," 9th arr., Paris","3.1 miles from center","Appartement Caumartin Lafayette"," 9th arr., Paris", Good , 14 reviews
7," 11th arr., Paris","2.3 miles from center","Sweet Inn - Rue Du Dahomey"," 11th arr., Paris", Very Good , 20 reviews
8," 5th arr., Paris","3.1 miles from center","River Seine - Notre Dame Private Apartment"," 5th arr., Paris", Awesome , 923 reviews
9," 12th arr., Paris","1.2 miles from center","The People Hostel - Paris 12"," 12th arr., Paris", Very Good ," 1,398 reviews "
10," 15th arr., Paris","3.1 miles from center","Hostel Eiffel"," 15th arr., Paris", Exceptional , 141 reviews
11," 1st arr., Paris","1.7 miles from center","Maison Armance"," 1st arr., Paris", Excellent , 180 reviews
12," 16th arr., Paris","3.1 miles from center","Maison de Lignières - Bed & Breakfast - Paris quartier Champs-Elysées"," 16th arr., Paris", Good , 836 reviews
13," 10th arr., Paris","1.5 miles from center","Hotel des Belges"," 10th arr., Paris", Very Good , 73 reviews
14," 12th arr., Paris","3.1 miles from center","Résidence Voûte by Patios du Marais"," 12th arr., Paris", Very Good , 7 reviews
15," 3rd arr., Paris","2,800 feet from center","Beaumarchais"," 3rd arr., Paris", Excellent , 998 reviews
16," 16th arr., Paris","3.1 miles from center","Auteuil Tour Eiffel"," 16th arr., Paris", Review score ," 3,276 reviews "
17," 1st arr., Paris","2.2 miles from center","Normandy Le Chantier"," 1st arr., Paris", Very Good , 970 reviews
18," 5th arr., Paris","3.1 miles from center","Hôtel Marignan"," 5th arr., Paris", Very Good ," 1,339 reviews "
19," 12th arr., Paris","3.1 miles from center","Aparthotel Adagio Paris Nation"," 12th arr., Paris", Good , 937 reviews
20," 20th arr., Paris","3.1 miles from center","Hotel des Pyrénées"," 20th arr., Paris", Excellent , 33 reviews
21," 12th arr., Paris","1.4 miles from center","Paris Hôtel Le Mediterraneen"," 12th arr., Paris", Awesome , 22 reviews
22," 2nd arr., Paris","3.1 miles from center","Loft Basfour by Patios Du Marais"," 2nd arr., Paris", Good , 709 reviews
23," 16th arr., Paris","0.8 miles from center","Beaumarchais"," 16th arr., Paris", Very Good , 7 reviews
24," 4th arr., Paris","3.1 miles from center","Auteuil Tour Eiffel"," 4th arr., Paris", Excellent , 998 reviews
25," 3rd arr., Paris","3.1 miles from center","Normandy Le Chantier"," 3rd arr., Paris", Review score ," 3,276 reviews "
26," 16th arr., Paris","3.1 miles from center","Hôtel Marignan"," 16th arr., Paris", Very Good , 970 reviews
27," 1st arr., Paris","1 miles from center","Aparthotel Adagio Paris Nation"," 1st arr., Paris", Very Good ," 1,339 reviews "
28," 5th arr., Paris","3.1 miles from center","Hotel des Pyrénées"," 5th arr., Paris", Good , 937 reviews
29," 12th arr., Paris","2,800 feet from center","Paris Hôtel Le Mediterraneen"," 12th arr., Paris", Excellent , 33 reviews
30," 20th arr., Paris","3.1 miles from center","Loft Basfour by Patios Du Marais"," 20th arr., Paris", Awesome , 22 reviews
31," 12th arr., Paris","2.4 miles from center","Champs Elysees Executive Apartment"," 12th arr., Paris", Good , 709 reviews
32," 2nd arr., Paris","3.1 miles from center","France Louvre"," 2nd arr., Paris", Good , 85 reviews
33," 16th arr., Paris","2 miles from center","Apartment Opéra / Galeries Lafayette"," 16th arr., Paris", Good , 866 reviews
34," 4th arr., Paris","3.1 miles from center","Résidence Internationale De Paris"," 4th arr., Paris", Very Good ," 1,078 reviews "
35," 8th arr., Paris","1.3 miles from center","Hôtel Londres Saint Honoré"," 8th arr., Paris", Very Good ," 1,993 reviews "
36," 20th arr., Paris","3.1 miles from center","Hôtel d'Argenson"," 20th arr., Paris", Good ," 1,198 reviews "
37," 1st arr., Paris","0.7 miles from center","Le 17"," 1st arr., Paris", Awesome , 556 reviews
38," 8th arr., Paris","3.1 miles from center","Hôtel Parisianer"," 8th arr., Paris", Very Good , 636 reviews
39," 10th arr., Paris","2.5 miles from center","Family Residence"," 10th arr., Paris", Good , 202 reviews
40," 12th arr., Paris","3.1 miles from center","Apartments WS Saint-Lazare - Opera"," 12th arr., Paris", Very Good ," 2,345 reviews "
41," 15th arr., Paris","1,150 feet from center","Hotel Vivienne"," 15th arr., Paris", Excellent , 486 reviews
42," 8th arr., Paris","3.1 miles from center","Hôtel B55"," 8th arr., Paris", Awesome , 6 reviews
43," 2nd arr., Paris","1.9 miles from center","Lovely Cocoon in the Heart of Paris - An Ecoloflat"," 2nd arr., Paris", Good , 825 reviews
44," 13th arr., Paris","3.1 miles from center","Hotel Bastille"," 13th arr., Paris", Excellent , 51 reviews
45," 2nd arr., Paris","2.8 miles from center","Milestay Charmants Passages"," 2nd arr., Paris", Good , 973 reviews
46," 11th arr., Paris","1.1 miles from center","Hôtel Tilde"," 11th arr., Paris", Excellent , 13 reviews
47," 2nd arr., Paris","2.6 miles from center","Hotel Splendid"," 2nd arr., Paris", Good , 509 reviews
48," 19th arr., Paris","3.1 miles from center","Dream Hotel Opera"," 19th arr., Paris", Very Good , 712 reviews
49," 9th arr., Paris","1.3 miles from center","Montorgueil Suite"," 9th arr., Paris", Awesome , 20 reviews
50," 15th arr., Paris","3.1 miles from center","Hotel des Vosges"," 15th arr., Paris", Good ," 1,370 reviews "
51," 9th arr., Paris","0.7 miles from center","Apartment WS St Germain - Quartier Latin"," 9th arr., Paris", Good , 605 reviews
52," 2nd arr., Paris","3.1 miles from center","Hotel Habituel"," 2nd arr., Paris", Very Good , 881 reviews
53," 20th arr., Paris","1.6 miles from center","Gardenflat Buttes Chaumont"," 20th arr., Paris", Exceptional , 33 reviews
54," 6th arr., Paris","3.1 miles from center","Hôtel Dress Code & Spa"," 6th arr., Paris", Awesome , 506 reviews
55," 10th arr., Paris","2,950 feet from center","Les Patios du Marais 1"," 10th arr., Paris", Good ," 2,284 reviews "
56," 19th arr., Paris","3.1 miles from center","Loft entier parisien-Paris11"," 19th arr., Paris", Good , 40 reviews
57," 9th arr., Paris","1.6 miles from center","Newhotel Le Voltaire"," 9th arr., Paris", Very Good , 717 reviews
58," 3rd arr., Paris","3.1 miles from center","Hotel Royal Phare"," 3rd arr., Paris", Very Good ," 1,763 reviews "
59," 11th arr., Paris","1.9 miles from center","Le Poissonnière"," 11th arr., Paris", Very Good , 124 reviews
60," 11th arr., Paris","3.1 miles from center","Apartments Du Louvre"," 11th arr., Paris", Awesome , 808 reviews
61," 7th arr., Paris","1.5 miles from center","HOTEL LUCIEN"," 7th arr., Paris", Good ," 1,164 reviews "
62," 10th arr., Paris","3.1 miles from center","Helvetia"," 10th arr., Paris", Good ," 1,766 reviews "
63," 1st arr., Paris","3,100 feet from center","Hotel Beauvoir"," 1st arr., Paris", Good , 736 reviews
64," 2nd arr., Paris","3.1 miles from center","Bistrot Les Sans Culottes"," 2nd arr., Paris", Good , 661 reviews
65," 12th arr., Paris","1.1 miles from center","St Honore"," 12th arr., Paris", Exceptional , 59 reviews
66," 5th arr., Paris","3.1 miles from center","Hôtel les Degrés de Notre Dame"," 5th arr., Paris", Good , 723 reviews
67," 11th arr., Paris","1.4 miles from center","Tiquetonne"," 11th arr., Paris", Good ," 1,317 reviews "
68," 1st arr., Paris","3.1 miles from center","Hôtel Des Mines"," 1st arr., Paris", Good ," 2,218 reviews "
69," 5th arr., Paris","2.1 miles from center","Hôtel du Quai de Seine"," 5th arr., Paris", Very Good ," 1,705 reviews "
70," 2nd arr., Paris","3.1 miles from center","9Hotel Bastille-Lyon"," 2nd arr., Paris", Very Good , 184 reviews
71," 5th arr., Paris","1.3 miles from center","La Planque Hotel"," 5th arr., Paris", Awesome , 839 reviews
72," 19th arr., Paris","1.4 miles from center","Hôtel Média"," 19th arr., Paris", Good ," 1,277 reviews "
73," 12th arr., Paris","3.1 miles from center","Romantic Artist Room Montmartre Bed & Breakfast"," 12th arr., Paris", Awesome , 239 reviews
74," 10th arr., Paris","2.1 miles from center","Hôtel du Rond-Point des Champs-Elysées - Esprit de France"," 10th arr., Paris", Awesome , 365 reviews
75," 13th arr., Paris","3.1 miles from center","Hotel du Pré"," 13th arr., Paris", Very Good ," 1,624 reviews "
76," 18th arr., Paris","2.1 miles from center","Hotel Pierre Nicole"," 18th arr., Paris", Very Good , 236 reviews
77," 8th arr., Paris","3.1 miles from center","Pick A Flat's Saint Michel / Sommerard Apartments"," 8th arr., Paris", Very Good , 203 reviews
78," 9th arr., Paris","1.5 miles from center","Hôtel Vendome Saint-Germain"," 9th arr., Paris", Excellent ," 1,653 reviews "
79," 5th arr., Paris","3.1 miles from center","Residence Central Marais"," 5th arr., Paris", Very Good , 310 reviews
80," 5th arr., Paris","1.3 miles from center","Hotel du Lys"," 5th arr., Paris", Good , 907 reviews
81," 5th arr., Paris","2,950 feet from center","Tour Eiffel Rent"," 5th arr., Paris", Excellent , 305 reviews
82," 4th arr., Paris","3.1 miles from center","Hôtel des 3 Collèges"," 4th arr., Paris", Good , 546 reviews
83," 6th arr., Paris","0.7 miles from center","Apartment Quartier Latin - Monge"," 6th arr., Paris", Awesome , 91 reviews
84," 15th arr., Paris","3.1 miles from center","Champs Elysees Flat"," 15th arr., Paris", Good , 18 reviews
85," 5th arr., Paris","1,650 feet from center","Mercure Paris 17 Batignolles"," 5th arr., Paris", Excellent , 616 reviews
86," 5th arr., Paris","3.1 miles from center","Hotel Esmeralda"," 5th arr., Paris", Very Good , 556 reviews
87," 8th arr., Paris","2,800 feet from center","Royal Madeleine Hotel & Spa"," 8th arr., Paris", Excellent , 495 reviews
88," 17th arr., Paris","3.1 miles from center","Appartement Bijou Paris 5ème"," 17th arr., Paris", Exceptional , 12 reviews
89," 5th arr., Paris","2.5 miles from center","Novotel Paris Gare De Lyon"," 5th arr., Paris", Very Good ," 3,740 reviews "
90," 8th arr., Paris","3.1 miles from center","Chateau 41"," 8th arr., Paris", Awesome , 53 reviews
91," 5th arr., Paris","0.7 miles from center","Apartment WS Hôtel de Ville - Musée Pompidou"," 5th arr., Paris", Good , 701 reviews
92," 12th arr., Paris","3.1 miles from center","Hôtel Mimosa"," 12th arr., Paris", Good , 987 reviews
93," 4th arr., Paris","1.2 miles from center","Hotel André Latin"," 4th arr., Paris", Good ," 2,043 reviews "
94," 4th arr., Paris","3.1 miles from center","Apartment Bac St. Germain"," 4th arr., Paris", Awesome , 44 reviews
95," 10th arr., Paris","2.5 miles from center","Oh la la ! Hotel Bar Paris Bastille"," 10th arr., Paris", Awesome , 139 reviews
96," 5th arr., Paris","3.1 miles from center","Motel One Paris-Porte Dorée"," 5th arr., Paris", Awesome ," 4,505 reviews "
0,bangkok,"4.3 miles from center","The Emerald Hotel",bangkok, Good , 491 reviews
1,bangkok,"3.1 miles from center","The Davis Bangkok",bangkok, Very Good ," 1,374 reviews "
2,bangkok,"4.3 miles from center","Centara Grand At Centralworld",bangkok, Excellent ," 1,227 reviews "
3,bangkok,"2.3 miles from center","Grande Centre Point Hotel Ploenchit",bangkok, Very Good ," 2,164 reviews "
4,bangkok,"3 miles from center","DB Plus 5",bangkok, Good , 112 reviews
5,bangkok,"3.1 miles from center","Centre Point Sukhumvit 10",bangkok, Excellent ," 3,035 reviews "
6,bangkok,"7.5 miles from center","Holiday Inn Bangkok",bangkok, Excellent , 936 reviews
7,bangkok,"3.7 miles from center","Centara Grand at Central Plaza Ladprao Bangkok",bangkok, Very Good , 727 reviews
8,bangkok,"3.1 miles from center","Amari Watergate Bangkok",bangkok, Excellent ," 3,337 reviews "
9,bangkok,"2.5 miles from center","Maitria Hotel Sukhumvit 18 Bangkok – A Chatrium Collection",bangkok, Excellent , 533 reviews
10,bangkok,"3.1 miles from center","Bangkok Canale Home at Khaosarn",bangkok, Very Good , 42 reviews
11,bangkok,"5.6 miles from center","Bangkok Two Bedroom Apartment",bangkok, Very Good , 54 reviews
12,bangkok,"2.3 miles from center","Novotel Bangkok on Siam Square",bangkok, Very Good ," 2,270 reviews "
13,bangkok,"3.7 miles from center","Arnoma Hotel Bangkok",bangkok, Good , 806 reviews
14,bangkok,"2,300 feet from center","Asia Hotel Bangkok",bangkok, Good ," 3,550 reviews "
15,bangkok,"3.7 miles from center","Four Points by Sheraton Bangkok, Sukhumvit 15",bangkok, Excellent , 504 reviews
16,bangkok,"2.1 miles from center","Mode Sathorn Hotel",bangkok, Excellent , 825 reviews
17,bangkok,"2.5 miles from center","OYO 335 Top Inn Khaosan",bangkok, Good , 159 reviews
18,bangkok,"3.1 miles from center","Boulevard Hotel Bangkok Sukhumvit",bangkok, Good ," 2,572 reviews "
19,bangkok,"1.7 miles from center","OYO 225 Premier Place Hotel",bangkok, Good , 141 reviews
20,bangkok,"3.1 miles from center","Donmueang Place Hotel",bangkok, Awesome , 122 reviews
21,bangkok,"3.7 miles from center","ibis Styles Bangkok Ratchada",bangkok, Very Good , 151 reviews
22,bangkok,"3.1 miles from center","Crowne Plaza Bangkok Lumpini Park",bangkok, Excellent , 421 reviews
23,bangkok,"2.7 miles from center","InterContinental Bangkok",bangkok, Excellent ," 1,039 reviews "
24,bangkok,"0.6 miles from center","China Cozy Asoke",bangkok, Excellent , 12 reviews
25,bangkok,"2.5 miles from center","Anantara Siam Bangkok Hotel",bangkok, Awesome ," 1,219 reviews "
