walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
nic,ncb,cent1990,Nicobarese,Nicobarese,Austro-Asiatic,Eurasia,IN
nif,num,niua1240,Niuafo'ou,Oceanic,Austronesian,Papunesia,TO
nih,jsl,japa1238,Nihon Shuwa (Japanese Sign Language),Sign Languages,other,Eurasia,JP
nim,nir,nucl1633,Nimboran,Nimboran,Nimboran,Papunesia,ID
nin,niz,ning1273,Ningil,Wapei-Palei,Torricelli,Papunesia,PG
nis,dap,nisi1239,Nyishi,Tani,Sino-Tibetan,Eurasia,IN
nit,noo,noot1239,Nitinaht,Southern Wakashan,Wakashan,North America,CA
niu,niu,niue1239,Niuean,Oceanic,Austronesian,Papunesia,NZ
niv,niv,gily1242,Nivkh,Nivkh,Nivkh,Eurasia,RU
nju,nys,nyun1247,Nyungar,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nkb,ngk,ngal1292,Ngalkbun,Gunwinygic,Gunwinyguan,Australia,AU
nke,isi,nkem1242,Nkem,Bantoid,Niger-Congo,Africa,NG
nkk,nck,naka1260,Nakkara,Nakkara,Mangrida,Australia,AU
nkn,nko,nkon1245,Nkonya,Kwa,Niger-Congo,Africa,GH
nko,cgg,chig1238,Nkore-Kiga,Bantoid,Niger-Congo,Africa,UG
nkr,nkr,nuku1260,Nukuoro,Oceanic,Austronesian,Papunesia,FM
nkt,cbn,nyah1250,Nyah Kur (Tha Pong),Monic,Austro-Asiatic,Eurasia,TH
nku,kzh,kenu1236,Nubian (Kunuz),Nubian,Eastern Sudanic,Africa,EG
nlr,nlr,ngar1286,Ngarla,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nlu,nrl,ngar1287,Ngarluma,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nly,nly,nyam1271,Nyamal,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nma,nbi,maon1238,Naga (Mao),Kuki-Chin,Sino-Tibetan,Eurasia,IN
nmb,nab,sout2994,Nambikuára (Southern),Nambikuaran,Nambikuaran,South America,BR
nmd,smq,samo1303,Nomad,East Strickland,East Strickland,Papunesia,PG
nmi,nhx,isth1242,Nahuatl (Mecayapan Isthmus),Aztecan,Uto-Aztecan,North America,MX
nmm,nmm,mana1288,Manange,Bodic,Sino-Tibetan,Eurasia,NP
nmp,,,Nahuatl (Milpa Alta),Aztecan,Uto-Aztecan,,MX
nnc,ncb,cent1990,Nancowry,Nicobarese,Austro-Asiatic,Eurasia,IN
nnd,anh,nend1239,Nend,Madang,Trans-New Guinea,Papunesia,PG
nne,nen,neng1238,Nengone,Oceanic,Austronesian,Papunesia,NC
nng,nyj,nyan1304,Nyanga,Bantoid,Niger-Congo,Africa,CD
nnk,nnk,nank1250,Nankina,Finisterre-Huon,Trans-New Guinea,Papunesia,PG
nnm,tvl,tuva1244,Nanumea,Oceanic,Austronesian,Papunesia,TV
nnn,nuv,nort2784,Nuni (Northern),Gur,Niger-Congo,Africa,BF
nnt,nnt,nant1249,Nanticoke,Algonquian,Algic,North America,US
nob,fia,nobi1240,Nobiin,Nubian,Eastern Sudanic,Africa,EG SD
noc,njb,noct1238,Nocte,Northern Naga,Sino-Tibetan,Eurasia,IN
nog,nog,noga1249,Noghay,Turkic,Altaic,Eurasia,RU
nok,nog,noga1249,Noghay (Karagash),Turkic,Altaic,Eurasia,RU
nom,not,noma1263,Nomatsiguenga,Pre-Andine Arawakan,Arawakan,South America,PE
non,nhu,noon1243,Noni,Bantoid,Niger-Congo,Africa,CM
noo,snf,noon1242,Noon,Northern Atlantic,Niger-Congo,Africa,SN
nor,nob,norw1259,Norwegian,Germanic,Indo-European,Eurasia,NO
npa,nhp,isth1241,Nahuatl (Pajapan),Aztecan,Uto-Aztecan,North America,MX
nph,npa,narp1239,Nar-Phu,Bodic,Sino-Tibetan,Eurasia,NP
npi,pcm,nige1257,Nigerian Pidgin,Creoles and Pidgins,other,Africa,NG
npn,nag,naga1394,Naga Pidgin,Creoles and Pidgins,other,Eurasia,IN
npu,npy,napu1241,Napu,Celebic,Austronesian,Papunesia,ID
nrg,sen,nane1238,Nanerge,Gur,Niger-Congo,Africa,BF
nrm,nrm,naro1251,Narom,North Borneo,Austronesian,Papunesia,MY
nro,nhr,naro1249,Nharo,Khoe-Kwadi,Khoe-Kwadi,Africa,NA BW
nse,nse,nsen1242,Nsenga,Bantoid,Niger-Congo,Africa,ZM
nsg,ncg,nisg1240,Nisgha,Tsimshianic,Penutian,North America,CA
nsk,nsk,nask1242,Naskapi,Algonquian,Algic,North America,CA
nsn,nsz,nise1244,Nisenan,Maiduan,Penutian,North America,US
nsy,aii,assy1241,Neo-Aramaic (Assyrian),Semitic,Afro-Asiatic,Eurasia,SY
nsz,azz,high1278,Nahuatl (Sierra de Zacapoaxtla),Aztecan,Uto-Aztecan,North America,MX
nte,nsl,norw1255,Norsk Tegnspråk,Sign Languages,other,Eurasia,NO
nti,niy,ngit1239,Ngiti,Lendu,Central Sudanic,Africa,CD
ntj,ntj,ngaa1240,Ngaanyatjarra,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
ntn,ntm,nate1242,Nateni,Gur,Niger-Congo,Africa,BJ
nto,nto,ntom1248,Ntomba,Bantoid,Niger-Congo,Africa,CD
ntu,yrk,nene1249,Nenets (Tundra),Samoyedic,Uralic,Eurasia,RU
nua,nni,nuau1240,Nuaulu,Central Malayo-Polynesian,Austronesian,Papunesia,ID
nub,kcn,nubi1253,Nubi,Creoles and Pidgins,other,Africa,UG
nue,nus,nuer1246,Nuer,Nilotic,Eastern Sudanic,Africa,SD ET
nug,nuy,nung1290,Nunggubuyu,Nunggubuyu,Gunwinyguan,Australia,AU
nuk,mbr,nuka1242,Nukak,Cacua-Nukak,Cacua-Nukak,South America,CO
nun,nut,nung1283,Nung (in Vietnam),Kam-Tai,Tai-Kadai,Eurasia,VN
nup,nup,nupe1254,Nupe,Nupoid,Niger-Congo,Africa,NG
nus,nuf,nusu1239,Nusu,Burmese-Lolo,Sino-Tibetan,Eurasia,CN
nuu,noo,noot1239,Nuuchahnulth,Southern Wakashan,Wakashan,North America,CA
nvs,niv,gily1242,Nivkh (South Sakhalin),Nivkh,Nivkh,Eurasia,RU
nwd,new,newa1246,Newar (Dolakha),Mahakiranti,Sino-Tibetan,Eurasia,NP
nya,nyt,nyaw1247,Nyawaygi,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
nyg,nyp,nyan1313,Nyangi,Kuliak,Eastern Sudanic,Africa,UG
nyh,nih,nyih1240,Nyiha,Bantoid,Niger-Congo,Africa,ZM TZ
nyi,nyi,amas1236,Nyimang,Nyimang,Eastern Sudanic,Africa,SD
nyk,tpq,tukp1239,Nyamkad,Bodic,Sino-Tibetan,Eurasia,IN
nyl,yly,nyal1254,Nyelâyu,Oceanic,Austronesian,Papunesia,NC
nym,nym,nyam1276,Nyamwezi,Bantoid,Niger-Congo,Africa,TZ
nyn,nyh,nyig1240,Nyigina,Nyulnyulan,Nyulnyulan,Australia,AU
nyr,nna,nyan1301,Nyangumarda,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
nyu,nyv,nyul1247,Nyulnyul,Nyulnyulan,Nyulnyulan,Australia,AU
nza,nzk,nzak1247,Nzakara,Ubangi,Niger-Congo,Africa,CD CF
