walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
thw,ssf,thao1240,Thao,Western Plains Austronesian,Austronesian,Papunesia,TW
thy,thd,thay1249,Kuuk Thaayorre,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
tia,tms,tima1241,Tima,Katla-Tima,Kordofanian,Africa,SD
tib,bod,tibe1272,Tibetan (Standard Spoken),Bodic,Sino-Tibetan,Eurasia,CN
tic,tca,ticu1245,Ticuna,Ticuna,Ticuna,South America,BR PE
tid,tvo,tido1248,Tidore,North Halmaheran,West Papuan,Papunesia,ID
tif,tif,tifa1245,Tifal,Ok,Trans-New Guinea,Papunesia,PG
tig,tir,tigr1271,Tigrinya,Semitic,Afro-Asiatic,Africa,ER ET
tik,tik,tika1246,Tikar,Bantoid,Niger-Congo,Africa,CM
til,til,till1254,Tillamook,Tillamook,Salishan,North America,US
tim,tih,timu1262,Timugon,North Borneo,Austronesian,Papunesia,MY
tin,cir,tiri1258,Tinrin,Oceanic,Austronesian,Papunesia,NC
tir,tri,trio1238,Tiriyo,Cariban,Cariban,South America,BR SR
tis,bod,tibe1272,Tibetan (Shigatse),Bodic,Sino-Tibetan,Eurasia,CN
tiv,tiv,tivv1240,Tiv,Bantoid,Niger-Congo,Africa,NG
tiw,tiw,tiwi1244,Tiwi,Tiwian,Tiwian,Australia,AU
tja,dih,kumi1248,Tiipay (Jamul),Yuman,Hokan,North America,US MX
tke,tkl,toke1240,Tokelauan,Oceanic,Austronesian,Papunesia,TK
tki,bag,tuki1240,Tuki,Bantoid,Niger-Congo,Africa,CM
tkl,tkm,take1257,Takelma,Takelma,Takelma,North America,US
tkm,tuk,turk1304,Turkmen,Turkic,Altaic,Eurasia,TM
tks,kkw,teke1280,Teke (Southern),Bantoid,Niger-Congo,Africa,CG
tla,ksd,kuan1248,Tolai,Oceanic,Austronesian,Papunesia,PG
tlb,nog,noga1249,Tatar-Noghay (Alabugat),Turkic,Altaic,Eurasia,RU
tld,tld,tala1285,Talaud,Sangiric,Austronesian,Papunesia,ID
tlf,tlf,tele1256,Telefol,Ok,Trans-New Guinea,Papunesia,PG
tli,tli,tlin1245,Tlingit,Tlingit,Na-Dene,North America,US
tll,tuh,taul1251,Taulil,Taulil,Baining-Taulil,Papunesia,PG
tlo,tlb,tobe1252,Tobelo,North Halmaheran,West Papuan,Papunesia,ID
tlp,tcf,acat1239,Tlapanec,Subtiaba-Tlapanec,Oto-Manguean,North America,MX
tls,tly,taly1247,Talysh (Southern),Iranian,Indo-European,Eurasia,IR
tma,tma,tama1331,Tama,Taman,Eastern Sudanic,Africa,SD TD
tmc,tjm,timu1245,Timucua,Timucua,Timucua,North America,US
tmg,tcg,tama1336,Tamagario,Kayagar,Kayagar,Papunesia,ID
tmi,tat,tata1255,Tatar (Mishar),Turkic,Altaic,Eurasia,RU
tmk,tmc,tuma1260,Tumak,East Chadic,Afro-Asiatic,Africa,TD
tml,tam,tami1289,Tamil,Southern Dravidian,Dravidian,Eurasia,LK IN
tmm,mla,malo1243,Tamabo,Oceanic,Austronesian,Papunesia,VU
tmn,teq,nucl1339,Temein,Temein,Eastern Sudanic,Africa,SD
tmo,bod,tibe1272,Tibetan (Modern Literary),Bodic,Sino-Tibetan,Eurasia,CN
tmp,tpm,tamp1252,Tampulma,Gur,Niger-Congo,Africa,GH
tmr,tea,temi1246,Temiar,Aslian,Austro-Asiatic,Eurasia,MY
tms,,,Tommo So,Dogon,Dogon,,ML
tmu,ttt,musl1236,Tat (Muslim),Iranian,Indo-European,Eurasia,AZ
tna,tuv,turk1308,Turkana,Nilotic,Eastern Sudanic,Africa,KE UG
tnb,tnd,ango1257,Tunebo,Tunebo,Chibchan,South America,CO
tnc,tcb,tana1290,Tanacross,Athapaskan,Na-Dene,North America,US
tnd,tin,tind1238,Tindi,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU
tne,tem,timn1235,Temne,Mel,Niger-Congo,Africa,SL
tng,ton,tong1325,Tongan,Oceanic,Austronesian,Papunesia,TO
tni,lbf,tina1246,Tinani,Bodic,Sino-Tibetan,Eurasia,IN
tnj,tfn,tana1289,Tanaina,Athapaskan,Na-Dene,North America,US
tnk,lcm,tung1290,Tungak,Oceanic,Austronesian,Papunesia,PG
tnl,taa,lowe1425,Tanana (Lower),Athapaskan,Na-Dene,North America,US
tnn,baz,tune1241,Tunen,Bantoid,Niger-Congo,Africa,CM
tno,tdn,tond1251,Tondano,Minahasan,Austronesian,Papunesia,ID
tns,nwi,sout2869,Tanna (Southwest),Oceanic,Austronesian,Papunesia,VU
tnt,tnt,tont1239,Tontemboan,Minahasan,Austronesian,Papunesia,ID
tny,kza,west2466,Tenyer,Gur,Niger-Congo,Africa,BF
toa,tqo,toar1246,Toaripi,Eleman Proper,Eleman,Papunesia,PG
tob,tob,toba1269,Toba,South Guaicuruan,Guaicuruan,South America,AR
tod,sbu,stod1241,Tod,Bodic,Sino-Tibetan,Eurasia,IN
tof,kim,kara1462,Tofa,Turkic,Altaic,Eurasia,RU
toj,toj,tojo1241,Tojolabal,Mayan,Mayan,North America,MX
tok,yer,taro1263,Tarok,Platoid,Niger-Congo,Africa,NG
tol,jic,toll1241,Tol,Tol,Tol,North America,HN
ton,tqw,tonk1249,Tonkawa,Tonkawa,Tonkawa,North America,US
toq,mlu,toab1237,Toqabaqita,Oceanic,Austronesian,Papunesia,SB
tor,rth,rata1244,Toratán,Sangiric,Austronesian,Papunesia,ID
tos,tos,high1243,Totonac (Sierra),Totonacan,Totonacan,North America,MX
tot,tlc,yecu1235,Totonac (Misantla),Totonacan,Totonacan,North America,MX
tou,wib,tusi1238,Toussian,Gur,Niger-Congo,Africa,BF
tow,wib,sout2797,Toussian (Win),Gur,Niger-Congo,Africa,BF
toy,,,Tasmanian (Oyster Bay to Pitwater),Tasmanian,Tasmanian,,AU
toz,toi,tong1318,Tonga (in Zambia),Bantoid,Niger-Congo,Africa,ZM
tpa,top,papa1238,Totonac (Papantla),Totonacan,Totonacan,North America,MX
tpc,tep,tepe1278,Tepecano,Tepiman,Uto-Aztecan,North America,MX
tpi,tpi,tokp1240,Tok Pisin,Creoles and Pidgins,other,Papunesia,PG
tpn,ntp,nort2959,Tepehuan (Northern),Tepiman,Uto-Aztecan,North America,MX
tpr,tui,tupu1244,Tupuri,Adamawa,Niger-Congo,Africa,CM TD
tps,stp,sout2976,Tepehuan (Southeastern),Tepiman,Uto-Aztecan,North America,MX
tpt,tpj,tapi1253,Tapieté,Tupi-Guaraní,Tupian,South America,PY
trb,tfr,teri1250,Teribe,Talamanca,Chibchan,North America,PA CR
trc,trs,chic1273,Trique (Chicahuaxtla),Mixtecan,Oto-Manguean,North America,MX
trd,sda,tora1261,Toraja,South Sulawesi,Austronesian,Papunesia,ID
trg,tew,tewa1260,Tewa (Rio Grande),Kiowa-Tanoan,Kiowa-Tanoan,North America,US
tri,trc,copa1237,Trique (Copala),Mixtecan,Oto-Manguean,North America,MX
trm,suq,suri1267,Tirmaga,Surmic,Eastern Sudanic,Africa,ET
trn,ter,tere1279,Terêna,Bolivia-Parana,Arawakan,South America,BR
trr,tbg,nort2920,Tairora,Eastern Highlands,Trans-New Guinea,Papunesia,PG
trt,tft,tern1247,Ternate,North Halmaheran,West Papuan,Papunesia,ID
tru,tpy,trum1247,Trumai,Trumai,Trumai,South America,BR
trw,trw,torw1241,Torwali,Indic,Indo-European,Eurasia,PK
try,tiy,tiru1241,Tiruray,Bilic,Austronesian,Papunesia,PH
tsa,tkr,tsak1249,Tsakhur,Lezgic,Nakh-Daghestanian,Eurasia,RU AZ
tse,aoz,uabm1237,Timorese,Central Malayo-Polynesian,Austronesian,Papunesia,ID
tsf,cof,colo1256,Tsafiki,Barbacoan,Barbacoan,South America,EC
tsg,tsg,taus1251,Tausug,Greater Central Philippine,Austronesian,Papunesia,PH MY ID
tsh,par,pana1305,Tümpisa Shoshone,Numic,Uto-Aztecan,North America,US
tsi,tsi,nucl1649,Tsimshian (Coast),Tsimshianic,Penutian,North America,US CA
tsj,tew,tewa1260,Tewa (San Juan Pueblo),Kiowa-Tanoan,Kiowa-Tanoan,North America,US
tsk,taq,tama1365,Tamashek,Berber,Afro-Asiatic,Africa,ML
tsl,tza,tanz1238,Tanzania Sign Language,Sign Languages,other,Africa,TZ
tsm,,,Tasmanian,Tasmanian,Tasmanian,,AU
tsn,tso,tson1249,Tsonga,Bantoid,Niger-Congo,Africa,MZ ZA
tso,tsu,tsou1248,Tsou,Tsou,Austronesian,Papunesia,TW
tsp,tam,tami1289,Tamil (Spoken),Southern Dravidian,Dravidian,Eurasia,IN
tsr,trr,taus1253,Taushiro,Taushiro,Taushiro,South America,PE
tst,huq,tsat1238,Tsat,Malayo-Sumbawan,Austronesian,Eurasia,CN
tsw,tsn,tswa1253,Tswana,Bantoid,Niger-Congo,Africa,BW ZA
tsz,ddo,dido1241,Tsez,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU
ttb,tat,tata1255,Tatar (Baraba),Turkic,Altaic,Eurasia,RU
ttd,tet,tetu1245,Tetun Dili,Central Malayo-Polynesian,Austronesian,Papunesia,TL
tte,tta,tute1247,Tutelo,Core Siouan,Siouan,North America,US
ttn,tet,tetu1245,Tetun,Central Malayo-Polynesian,Austronesian,Papunesia,TL
tts,tks,take1255,Tati (Southern),Iranian,Indo-European,Eurasia,IR
ttu,bbl,bats1242,Tsova-Tush,Nakh,Nakh-Daghestanian,Eurasia,GE
tty,tav,tatu1247,Tatuyo,Tucanoan,Tucanoan,South America,CO
tua,pmt,tuam1242,Tuamotuan,Oceanic,Austronesian,Papunesia,PF
tub,tbu,tuba1279,Tubar,Tubar,Uto-Aztecan,North America,MX
tuc,tuo,tuca1252,Tucano,Tucanoan,Tucanoan,South America,BR CO
tug,thv,taha1241,Tuareg (Ahaggar),Berber,Afro-Asiatic,Africa,NE LY DZ
tui,tsm,turk1288,Türk Isaret Dili,Sign Languages,other,Eurasia,TR
tuk,bhq,tuka1247,Tukang Besi,Celebic,Austronesian,Papunesia,ID
tul,tcy,tulu1258,Tulu,Southern Dravidian,Dravidian,Eurasia,IN
tum,tmq,tuml1238,Tumleo,Oceanic,Austronesian,Papunesia,PG
tun,tun,tuni1252,Tunica,Tunica,Tunica,North America,US
tup,,,Tupi,Tupi-Guaraní,Tupian,,BR
tur,tur,nucl1301,Turkish,Turkic,Altaic,Eurasia,TR
tus,tus,tusc1257,Tuscarora,Northern Iroquoian,Iroquoian,North America,US
tut,ttm,nort2941,Tutchone (Northern),Athapaskan,Na-Dene,North America,CA
tuv,tyv,tuvi1240,Tuvan,Turkic,Altaic,Eurasia,RU MN
tuy,tue,tuyu1244,Tuyuca,Tucanoan,Tucanoan,South America,CO BR
tvl,tvl,tuva1244,Tuvaluan,Oceanic,Austronesian,Papunesia,TV
tvo,tat,tata1255,Tatar,Turkic,Altaic,Eurasia,RU
tvt,tvt,tuts1235,Tutsa,Northern Naga,Sino-Tibetan,Eurasia,IN
twa,twa,twan1247,Twana,Central Salish,Salishan,North America,US
twe,tac,lowl1265,Tarahumara (Western),Tarahumaran,Uto-Aztecan,North America,MX
twn,twf,nort1550,Tiwa (Northern),Kiowa-Tanoan,Kiowa-Tanoan,North America,US
tws,tix,sout2961,Tiwa (Southern),Kiowa-Tanoan,Kiowa-Tanoan,North America,US
twx,kmz,khor1269,Turkic (West Xorasan),Turkic,Altaic,Eurasia,IR
txj,too,xico1235,Totonac (Xicotepec de Juárez),Totonacan,Totonacan,North America,MX
tye,woa,tyar1236,Tyeraity,Northern Daly,Northern Daly,Australia,AU
tza,tzh,tzel1254,Tzeltal (Aguacatenango),Mayan,Mayan,North America,MX
tzb,tzb,tzel1255,Tzeltal (Bachajón),Mayan,Mayan,North America,MX
tze,tzb,tzel1253,Tzeltal,Mayan,Mayan,North America,MX
tzi,tss,taiw1241,Taiwanese Sign Language (Ziran Shouyu),Sign Languages,other,Papunesia,TW
tzo,tzc,tzot1262,Tzotzil,Mayan,Mayan,North America,MX
tzs,tzs,tzot1260,Tzotzil (San Andrés),Mayan,Mayan,North America,MX
tzt,tzh,tzel1254,Tzeltal (Tenejapa),Mayan,Mayan,North America,MX
tzu,tzt,cakc1244,Tzutujil,Mayan,Mayan,North America,GT
tzz,tzz,tzot1264,Tzotzil (Zinacantán),Mayan,Mayan,North America,MX
uby,uby,ubyk1235,Ubykh,Northwest Caucasian,Northwest Caucasian,Eurasia,RU TR
udh,ude,udih1248,Udihe,Tungusic,Altaic,Eurasia,RU
udi,udi,udii1243,Udi,Lezgic,Nakh-Daghestanian,Eurasia,AZ
udm,udm,udmu1245,Udmurt,Permic,Uralic,Eurasia,RU
ugs,ugn,ugan1238,Ugandan Sign Language,Sign Languages,other,Africa,UG
uhi,urf,atam1239,Uradhi,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
ukr,ukr,ukra1253,Ukrainian,Slavic,Indo-European,Eurasia,UA
uku,kuu,uppe1438,Upper Kuskokwim,Athapaskan,Na-Dene,North America,US
ulc,ulc,ulch1241,Ulcha,Tungusic,Altaic,Eurasia,RU
uld,udl,wuzl1236,Uldeme,Biu-Mandara,Afro-Asiatic,Africa,CM
uli,uli,ulit1238,Ulithian,Oceanic,Austronesian,Papunesia,FM
uma,ppk,umaa1242,Uma,Celebic,Austronesian,Papunesia,ID
umb,umb,umbu1257,UMbundu,Bantoid,Niger-Congo,Africa,AO
ump,ump,umpi1239,Umpila,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
umu,cbd,cari1279,Umaua,Cariban,Cariban,South America,CO
una,mtg,unaa1239,Una,Mek,Trans-New Guinea,Papunesia,ID
ung,ung,ngar1284,Ungarinjin,Worrorran,Worrorran,Australia,AU
unm,unm,unam1242,Unami,Algonquian,Algic,North America,US
ura,uur,urav1235,Ura,Oceanic,Austronesian,Papunesia,VU
urd,urd,urdu1245,Urdu,Indic,Indo-European,Eurasia,PK
urh,urh,urho1239,Urhobo,Edoid,Niger-Congo,Africa,NG
uri,uri,urim1252,Urim,Urim,Torricelli,Papunesia,PG
urk,urb,urub1250,Urubú-Kaapor,Tupi-Guaraní,Tupian,South America,BR
url,urk,urak1238,Urak Lawoi',Malayo-Sumbawan,Austronesian,Eurasia,TH
urm,uum,urum1249,Urum,Turkic,Altaic,Eurasia,GE UA
urn,ura,urar1246,Urarina,Urarina,Urarina,South America,PE
urt,urt,urat1244,Urat,Wapei-Palei,Torricelli,Papunesia,PG
uru,ure,uruu1244,Uru,Uru-Chipaya,Uru-Chipaya,South America,BO
usa,wnu,usan1239,Usan,Madang,Trans-New Guinea,Papunesia,PG
usl,uks,urub1243,Urubú Sign Language,Sign Languages,other,South America,BR
usr,usa,usar1243,Usarufa,Eastern Highlands,Trans-New Guinea,Papunesia,PG
ute,ute,utes1238,Ute,Numic,Uto-Aztecan,North America,US
uyg,uig,uigh1240,Uyghur,Turkic,Altaic,Eurasia,CN
uzb,uzs,uzbe1247,Uzbek,Turkic,Altaic,Eurasia,AF UZ
uzn,uzn,nort2690,Uzbek (Northern),Turkic,Altaic,Eurasia,UZ
vaf,vaf,vafs1240,Vafsi,Iranian,Indo-European,Eurasia,IR
vag,vag,vagl1239,Vagla,Gur,Niger-Congo,Africa,GH
vai,vai,vaii1241,Vai,Western Mande,Mande,Africa,SL LR
vas,vas,vasa1239,Vasavi,Indic,Indo-European,Eurasia,IN
vat,dic,lako1244,Vata,Kru,Niger-Congo,Africa,CI
ved,ved,vedd1240,Vedda,Indic,Indo-European,Eurasia,LK
ven,ven,vend1245,Venda,Bantoid,Niger-Congo,Africa,ZW ZA
vep,vep,veps1250,Veps,Finnic,Uralic,Eurasia,RU
vie,vie,viet1252,Vietnamese,Viet-Muong,Austro-Asiatic,Eurasia,VN
vif,vif,vili1238,Vili,Bantoid,Niger-Congo,Africa,GA CG
vka,vka,kari1304,Kariera,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
vla,bvs,vlaa1235,Vlaamse Gebarentaal,Sign Languages,other,Eurasia,BE
vnm,vnm,vinm1237,Vinmavis,Oceanic,Austronesian,Papunesia,VU
vot,vot,voti1245,Votic,Finnic,Uralic,Eurasia,RU
wag,waq,wage1238,Wagiman,Wagiman,Wagiman,Australia,AU
wah,whg,wahg1249,Wahgi,Chimbu,Trans-New Guinea,Papunesia,PG
wai,waw,waiw1244,Wai Wai,Cariban,Cariban,South America,BR GY
wak,wbl,wakh1245,Wakhi,Iranian,Indo-European,Eurasia,AF PK TJ
wal,van,valm1241,Walman,Wapei-Palei,Torricelli,Papunesia,PG
wam,wmb,wamb1258,Wambaya,Wambayan,Mirndi,Australia,AU
wan,nbx,ngur1261,Wangkumara,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
wao,auc,waor1240,Waorani,Waorani,Waorani,South America,EC
wap,wao,wapp1239,Wappo,Wappo,Wappo-Yukian,North America,US
war,pav,wari1268,Wari',Chapacura-Wanham,Chapacura-Wanham,South America,BR
was,was,wash1253,Washo,Washo,Washo,North America,US
wat,wbv,waja1257,Watjarri,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wau,noa,woun1238,Waunana,Choco,Choco,South America,CO PA
way,oym,waya1270,Wayampi,Tupi-Guaraní,Tupian,South America,BR
wbn,wms,wamb1259,Wambon,Awju-Dumut,Trans-New Guinea,Papunesia,ID
wbt,wbt,wanm1242,Wanman,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wch,mzh,wich1264,Wichí,Matacoan,Matacoan,South America,BO AR
wdo,,pitj1243,Western Desert (Ooldea),Western Pama-Nyungan,Pama-Nyungan,,AU
wec,cym,wels1247,Welsh (Colloquial),Celtic,Indo-European,Eurasia,GB
wed,wed,weda1241,Wedau,Oceanic,Austronesian,Papunesia,PG
wel,cym,wels1247,Welsh,Celtic,Indo-European,Eurasia,GB
wem,,west2443,Wembawemba,Southeastern Pama-Nyungan,Pama-Nyungan,,AU
wer,wer,weri1253,Weri,Goilalan,Trans-New Guinea,Papunesia,PG
wet,lex,luan1263,Wetan,Central Malayo-Polynesian,Austronesian,Papunesia,ID
wgg,wgg,wang1290,Wangkangurru,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
wgl,wbk,waig1243,Waigali,Nuristani,Indo-European,Eurasia,AF
wgu,wrg,waru1264,Warrongo,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
wic,wic,wich1260,Wichita,Caddoan,Caddoan,North America,US
wik,yok,yoku1256,Wikchamni,Yokuts,Penutian,North America,US
win,wit,wint1259,Wintu,Wintuan,Penutian,North America,US
wir,wiw,wira1265,Wirangu,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
wiy,wiy,wiyo1248,Wiyot,Wiyot,Algic,North America,US
wkw,wkw,waka1274,Wagawaga,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
wlf,wol,nucl1347,Wolof,Northern Atlantic,Niger-Congo,Africa,SN GM
wll,wls,wall1257,Wallisian,Oceanic,Austronesian,Papunesia,WF
wlm,wmt,walm1241,Walmatjari,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wlo,wlo,woli1241,Wolio,Celebic,Austronesian,Papunesia,ID
wlw,wrb,warl1256,Warluwara,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wly,wal,wola1242,Wolaytta,North Omotic,Afro-Asiatic,Africa,ET
wma,mqs,west2600,West Makian,North Halmaheran,West Papuan,Papunesia,ID
wme,wme,wamb1257,Wambule,Mahakiranti,Sino-Tibetan,Eurasia,NP
wmn,wem,weme1239,Wéménugbé,Kwa,Niger-Congo,Africa,BJ
wmu,wim,wikm1247,Wik Munkan,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
wn,wig,wikn1245,Wik Ngathana,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
wna,wan,wann1242,Wan,Eastern Mande,Mande,Africa,CI
wnb,win,hoch1243,Winnebago,Core Siouan,Siouan,North America,US
wnt,wnc,want1252,Wantoat,Finisterre-Huon,Trans-New Guinea,Papunesia,PG
wob,wob,weno1238,Wobe,Kru,Niger-Congo,Africa,CI
wog,wog,woga1249,Wogamusin,Upper Sepik,Sepik,Papunesia,PG
woi,woi,kama1365,Woisika,Greater Alor,Timor-Alor-Pantar,Papunesia,ID
wol,woe,wole1240,Woleaian,Oceanic,Austronesian,Papunesia,FM
wom,,womo1238,Womo,Serra Hills,Skou,Papunesia,PG
wor,unp,woro1255,Worora,Worrorran,Worrorran,Australia,AU
wps,wap,wapi1253,Wapishana,Wapishanan,Arawakan,South America,BR GY
wra,wba,wara1303,Warao,Warao,Warao,South America,VR
wrb,,warr1257,Warrnambool,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
wrd,wrr,ward1246,Wardaman,Yangmanic,Yangmanic,Australia,AU
wrg,wgy,warr1255,Warrgamay,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
wrk,gae,guar1293,Warekena,Inland Northern Arawakan,Arawakan,South America,VR CO BR
wrl,wbp,warl1254,Warlpiri,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wrm,wsa,ware1253,Warembori,South Halmahera - West New Guinea,Austronesian,Papunesia,ID
wrn,wnd,wand1263,Warndarang,Warndarang,Mangarrayi-Maran,Australia,AU
wrp,wrp,waro1242,Waropen,South Halmahera - West New Guinea,Austronesian,Papunesia,ID
wrs,wrs,wari1266,Waris,Border,Border,Papunesia,PG ID
wru,wrm,waru1265,Warumungu,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
wrw,wwr,warr1258,Warrwa,Nyulnyulan,Nyulnyulan,Australia,AU
wry,wrz,wara1290,Waray (in Australia),Warayic,Gunwinyguan,Australia,AU
wsk,wsk,wask1241,Waskia,Madang,Trans-New Guinea,Papunesia,PG
wth,,wath1238,Wathawurrung,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
wtm,wax,wata1253,Watam,Lower Ramu,Lower Sepik-Ramu,Papunesia,PG
wuc,wuu,wuch1236,Wu (Changzhou),Chinese,Sino-Tibetan,Eurasia,CN
wur,wau,waur1244,Waurá,Central Arawakan,Arawakan,South America,BR
wwa,wwa,waam1244,Waama,Gur,Niger-Congo,Africa,BJ
wwr,,woiw1237,Woiwurrung,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,AU
wwy,war,wara1300,Waray-Waray,Greater Central Philippine,Austronesian,Papunesia,PH
wya,wya,wyan1247,Wyandot,Northern Iroquoian,Iroquoian,North America,CA
wyn,way,waya1269,Wayana,Cariban,Cariban,South America,SR BR GF
xam,xam,xamm1241,/Xam,Tu,Tu,Africa,ZA
xar,ane,xara1244,Xârâcùù,Oceanic,Austronesian,Papunesia,NC
xas,kao,xaas1235,Xasonga,Western Mande,Mande,Africa,ML SN
xav,xav,xava1240,Xavánte,Ge-Kaingang,Macro-Ge,South America,BR
xbi,xbi,komb1272,Kombio,Kombio-Arapesh,Torricelli,Papunesia,PG
xer,xer,xere1240,Xerénte,Ge-Kaingang,Macro-Ge,South America,BR
xho,xho,xhos1239,Xhosa,Bantoid,Niger-Congo,Africa,ZA
xia,nan,minn1241,Xiamen,Chinese,Sino-Tibetan,Eurasia,CN
xns,xns,kana1283,Kanashi,Bodic,Sino-Tibetan,Eurasia,IN
xok,xok,xokl1240,Xokleng,Ge-Kaingang,Macro-Ge,South America,BR
xoo,nmn,xooo1239,!Xóõ,Tu,Tu,Africa,BW
xsm,xsm,kase1253,Kàsim,Gur,Niger-Congo,Africa,BF GH
xun,knw,kung1261,!Xun (Ekoka),Ju-Kung,Kxa,Africa,NA AO
yag,yad,yagu1244,Yagua,Peba-Yaguan,Peba-Yaguan,South America,PE
yah,yag,yama1264,Yahgan,Yámana,Yámana,South America,CL
yak,yaf,yaka1269,Yaka,Bantoid,Niger-Congo,Africa,AO CD
yal,kkl,kosa1249,Yale (Kosarek),Mek,Trans-New Guinea,Papunesia,ID
yam,yaa,yami1256,Yaminahua,Panoan,Panoan,South America,BR PE
yan,ynn,yana1271,Yana,Yana,Hokan,North America,US
yao,yao,yaoo1241,Yao (in Malawi),Bantoid,Niger-Congo,Africa,MW MZ
yap,yap,yape1248,Yapese,Yapese,Austronesian,Papunesia,FM
yaq,yaq,yaqu1251,Yaqui,Cahita,Uto-Aztecan,North America,MX
yar,yrb,yare1248,Yareba,Yareban,Yareban,Papunesia,PG
yav,yuf,hava1248,Yavapai,Yuman,Hokan,North America,US
yaw,yva,nucl1454,Yawa,Yawa,Yawa,Papunesia,ID
yay,pcc,bouy1240,Yay,Kam-Tai,Tai-Kadai,Eurasia,VN
yaz,yah,yazg1240,Yazgulyam,Iranian,Indo-European,Eurasia,TJ
yba,yam,yamb1251,Yamba,Bantoid,Niger-Congo,Africa,CM
ybi,ybi,yamp1242,Yamphu,Mahakiranti,Sino-Tibetan,Eurasia,NP
ych,esu,cent2127,Yup'ik (Chevak),Eskimo,Eskimo-Aleut,North America,US
ycn,ycn,yucu1253,Yucuna,Inland Northern Arawakan,Arawakan,South America,CO
yct,yua,yuca1254,Yucatec,Mayan,Mayan,North America,MX
ydb,ydd,east2295,Yiddish (Bessarabian),Germanic,Indo-European,Eurasia,MD
ydd,ydd,yidd1255,Yiddish,Germanic,Indo-European,Eurasia,LT PL DE BY UA
ydl,ydd,east2295,Yiddish (Lodz),Germanic,Indo-European,Eurasia,PL
yei,jei,yeii1239,Yei,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,Papunesia,ID PG
yel,yle,yele1255,Yelî Dnye,Yele,Yele,Papunesia,PG
yem,ybb,yemb1246,Yemba,Bantoid,Niger-Congo,Africa,CM
yes,yss,yess1239,Yessan-Mayo,Tama Sepik,Sepik,Papunesia,PG
yey,yey,yeyi1239,Yeyi,Bantoid,Niger-Congo,Africa,BW NA
ygd,dur,diii1241,Yag Dii,Adamawa,Niger-Congo,Africa,CM
ygn,yai,yagn1238,Yaghnobi,Iranian,Indo-European,Eurasia,TJ
ygr,ygr,yaga1260,Yagaria,Eastern Highlands,Trans-New Guinea,Papunesia,PG
yi,iii,sich1238,Yi,Burmese-Lolo,Sino-Tibetan,Eurasia,CN
yid,yii,yidi1250,Yidiny,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
yil,yll,yill1241,Yil,Wapei-Palei,Torricelli,Papunesia,PG
yim,yee,yima1243,Yimas,Lower Sepik,Lower Sepik-Ramu,Papunesia,PG
yin,yij,yind1247,Yindjibarndi,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
yir,yiy,yiry1245,Yir Yiront,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
yki,yuk,yuki1243,Yuki,Yukian,Wappo-Yukian,North America,US
ykm,yky,yako1252,Yakoma,Ubangi,Niger-Congo,Africa,CF
ykn,yka,yaka1277,Yakan,Sama-Bajaw,Austronesian,Papunesia,PH
yko,yux,sout2750,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,RU
ykp,yup,yukp1241,Yukpa,Cariban,Cariban,South America,VR CO
ykt,sah,yaku1245,Yakut,Turkic,Altaic,Eurasia,RU
ylb,mpj,mart1256,Yulparija,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
yli,yli,angg1239,Yali,Dani,Trans-New Guinea,Papunesia,ID
ylm,jel,yelm1242,Yelmek,Bulaka River,Bulaka River,Papunesia,ID
ylr,ylr,yala1262,Yalarnnga,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
ylt,ydd,east2295,Yiddish (Lithuanian),Germanic,Indo-European,Eurasia,LT
ymd,jmd,yamd1240,Yamdena,Central Malayo-Polynesian,Austronesian,Papunesia,ID
ymi,tao,yami1254,Yami,Batanic,Austronesian,Papunesia,TW
yms,jnj,yems1235,Yemsa,North Omotic,Afro-Asiatic,Africa,ET
