ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-R24-003;DSTR;TC;TC1;1.5;1.2;N-NORTH;N-NORTH;Blue;Yes;;;;NEC PRINCE ALBERT ST & SE MARINE DR;82C03;COVAV;;;;__FJ8VJB;Active;;N;IN_SERVICE;No;2009-11-10T10:43:32+01:00;covDBimport;SDE 834766;32996;32996;"{""type"": ""Point"", ""coordinates"": [-123.08811237094348, 49.211210716049976]}";Sunset
WH-R24-007;DSTR;TC;C71P;0.0;6.4;;;Blue;Yes;;;;NS SE MARINE DRIVE & SHERBROOKE ST;82C20;COVAV;;;1995-01-01;__FJ8WA7;Active;;N;IN_SERVICE;Yes;2009-11-10T10:33:00+01:00;covDBimport;SDE 834766;30842;30842;"{""type"": ""Point"", ""coordinates"": [-123.08224122204768, 49.211228457447135]}";Sunset
WH-R24-012;DSTR;TC;TC1;82.9;1.5;S-SOUTH;S-SOUTH;Blue;Yes;;;ES 8100;;82C06;COVAV;;;1961-01-01;__FJFK9A;Active;;Y;IN_SERVICE;No;2009-11-10T10:27:00+01:00;covDBimport;SDE 834766;28972;28972;"{""type"": ""Point"", ""coordinates"": [-123.08390261801746, 49.21023844658339]}";Sunset
WH-R24-015;DSTR;Mueller;CENTURION;2.1;2.4;N-NORTH;N-NORTH;Blue;Yes;;;;NWC SHERBROOKE ST & E 67TH AV;82C10;COVAV;;;1964-01-01;__FJ8VJJ;Active;;N;IN_SERVICE;Yes;2009-11-10T10:36:18+01:00;covDBimport;ENYAMW;30189;30189;"{""type"": ""Point"", ""coordinates"": [-123.08223802064686, 49.20977022456401]}";Sunset
WH-R24-018;DSTR;Clow;BrigadierM;1.5;3.4;N-NORTH;N-NORTH;Blue;Yes;;;;NWC CROMPTON ST & E KENT AV NORTH;82C11;COVAV;2014-08-22;MVA;1962-01-01;__FJ8VJH;Active;;N;IN_SERVICE;Yes;2009-11-10T10:18:00+01:00;covDBimport;SDE 834766;28300;28300;"{""type"": ""Point"", ""coordinates"": [-123.08086588628717, 49.20912026717774]}";Sunset
WH-R25-002;DSTR;TC;TC1;4.0;2.7;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC CROMPTON ST & E KENT AV SOUTH;82C14;COVAV;2002-11-21;MVA;1963-01-01;__FJ8VJ8;Active;;N;IN_SERVICE;No;2009-11-10T10:16:01+01:00;covDBimport;SDE 834766;28058;28058;"{""type"": ""Point"", ""coordinates"": [-123.08086933317708, 49.20870827145892]}";Sunset
WH-R25-003;DSTR;TC;TC1;0.0;8.8;;;Red;Yes;;;SS 1200;E KENT AV SOUT;;;;;2002-01-01;__FJ8WQ2;Active;;N;IN_SERVICE;No;2009-11-10T10:34:56+01:00;covDBimport;SDE 834766;31764;31764;"{""type"": ""Point"", ""coordinates"": [-123.08241654221902, 49.20863526950083]}";Sunset
WH-S08-003;DSTR;TC;TC1;1.5;4.0;N-NORTH;N-NORTH;Blue;Yes;;;;NEC CLARK DRIVE & FRANKLIN ST;09C10;COVAV;;;1981-01-01;__FJ8V3O;Active;;N;IN_SERVICE;No;2009-11-10T10:38:00+01:00;covDBimport;SDE 834766;30247;30247;"{""type"": ""Point"", ""coordinates"": [-123.07692051715891, 49.282373562718696]}";Grandview-Woodland
WH-S08-006;DSTR;Mueller;CENTURION;12.8;0.3;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC CLARK DRIVE & E HASTINGS ST;09D43;COVAV;;;1998-01-01;__FJ8WFL;Active;;N;IN_SERVICE;Yes;2009-11-10T10:40:00+01:00;covDBimport;ENYANGS;33669;33669;"{""type"": ""Point"", ""coordinates"": [-123.07702470754043, 49.28117798039022]}";Grandview-Woodland
WH-S08-015;DSTR;TC;TC1;4.9;1.8;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC COMMERCIAL DRIVE & POWELL ST;10B03;COVAV;;;1986-01-01;__FJ8TCC;Active;;N;IN_SERVICE;No;2009-11-10T10:22:24+01:00;covDBimport;SDE 834766;28454;28454;"{""type"": ""Point"", ""coordinates"": [-123.0704818847344, 49.28367795781118]}";Grandview-Woodland
WH-S09-008;DSTR;Mueller;CENTURION;4.0;4.0;E-EAST;E-EAST;Blue;Yes;;;;SEC ADANAC ST & CLARK DRIVE;09D33;COVAV;;;1998-01-01;__FJ8WFN;Active;;N;IN_SERVICE;Yes;2009-11-10T10:34:06+01:00;covDBimport;SDE 834766;31585;31585;"{""type"": ""Point"", ""coordinates"": [-123.0770350103194, 49.277570402519174]}";Grandview-Woodland
WH-S09-012;DSTR;TC;TC1;3.4;2.5;W-WEST;W-WEST;Blue;Yes;;;;SWC VENABLES ST & MCLEAN DRIVE;19A23;COVAV;;;2002-01-01;__FJD6MX;Active;;N;IN_SERVICE;No;2009-11-10T10:42:46+01:00;covDBimport;SDE 834766;33715;33715;"{""type"": ""Point"", ""coordinates"": [-123.0745813809318, 49.27663812329738]}";Grandview-Woodland
WH-S09-013;DSTR;Mueller;CENTURION;0.0;5.0;;;Blue;Yes;;;;NWC VENABLES ST & MCLEAN DRIVE;19A41;COVAV;;;1989-01-01;__FJD6N7;Active;;N;IN_SERVICE;Yes;2009-11-10T10:41:00+01:00;covDBimport;DAC64;33256;33256;"{""type"": ""Point"", ""coordinates"": [-123.07434381299977, 49.27676729432099]}";Grandview-Woodland
WH-S09-015;DSTR;TC;TC1;4.3;4.0;E-EAST;E-EAST;Blue;Yes;;;;SEC VENABLES ST & COTTON DRIVE;19A21;COVAV;;;2002-01-01;__FJD6N9;Active;;N;IN_SERVICE;No;2009-11-10T10:33:21+01:00;covDBimport;SDE 834766;31425;31425;"{""type"": ""Point"", ""coordinates"": [-123.07124412852622, 49.27660637127086]}";Grandview-Woodland
WH-S09-020;DSTR;TC;TC1;1.5;1.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC COMMERCIAL DRIVE & FRANCES ST;19A03;COVAV;;;;__FJ8TC0;Active;;N;IN_SERVICE;No;2009-11-10T10:36:00+01:00;covDBimport;ENYANGS;30121;30121;"{""type"": ""Point"", ""coordinates"": [-123.07056686238732, 49.27927521668791]}";Grandview-Woodland
WH-S09-023;DSTR;TC;TC1;1.5;1.5;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC COMMERCIAL DRIVE & E PENDER ST;10B30;COVAV;;;;__FJ8TC2;Active;;N;IN_SERVICE;No;2009-11-10T10:28:57+01:00;covDBimport;SDE 834766;28881;28881;"{""type"": ""Point"", ""coordinates"": [-123.07052351493486, 49.28018374728456]}";Grandview-Woodland
