Breed;Color;Date;DateCreated;Name;Sex;State
German Short Haired Pointer;Dark Brown & White;1999-05-12;2005-06-21;Asia;F;Lost
Shep X;Black & Tan;1999-05-12;2005-06-21;Ramona;F/S;Lost
Lab X Shep;Black & Tan;1999-05-12;2005-06-21;Jazu;M;Lost
Newfie X Lab;Black;1999-05-14;2005-06-21;Andrew;M/N;Matched
Retriever;Golden;1999-05-13;2005-06-21;Magic;M;Matched
Sheltie;Tan & White;1999-05-15;2005-06-21;Tim;M/N;Found
German Weimaraner;Beige Short Hair;1999-05-15;2005-06-21;Mercury;M;Lost
Chow X Husky;Tan & White;1999-05-15;2005-06-21;Frankie;M;Lost
Min Pin;Black & Tan;1999-05-15;2005-06-21;;M;Lost
Min Schnauzer;Grey & Silver;1999-05-17;2005-06-21;Fritz;M;Lost
Toy Poodle;Black;1999-05-18;2005-06-21;Cheeka;F/S;Found
Norwich Terrier;Brown;1999-05-17;2005-06-21;Bam Bam;M;Lost
Mutt;Beige & White;1999-05-27;2005-06-21;Seashell;F/S;Matched
Akita X;Grey Charcoal;1999-05-28;2005-06-21;Frank;M/N;Lost
Bichon;White;1999-05-30;2005-06-21;Dodo;M;Matched
Poodle;Cream;1999-05-30;2005-06-21;Dooby;M;Matched
Poodle;White;1999-05-31;2005-06-21;;F/S;Found
Sheperd;Black & Tan;1999-06-01;2005-06-21;Chumley;M;Lost
Min. Pinsher;Black & Tan;1999-06-02;2005-06-21;;F;Found
Bull Mastiff X Rott;Black & Brown;1999-06-02;2005-06-21;Jasmine;F/S;Lost
Beagle;White & Tan;1999-06-03;2005-06-21;Scrappy;M;Lost
J.R. Terrier;Brown & White;1999-06-03;2005-06-21;Molly;F/S;Matched
Shep;Black & Tan;1999-06-04;2005-06-21;;F/S;Matched
Akita X;Black;1999-06-04;2005-06-21;;F/S;Matched
Terrier X;White Black & Grey markings;1999-06-09;2005-06-21;;F;Found
Lab;Black;1999-06-11;2005-06-21;Jackson;M;Lost
Husky X Lab;Black & White;1999-06-11;2005-06-21;Buddy;M;Matched
Collie  X;Black;1999-06-14;2005-06-21;Brodie;M;Lost
Lhasa Apso;Brown & White;1999-06-15;2005-06-21;Patch;M/N;Found
Sharpei;Fawn;1999-06-16;2005-06-21;Oly;M;Lost
Shepherd;Black & Tan;1999-06-18;2005-06-21;Marky;M;Lost
Pomeranian;Sable & white on belly;1999-06-18;2005-06-21;Joey;M;Lost
Sharpei X Ridge X Pit;Black & Grey & White & Tan;1999-06-20;2005-06-21;Jada and Dakota;F/S;Lost
Mastif X;Brindle;1999-06-25;2005-06-21;Leto;M;Matched
Lab X ? Pit Bull ?;Brown & White;1999-06-25;2005-06-21;Zero;F;Lost
Retriever;Gold;1999-06-28;2005-06-21;;M;Found
Lab;Black;1999-06-28;2005-06-21;;M;Matched
Shepherd;Black & Tan;1999-06-29;2005-06-21;Little Yellow;M;Lost
Shep X;Yellow;1999-06-29;2005-06-21;;;Matched
Husky X Wolf;Black & Tan;1999-06-30;2005-06-21;Shadow;F/S;Matched
Rottweiller;Black & Tan;1999-07-02;2005-06-21;Rex;M;Lost
Collie X Shep;Black & Tan;1999-07-05;2005-06-21;Gucci;F;Lost
Pitbull;Tan;1999-07-06;2005-06-21;Scar;M;Lost
Pitbull (red nose);Tan;1999-07-06;2005-06-21;Scar;M;Lost
Siberian Husky;Silver & Black Markings;1999-07-06;2005-06-21;Kuno;M/N;Lost
Chihuahua X Beagle;Brown & Tan & White;1999-07-06;2005-06-21;Charlie;M;Lost
Lab;Black;1999-07-07;2005-06-21;;F;Lost
Corgi  X;Golden;1999-07-07;2005-06-21;Columbus;M;Found
Wheaten Terrier;Blonde;1999-07-08;2005-06-21;Auggie;M;Lost
Lab X;Black;1999-07-08;2005-06-21;;F;Found
Pug;Tan;1999-07-11;2005-06-21;;F;Matched
Poodle X Terrier;Grey;1999-07-11;2005-06-21;Bru;M/N;Matched
Dalmation;White & Black;1999-07-14;2005-06-21;;M/N;Found
Sheperd X;Brown & White;1999-07-15;2005-06-21;Bear;M/N;Lost
Shep X;Tan & Black;1999-07-16;2005-06-21;;F;Found
Yorkie  X;Black & Brown;1999-07-17;2005-06-21;Dong Dong;M/N;Matched
Pom;Orange;1999-07-17;2005-06-21;Toni;F;Lost
Collie X Shep X Ret;Tan with Black Stripes;1999-07-18;2005-06-21;;M/N;Found
Boxer X Lab;Brindle;1999-07-20;2005-06-21;Waylon;M/N;Lost
Lhasa Apso;Tan;1999-07-21;2005-06-21;Suzie;F;Lost
Sheperd X Husky;Golden;1999-07-22;2005-06-21;Bear;M/N;Lost
Sheltie;Tan & White;1999-07-22;2005-06-21;;F;Lost
Poodle;Blonde;1999-07-24;2005-06-21;;F;Found
Border Collie;Black & White;1999-07-27;2005-06-21;Cisco;M;Lost
Rottweiler;Black & Tan;1999-07-28;2005-06-21;Kelo;M;Lost
Husky Wolf?;Grey & Black;1999-07-28;2005-06-21;Spike leather collar;M;Lost
Pomeranian;Sable;1999-07-28;2005-06-21;;F;Found
Sheltie;Tri;1999-07-28;2005-06-21;Simba;M;Matched
Sheltie;Tri;1999-07-29;2005-06-21;;M;Matched
Beagle;Tri;1999-07-28;2005-06-21;;F;Found
Lab X;Brown;1999-07-30;2005-06-21;;M;Found
Pitbull;Brown;1999-07-31;2005-06-21;;M/N;Matched
Staffordshire Terrier;Red;1999-07-31;2005-06-21;Sasha;F;Matched
Sheltie;Tri Coloured;1999-08-01;2005-06-21;Lacey;F;Lost
Cocker Spaniel;Golden;1999-08-03;2005-06-21;Derry;F/S;Lost
Poodle;Black;1999-08-03;2005-06-21;;;Found
Shepherd;Brown & Black & Grey;1999-08-03;2005-06-21;Meesho;M;Lost
Yorkshire Terrier;Black & Blonde;1999-08-03;2005-06-21;Felix;M/N;Matched
Pomeranian;Brown;1999-08-03;2005-06-21;Sandy;M;Lost
Yorkie;Black & Tan;1999-08-03;2005-06-21;;M;Matched
Lhasa Apso;Beige;1999-08-03;2005-06-21;;F;Found
Poodle X ?;Wht &  Black ears, face & tail;1999-08-04;2005-06-21;;F;Lost
Husky X;Tan & Black & White;1999-08-04;2005-06-21;Tia;F/S;Lost
Retreiver;Golden;1999-08-05;2005-06-21;;F;Found
Maltipoo;White;1999-08-05;2005-06-21;Scruffy;M;Lost
Chow;Red;1999-08-05;2005-06-21;Lexington;M;Found
