Breed;Color;Date;DateCreated;Name;Sex;State
Schnauzer;Black;2014-06-27;2014-06-27;Lily;F;Matched
Chihuahua;Red;2014-06-26;2014-06-28;Charlie;M/N;Matched
Labradoodle;White;2014-06-29;2014-06-29;Bilu;;Lost
Labrador;SILVER;2014-06-30;2014-06-30;Bella;F;Matched
Pit Bull;Tan;2014-06-30;2014-06-30;Louie;M;Lost
Cat;Grey;2014-07-01;2014-07-01;Mumu;M;Lost
Havanese;Black;2014-07-01;2014-07-01;Terra;F;Matched
DSH Manx;Grey;2014-06-28;2014-07-01;Mimi;F;Lost
DSH;Calico;2014-07-02;2014-07-02;Catty;F/S;Lost
Poodle X;Brown;2014-07-02;2014-07-02;brownie or bruno;M;Matched
Blue Heeler;Grey;2014-07-03;2014-07-03;Taz;M;Lost
Bichon Frise;White;2014-07-05;2014-07-05;Spirit;F;Matched
Malamute X Shep;Black & Grey;1999-12-04;2005-06-21;Jasper;M/N;Lost
Pitbull;Tan;1999-12-07;2005-06-21;Papa;M/N;Matched
German Shepherd X;Black & Blonde;1999-12-07;2005-06-21;Loba;F;Lost
Lab;Black;1999-12-08;2005-06-21;Tyson;M/N;Lost
Rotty #2;Black & Tan;1999-12-09;2005-06-21;Hutch;M/N;Matched
Lhasa Apso;Golden;1999-12-09;2005-06-21;Jasco;M;Lost
Pitbull X Lab;Brindle;1999-12-10;2005-06-21;Duke;M;Matched
Pit X Great Dane;Black;1999-12-12;2005-06-21;;M;Lost
Border X;Black;1999-12-12;2005-06-21;Fancy;F/S;Lost
Border Collie X Lab;Black & White;1999-12-14;2005-06-21;Kailey (Ceilidh);F/S;Lost
Lab X;Black w White;1999-12-14;2005-06-21;Darby;F/S;Matched
Small Poodle;Brown;1999-12-15;2005-06-21;;M/N;Found
Retriever X Lab;Black & Brown;1999-12-16;2005-06-21;Birch;M;Lost
Lab X;Black & White;1999-12-16;2005-06-21;Katy;F/S;Lost
Lab X;Black;1999-12-17;2005-06-21;Koda;M/N;Lost
Boxer;Brindle;1999-12-20;2005-06-21;Jack;M/N;Lost
Poodle;Grey;1999-12-21;2005-06-21;;M/N;Matched
Poodle X ?;Grey & Black;1999-12-27;2005-06-21;;M;Matched
Duck;Black & White;1999-12-28;2005-06-21;;;Lost
Ret X Collie;Black & White;1999-12-30;2005-06-21;Breck;M/N;Matched
Shep X;Black & Brown;2000-01-01;2005-06-21;Peppy;M/N;Matched
Shep;Black & Tan;2000-01-02;2005-06-21;Lucky;M/N;Lost
Poodle;Black;2000-01-06;2005-06-21;Scruffy;M;Matched
Pitbull X;White;2000-01-06;2005-06-21;Benny;M;Lost
Ridgeback;Red;2000-01-07;2005-06-21;;;Lost
Shep X Lab;Black;2000-01-08;2005-06-21;Ike;M;Found
Terrier X;Black & Grey & Tan;2000-01-07;2005-06-21;;M;Found
Lab;Black;2000-01-09;2005-06-21;;M;Found
Husky X Sheperd;Beige & White;2000-01-11;2005-06-21;Alaska;F;Lost
American Eskimo;White;2000-01-12;2005-06-21;Suzie;F/S;Lost
Coonhound;Black & Tan;2000-01-13;2005-06-21;;F;Lost
American Husky;White;2000-01-14;2005-06-21;Rocky;M/N;Lost
Lab;Black;2000-01-14;2005-06-21;Cuba;M/N;Lost
Retreiver;Rust;2000-01-15;2005-06-21;Sergier;M;Lost
Lhasa Apso;Golden & Brown & White;2000-01-17;2005-06-21;Stinky;M/N;Lost
Dalmation;White & Black;2000-01-17;2005-06-21;Princess;F/S;Matched
Shep X;Black & Tan;2000-01-18;2005-06-21;Stasha;F/S;Lost
Lab X;Black & white on Chest;2000-01-19;2005-06-21;Dog;F/S;Lost
Lab X ?;Black & White;2000-01-25;2005-06-21;;M;Matched
Aussie Shepherd;Blue Merle;2000-01-27;2005-06-21;;F;Found
Lab X Newfie;Black;2000-01-28;2005-06-21;Sammy;M/N;Lost
Sharpei;Beige;2000-01-30;2005-06-21;Ko Ko or Smudge;M;Lost
German Shep;Black & Tan & White Chest;2000-01-31;2005-06-21;;M;Found
Siberian Husky;White & Grey;2000-02-01;2005-06-21;Keno;M/N;Lost
Labrador;Golden;2000-02-01;2005-06-21;;M;Matched
Yorkshire Terrier;Brown & Black;2000-02-01;2005-06-21;Bobby;M;Lost
Beagle;Black & Tan & White;2000-02-02;2005-06-21;;;Lost
Lab X ?;Tan;2000-02-02;2005-06-21;Setta;F;Matched
Husky;Grey & White;2000-02-03;2005-06-21;Tasha;F/S;Lost
Beagle;Tri Color;2000-02-04;2005-06-21;Buddy;M;Matched
Rott X;Black & Tan;2000-02-06;2005-06-21;Dakota;F;Matched
Husky X;Grey & Black;2000-02-09;2005-06-21;Prima;M/N;Lost
Chihuahua X;Tan;2000-02-09;2005-06-21;;M;Matched
Pitbull X;Black & Brown;2000-02-09;2005-06-21;;F;Found
Pitbull;Black & White;2000-02-09;2005-06-21;;F;Found
Shep;Black & Tan;2000-02-12;2005-06-21;Bandit;M;Lost
Rotty;Black & Tan;2000-02-12;2005-06-21;Jack;M;Matched
Golden  Retriever;Golden;2000-02-12;2005-06-21;;;Lost
Shep X;Black & Tan;2000-02-14;2005-06-21;Duchess;F/S;Lost
Min. Poodle;Peach;2000-02-14;2005-06-21;;M;Found
Husky X Collie;Tan & White & Brown;2000-02-16;2005-06-21;Oscar;M/N;Lost
Samoy X;Cream;2000-02-17;2005-06-21;Zoetta;F;Lost
Doberman;Black & Tan;2000-02-15;2005-06-21;Suka;F;Lost
Golden Retreiver;Gold;2000-02-18;2005-06-21;Dexter;M/N;Lost
Lab X Shep;Black &  Brown;2000-02-19;2005-06-21;Jonice;M;Matched
Shep;Black & Tan;2000-02-20;2005-06-21;;F;Found
Standard Poodle;Black;2000-02-22;2005-06-21;?;M;Found
Maltese;White;2000-02-23;2005-06-21;Bobo;M;Lost
Beagle;Brown & White;2000-02-26;2005-06-21;Larry;M;Matched
Shih Tzu;Black & White;2000-03-01;2005-06-21;Kiwi;F;Lost
Border Collie;Black & Beige & White;2000-02-29;2005-06-21;Chip;F/S;Lost
?;Brown;2000-03-03;2005-06-21;;F;Found
Shep X Akita;White & Greyish;2000-03-03;2005-06-21;Lobo;M;Matched
Shep;Brown & Tan & White;2000-03-03;2005-06-21;Chopper;M;Lost
Chow;Black;2000-03-05;2005-06-21;Bear;M;Lost
Chihuahua X Terrier;Tan;2000-03-07;2005-06-21;Buffy;F/S;Lost
Pitbull;Black & White spot on chest;2000-03-08;2005-06-21;Bruno;M;Lost
Shep X;White & Grey;2000-03-09;2005-06-21;Sophie;F;Matched
Border Collie;Black & White;2000-03-11;2005-06-21;Max;M/N;Lost
Lab X Whippet;Black;2000-03-12;2005-06-21;Beauty;F;Lost
Shep X;Tan with White boots;2000-03-15;2005-06-21;Curley;M;Lost
Min Pin;Black & Tan;2000-03-18;2005-06-21;;F;Matched
Shep X;Black & Tan;2000-03-19;2005-06-21;;M;Found
Rotty X Husky;Black & Beige;2000-03-20;2005-06-21;Taz;M;Lost
Min Dachsund;Black;2000-03-20;2005-06-21;Lily;F/S;Matched
American Bull Terrier;Golden;2000-03-21;2005-06-21;Lola;F/S;Matched
Lab;Black;2000-03-15;2005-06-21;Rocky;M;Found
Jack Russell Terr;White & Brown;2000-03-23;2005-06-21;Keisha;F;Lost
Rottweiler;Black & Tan;2000-03-25;2005-06-21;Rocky;M/N;Matched
English Staff Terr;White;2000-03-25;2005-06-21;Elvis;M;Lost
Lab X Shep;Blondish Red;2000-03-25;2005-06-21;Bella;F/S;Lost
Pitbull;Black & White;2000-03-25;2005-06-21;Kilo;M;Lost
Rotty;Black & Tan;2000-03-26;2005-06-21;Bear;M;Matched
Pitbull;Golden Brown;2000-03-26;2005-06-21;;F;Found
Rottweiller;Black & Tan;2000-03-27;2005-06-21;Shaq;M;Lost
Rotty X;Black & Tan;2000-03-25;2005-06-21;Roxy;F;Lost
Border Collie;Black & White;2000-03-30;2005-06-21;;M/N;Matched
Maltese;White;2000-03-30;2005-06-21;Puppy;F;Lost
Pitbull;Tan;2000-04-01;2005-06-21;Buddy;M;Lost
Husky;Grey & White;2000-04-01;2005-06-21;Bear;M;Lost
Pom X Poodle;Black;2000-04-01;2005-06-21;;F;Matched
Malt ????;White;2000-04-03;2005-06-21;;M;Matched
Dalmation;Black & White;2000-04-06;2005-06-21;Penny;F/S;Lost
Boxer;Rust;2000-04-03;2005-06-21;Simon;M;Lost
Chow;Black;2000-04-06;2005-06-21;Chip;F;Lost
Lab;Black;2000-04-07;2005-06-21;;M;Matched
Pom;Cream & Purple;2000-04-08;2005-06-21;Miko;M;Matched
Lab pup;Black;2000-04-09;2005-06-21;;M;Found
Sheltie;Black & White;2000-04-09;2005-06-21;;F;Found
Shep X;Black & Brown;2000-04-11;2005-06-21;Logan;M/N;Lost
Sibian Husky;Beige & Brown & Black;2000-04-11;2005-06-21;;M;Found
Cairn Terrier;Wheat;2000-04-12;2005-06-21;pippy;F;Lost
Poodle;Black;2000-04-13;2005-06-21;Penny;F/S;Lost
Samoyed;White;2000-04-13;2005-06-21;Snow & Shandy;M/N;Lost
Rott;Black & Tan;2000-04-13;2005-06-21;;M;Matched
Burmese Mtn Dog;Black & White & Tan;2000-04-14;2005-06-21;Buster;M/N;Lost
Poodle X;Black;2000-04-14;2005-06-21;Echo;F;Lost
British Bulldog;White;2000-04-15;2005-06-21;Cleo;F;Matched
Shep;Brown & Black;2000-04-15;2005-06-21;Jake;M;Lost
Min. Daschund;Black & Brown;2000-04-18;2005-06-21;Minnie;F/S;Lost
Boston Terrier;Black & White;2000-04-19;2005-06-21;;M;Matched
Pitbull;Brown;2000-04-18;2005-06-21;Zeus;M;Lost
Pitbull;White & Brindle;2000-04-20;2005-06-21;Princess;F;Lost
Heeler X;Blue Merle;2000-04-21;2005-06-21;Boonie;M/N;Matched
Lhasa Apso;White & Brown;2000-04-22;2005-06-21;Blue NC;M;Found
Retriever;Golden;2000-04-22;2005-06-21;;M/N;Matched
Terrier X;Grey;2000-04-23;2005-06-21;Osa;F;Lost
Shep;Black & Tan;2000-04-26;2005-06-21;Kaiser;M/N;Matched
Rotty X Shep;Black & Tan;2000-04-26;2005-06-21;;M;Found
Tibetan Terrier;White & Black;2000-04-28;2005-06-21;Quest;M/N;Matched
Lab;Black;2000-04-28;2005-06-21;;M;Matched
Border Collie;Black & White;2000-04-29;2005-06-21;Negra;F;Matched
Shep X;Brown;2000-04-30;2005-06-21;Duke;M;Lost
Husky;White & Black;2000-04-30;2005-06-21;;M;Lost
Border Collie X Greyhound;Black with White on Chest;2000-05-02;2005-06-21;Kayla;F/S;Lost
Wolf X Mala;Black & White & Grey;2000-05-02;2005-06-21;Nanook;M;Lost
Belgian Shep;Black & Grey;2000-05-02;2005-06-21;;;Lost
Pitbull;Red;2000-05-03;2005-06-21;Red;M;Lost
Wirehaired Fox Terrier;White with Black Saddle;2000-05-04;2005-06-21;Harry;M;Lost
Terrier X;Tan & Cream;2000-05-08;2005-06-21;Barney;M;Lost
Border Collie;Black & White;2000-05-09;2005-06-21;Muffin;F/S;Lost
Rottweiler X Pit;Black & Tan;2000-05-09;2005-06-21;Blunt;M;Lost
Collie;Sable;2000-05-10;2005-06-21;loni;F;Matched
Golden Retriever;Gold;2000-05-10;2005-06-21;;M/N;Lost
Bichon Frise;White;2000-05-12;2005-06-21;;M/N;Found
Lab;Yellow;2000-05-13;2005-06-21;Buck;M;Lost
OE Sheepdog;Salt & Pepper;2000-05-13;2005-06-21;Mickey;M;Matched
Terrier X  (pup);Black;2000-05-13;2005-06-21;;M;Found
Very Tiny Dog;Rust & Beige;2000-05-13;2005-06-21;;;Found
Lab;Choco;2000-05-13;2005-06-21;;M;Found
Shepherd;White;2000-05-16;2005-06-21;Bullet;M;Lost
Pomeranian;Reddish Brown;2000-05-16;2005-06-21;;M;Found
Lab;Black;2000-05-16;2005-06-21;Jackson;M;Lost
Cocker Spaniel;Brown & White;2000-05-16;2005-06-21;Nick;M;Matched
Maltese X;White;2000-05-16;2005-06-21;Lucky;F;Lost
Pyrenese;White & Black & Tan;2000-05-16;2005-06-21;Cysco;M/N;Lost
Shiba Inu ?;White & Yellow;2000-05-18;2005-06-21;Lucky;M;Lost
Lhasa Apso;Black;2000-05-19;2005-06-21;Ruffles;M;Lost
Maltipoo;Grey & White;2000-05-20;2005-06-21;Raichu;M;Lost
Lab;Chocolate;2000-05-20;2005-06-21;Rolo;M/N;Lost
Lab X Wolf;White & Orange;2000-05-21;2005-06-21;Tango;M;Lost
Staffordshire;Grey & Brown;2000-05-21;2005-06-21;Rocky;M;Lost
Chow X;Black & Brown;2000-05-23;2005-06-21;Blackie;M;Lost
Doberman;Black & Tan;2000-05-23;2005-06-21;Thunder;M;Lost
Pit X;Golden Brown;2000-05-24;2005-06-21;Tiger;M;Matched
Pitbull X;Black & White with Black Spots;2000-05-26;2005-06-21;;F;Matched
Chow X Rotty;Reddish Brown & Black;2000-05-23;2005-06-21;Blackie;M;Lost
Rotty  pup;Black & Tan;2000-05-26;2005-06-21;;M;Matched
Husky X Mala;Black & Grey;2000-05-27;2005-06-21;Just adopted;M/N;Lost
Sharpei;Black;2000-05-28;2005-06-21;Kobe;M;Matched
Shep X Rotty;Black;2000-05-28;2005-06-21;;M;Matched
2 Dachunds;Red;2000-05-29;2005-06-21;Candell & Georgio;M/N;Lost
Boxer;Tan & White;2000-05-25;2005-06-21;Scarlet;F;Lost
German Shep;Black & Tan;2000-06-01;2005-06-21;Budha;F;Lost
Lab X;Black;2000-06-01;2005-06-21;Gabriella;F/S;Lost
Terrier X;Gold & White;2000-05-28;2005-06-21;Nanook;M/N;Lost
Terrier X Lab;Blonde;2000-06-01;2005-06-21;;F;Found
Lab;Blonde;2000-06-02;2005-06-21;Whiskey;F;Lost
Border Collie;Black & White;2000-06-02;2005-06-21;Ashlu;M/N;Matched
Shep X Border Collie;Black & Tan;2000-06-04;2005-06-21;;F;Found
Bichon Frise;Brown & White;2000-06-04;2005-06-21;;F;Matched
Shepherd X;Gold & Black;2000-06-04;2005-06-21;Ranger;F;Lost
Shih Tzu;Black & Little White;2000-06-06;2005-06-21;Digger;M/N;Lost
Lab (English);Black;2000-06-09;2005-06-21;Boomer;M/N;Lost
Tabby Cat;Black & Greyish;2000-06-03;2005-06-21;;;Found
Pomerarian;Red & Black;2000-06-10;2005-06-21;;F;Lost
Portuguese Water Dog?;Black;2000-06-12;2005-06-21;Chaim (haiem);M/N;Lost
Akita;Brown & White;2000-06-12;2005-06-21;Oscar;M/N;Matched
Shep X;Black & Tan;2000-06-13;2005-06-21;;M;Matched
Retreiver;Golden;2000-06-12;2005-06-21;Dallas;M;Lost
Min Pin;Black & Tan;2000-06-14;2005-06-21;Lucky;M;Lost
Labrador;Black;2000-06-15;2005-06-21;;M;Found
Chow X;Black;2000-06-15;2005-06-21;Nina Bear;F;Lost
Border Collie X;Black & White;2000-06-16;2005-06-21;;F;Found
Shep X  (pup);Black & Tan;2000-06-16;2005-06-21;;F;Matched
Shep X Husky;Black & Brown;2000-06-16;2005-06-21;Ouisy;F;Lost
Cairne Terrier;Greyish Beige;2000-06-16;2005-06-21;Angus;M/N;Matched
Poodle;Black;2000-06-17;2005-06-21;;F;Matched
Pitbull;Brown;2000-06-17;2005-06-21;Zeus;M;Lost
??;White & Beige;2000-06-19;2005-06-21;;F;Matched
Lab;Golden;2000-06-19;2005-06-21;Tita;F/S;Matched
Poodle;Grey;2000-06-19;2005-06-21;Shadow;M/N;Lost
Retriever;Black;2000-06-21;2005-06-21;;F;Found
Pit X Lab;Black & White;2000-06-21;2005-06-21;Tuxedo;M/N;Lost
Pomeranian;Tan;2000-06-22;2005-06-21;Crystal;F/S;Lost
Lab X;Black;2000-06-20;2005-06-21;;F;Found
Terrier X;white & black;2000-06-23;2005-06-21;;M;Found
Pitt;Black & White;2000-06-24;2005-06-21;;F/S;Lost
Pitbull X;Black w White on Chest;2000-06-24;2005-06-21;China;F/S;Lost
Corgie;Tan;2000-06-25;2005-06-21;;M;Matched
Staff Terrier #2;Beige & White;2000-06-26;2005-06-21;Jessie;F;Lost
Rotty;Black & Tan;2000-06-26;2005-06-21;Keesha;F/S;Lost
Lab;Brown;2000-06-28;2005-06-21;Chocolate;F;Matched
Samoyed;White;2000-06-29;2005-06-21;;M;Lost
Shep X Lab;Black & Tan;2000-06-28;2005-06-21;Rascal;F/S;Lost
Beagle X;Black & Tan & White;2000-07-01;2005-06-21;Gator;F;Lost
Retriever X;Yellow;2000-07-01;2005-06-21;Molly;F;Matched
English Pointer;White;2000-07-02;2005-06-21;JJ;F;Lost
Newfoundland;Black;2000-07-03;2005-06-21;Andrew;M;Lost
Retriever;Black Flat Coat;2000-07-02;2005-06-21;Sebastien;M/N;Lost
American Eskimo;White;2000-07-03;2005-06-21;;M;Found
Husky X;Black & White;2000-07-04;2005-06-21;;M;Found
Yorkie;Brown;2000-07-04;2005-06-21;Fang;M;Lost
Yorkie Terrier;Black & Tan;2000-07-06;2005-06-21;;F;Matched
Rotty;Black & Brown;2000-07-06;2005-06-21;Max;M;Lost
Lab;Golden;2000-07-06;2005-06-21;Ricky;M/N;Matched
Scotty Terrier;Black Brindle;2000-07-06;2005-06-21;Vonnie;F;Matched
Nor. Elkhound;Grey & White;2000-07-06;2005-06-21;Nero;M;Lost
Maltese;White;2000-07-08;2005-06-21;;M;Lost
Pit;Brindle;2000-07-08;2005-06-21;doesn't answer to any...puppy;M;Found
Dacshund;Reddish Brown;2000-07-08;2005-06-21;Oscar;M/N;Lost
Lab;Black & White;2000-07-08;2005-06-21;Shiro;F;Matched
Dachsund;Red & Brown;2000-07-10;2005-06-21;Oscar;M/N;Lost
Rotty X;Black;2000-07-10;2005-06-21;Wagger;M/N;Lost
Husky X;Grey & White;2000-07-11;2005-06-21;;M;Matched
Doberman;Black & Brown;2000-07-12;2005-06-21;;M;Found
Rott;Black &  Tan;2000-07-14;2005-06-21;;M;Matched
Collie X Retriever;Tri;2000-07-15;2005-06-21;Charlie;M;Matched
MIn Pincher;Brown;2000-07-12;2005-06-21;Pokey;F;Matched
Beagle;Tri color;2000-07-18;2005-06-21;Trixie;F/S;Lost
Pitbull X;White;2000-07-18;2005-06-21;;F;Matched
Lab X;Black & White;2000-07-17;2005-06-21;;F;Matched
Pug;Cream & Black;2000-07-18;2005-06-21;Spike;M;Matched
Pekingese;Gold & Brown;2000-07-22;2005-06-21;Happy;F/S;Matched
Pit bull ?;White w/ tiny blk spot on ear;2000-07-23;2005-06-21;;M;Matched
Min Pin (4 months);Black & Tan;2000-07-24;2005-06-21;Gucci;M;Lost
Lrg Chihuahua ?;Beige & White & Tan;2000-07-25;2005-06-21;;M;Found
Large long haired dog;Grey & Tan & Brown;2000-07-25;2005-06-21;Taz;F;Found
Chi X Min Pin;Black & Tan & Beige;2000-07-23;2005-06-21;Kilo;M;Lost
Retrievers x 2;Golden;2000-07-27;2005-06-21;Mangie and Faye Chai;M/N;Lost
Retriever;Gold;2000-07-27;2005-06-21;Manchui;M/N;Lost
Chihuahua;Black;2000-07-29;2005-06-21;;M;Matched
Husky;Black & White;2000-07-29;2005-06-21;Milo;M/N;Matched
Lab;Golden;2000-07-29;2005-06-21;;M/N;Found
Malitpoo;Black & Grey;2000-07-31;2005-06-21;Duffy;M/N;Lost
German Shepherd;Black & Tan;2000-08-01;2005-06-21;Star;F/S;Lost
WolfHound Iris Bouvier X;Black & Tan;2000-08-02;2005-06-21;Sambria;F/S;Lost
Schnauzer;Grey & White;2000-08-02;2005-06-21;Griffy;M/N;Lost
Husky X Wolf;Black & Brown & Grey;2000-08-02;2005-06-21;Ozzy;F;Lost
Malamute X;Rust & White;2000-08-03;2005-06-21;Bonk;M/N;Lost
Husky X Shep;Black & Tan;2000-08-03;2005-06-21;Ouisy;F;Lost
Chow;Blonde;2000-08-03;2005-06-21;Chuckie;M/N;Lost
Terr X;Brown;2000-08-05;2005-06-21;;M;Matched
Shih Tzu;Tan & White;2000-08-09;2005-06-21;Kiah;F/S;Matched
Malti X Shih;White & Grey;2000-08-10;2005-06-21;Daisy;F/S;Matched
Border Collie X (large);Black & White;2000-08-10;2005-06-21;Scott Gray;F/S;Matched
Golden Retriver;Golden;2000-08-12;2005-06-21;Sundance;M/N;Lost
Rotty;Black & Tan;2000-08-12;2005-06-21;Jade;F;Lost
Border Collie;Black & White;2000-08-12;2005-06-21;Hope;F;Lost
Tabby;Grey;2000-08-03;2005-06-21;;F/S;Lost
Rott;Black;2000-08-12;2005-06-21;Jay;F;Lost
Am Bulldog;White;2000-08-13;2005-06-21;Georgia;F;Matched
Maltese;White;2000-08-13;2005-06-21;toto;M;Lost
Mastiff X puppy;Blonde & Black on face;2000-08-15;2005-06-21;Toshi;M/N;Matched
Doby X Shep;Black & Tan;2000-08-10;2005-06-21;Hondo;M/N;Lost
Jack Russell Terrier;Brown & Black & White;2000-08-16;2005-06-21;Jackson roehling;M;Found
Lab X Pit;White;2000-08-16;2005-06-21;;F;Found
Cockapoo;White Yellow;2000-08-17;2005-06-21;Cody;M/N;Lost
Poodle X;Lite Brown;2000-08-19;2005-06-21;;M/N;Found
Lab X;Black;2000-08-19;2005-06-21;Moonshine;F/S;Found
Mini Poodle X Yorkie;Light Grey;2000-08-20;2005-06-21;Molly;F/S;Lost
Small dog;White;2000-08-21;2005-06-21;BJ ?;F;Lost
Shepherd X Rottweiller;Black & Tan;2000-08-22;2005-06-21;Sam;F/S;Lost
Lab;Black;2000-08-23;2005-06-21;Trigger;M/N;Matched
Rottweiler;Black & Brown;2000-08-23;2005-06-21;Misty;F/S;Matched
Poodle;White;2000-08-23;2005-06-21;Chucky;M;Lost
Beagle;Brown & White;2000-08-23;2005-06-21;Wiggles;F;Lost
Maltipoo;White;2000-08-24;2005-06-21;J.J;M;Matched
Rottweiler;Black & Brown;2000-08-25;2005-06-21;;M/N;Lost
Rotty;Black & Tan;2000-08-25;2005-06-21;D.O.G.;M;Matched
Shep X Wolf;Dark Gold;2000-08-25;2005-06-21;Buddy;M;Lost
Malamute;White & Grey;2000-08-26;2005-06-21;Jasper;M;Lost
Rotty Pup;Tan & Black;2000-08-26;2005-06-21;Tyson;M;Lost
Shiba Inu;Brown;2000-08-29;2005-06-21;Istan;M;Lost
Lab X Chow;Tan;2000-09-02;2005-06-21;Lucy;F;Matched
Cocker Spaniel;Blonde;2000-09-02;2005-06-21;Barney;M/N;Matched
Labrador;Brown & White;2000-09-06;2005-06-21;;F;Found
Pug;Beige;2000-09-08;2005-06-21;;M;Found
Mixed Breed;White & Beige;2000-09-08;2005-06-21;Missy;F;Matched
Mini Schnauzer;Grey;2000-09-09;2005-06-21;shatsy;F;Lost
Lab X;Black;2000-09-09;2005-06-21;Pepsi;M;Lost
Yorkie Terrier;Black & Tan;2000-09-09;2005-06-21;Cluff;M/N;Lost
Schnauzer;Salt & Pepper;2000-09-10;2005-06-21;;F/S;Lost
Rottweiler X B.Collie;Black & Brown;2000-09-12;2005-06-21;Moe;F/S;Matched
Border Collie X Lab;Black & White Chest;2000-09-12;2005-06-21;Taupo;F/S;Lost
Min . Schnauzer;Steel Grey;2000-09-12;2005-06-21;Treena;F/S;Lost
Dalmation;White & Black;2000-09-12;2005-06-21;?;;Found
Retriever;Golden;2000-09-14;2005-06-21;Oscar;M;Matched
Lab;Black;2000-09-14;2005-06-21;Rocky;M;Lost
Lab;Golden;2000-09-15;2005-06-21;;;Found
Tabby Cat;Grey;2000-09-15;2005-06-21;;;Lost
Border Collie;Black & White;2000-09-16;2005-06-21;;F;Lost
Hungarian Visla;Tan Brown;2000-09-17;2005-06-21;Dante;M/N;Lost
Lab;Black;2000-09-17;2005-06-21;Loochie;;Found
Malamute;Black & Grey & White;2000-09-19;2005-06-21;Cruiser;M;Lost
Golden Ret;Golden;2000-09-19;2005-06-21;Chris;F/S;Matched
Siamese - Cat;Champagne;2000-09-20;2005-06-21;;F;Found
Sheperd;Black;2000-09-20;2005-06-21;Luna;F/S;Matched
Lab X Pitbull;Black;2000-09-20;2005-06-21;Roan;M;Lost
Lab;Black;2000-09-22;2005-06-21;;F;Found
Retreiver;Golden;2000-09-22;2005-06-21;Ocean;M;Lost
Lab X pit;Black;2000-09-20;2005-06-21;Rhoan;M;Lost
Schnauzer;Grey & White;2000-09-26;2005-06-21;Kisses;;Lost
Lab X Sheltie;Black;2000-09-26;2005-06-21;Jazzie;F/S;Lost
Lab X Springer;Black;2000-09-27;2005-06-21;Casper;M/N;Lost
shep x;Tan;2000-09-28;2005-06-21;;;Lost
lab rotweiller X;Yellow;2000-09-29;2005-06-21;Rex;M;Lost
Beagle;Light Brown & White;2000-09-29;2005-06-21;;M;Matched
pit x;white and black;2000-09-30;2005-06-21;;M;Matched
German shep husky X;Black & White & Brown;2000-09-30;2005-06-21;Princess;F/S;Lost
Shepherd;;2000-10-03;2005-06-21;;;Matched
Shepherd;Black & brown;2000-10-03;2005-06-21;;;Matched
rott choc lab x;Tan;2000-10-03;2005-06-21;Tyson;M;Lost
Spaniel;Tan;2000-10-05;2005-06-21;;F;Lost
Shih Tzu;Black & White;2000-10-07;2005-06-21;;M/N;Found
Airedale;Brown & Black;2000-10-08;2005-06-21;Clea;F/S;Matched
Lab X 2;Black;2000-10-09;2005-06-21;;F;Matched
Shep X Husky;Black & Tan;2000-10-10;2005-06-21;;M;Matched
Pit X;Red & Brown & White;2000-10-04;2005-06-21;;F;Lost
Malamute Husky X;White & Beige;2000-10-10;2005-06-21;Thunder;M/N;Matched
collie x shep;tan & white, bit of black;2000-10-12;2005-06-21;Chip;M/N;Matched
lab;Yellow;2000-10-13;2005-06-21;Maggie;F/S;Matched
Maltese;White;2000-10-15;2005-06-21;shima;F;Lost
giant poodle;White;2000-10-15;2005-06-21;Tango;M/N;Matched
silkie terrier;Tan;2000-10-13;2005-06-21;Peppi;F/S;Lost
Lab X 3 month old puppy;Black;2000-10-18;2005-06-21;;M;Found
Shep;Black & Brown;2000-10-18;2005-06-21;Claire;F;Lost
Short Haired Pointer;Brown;2000-10-19;2005-06-21;Roxy;F;Matched
shep;White;2000-10-21;2005-06-21;Karma;F;Lost
Shep X Chow;Lite & Dark;2000-10-22;2005-06-21;Timber;M;Lost
Rottweiler;Black & Tan;2000-10-22;2005-06-21;Kane;M;Lost
lab;Golden;2000-10-22;2005-06-21;Epsi;M;Lost
Lab;Yellow;2000-10-23;2005-06-21;;M;Matched
Beagle;Tri;2000-10-23;2005-06-21;Bailey;M;Lost
Pomeranian;Tan;2000-10-24;2005-06-21;;F;Lost
Husky;White and Black with Silver;2000-10-24;2005-06-21;Doc;M/N;Lost
Collie X Lab;Black;2000-10-25;2005-06-21;Shadow;F/S;Lost
Border Collie X;Black;2000-10-25;2005-06-21;;M;Found
Retriever;Golden;2000-10-26;2005-06-21;Sam;M/N;Lost
Sharpei;Brown;2000-10-26;2005-06-21;;M;Lost
Springer Spaniel;Liver & White;2000-10-27;2005-06-21;Darby;M/N;Lost
Shepherd;Black & Tan;2000-10-27;2005-06-21;Rex;M;Lost
Shepherd;Black & Tan;2000-10-28;2005-06-21;Soleil;;Found
Lab (pup);Gold;2000-10-30;2005-06-21;Escrow;;Lost
Shi Tzu (two dogs);White;2000-10-30;2005-06-21;;;Lost
Lab X;Black & White;2000-10-31;2005-06-21;;F;Lost
chesapeake bay retreiver;reddish;2000-10-31;2005-06-21;Jessy;F/S;Lost
rott x;Black & Tan;2000-10-31;2005-06-21;Merlin;M/N;Matched
Rhodesian Ridgeback;Tan;2000-11-02;2005-06-21;;F;Matched
Chi X;Brown & Black;2000-11-03;2005-06-21;;M;Matched
English Setter;White & Black;2000-11-03;2005-06-21;Jake;M/N;Lost
Akita;Strawberry blonde;2000-11-03;2005-06-21;;M;Matched
