Geom;P_ANNOTATION_LBL_ID
"{""type"": ""LineString"", ""coordinates"": [[-123.20591704697868, 49.262253383908536], [-123.20563389868673, 49.26224938159226]]}";__FJ7M09
"{""type"": ""LineString"", ""coordinates"": [[-123.205935563068, 49.26158680548402], [-123.20565724649644, 49.26158370313089]]}";__FJ7M0A
"{""type"": ""LineString"", ""coordinates"": [[-123.20122830313416, 49.261577055356334], [-123.20115407655727, 49.26157493580519]]}";__FJ7M0B
"{""type"": ""LineString"", ""coordinates"": [[-123.2018973682395, 49.26219117881426], [-123.20179634331055, 49.262190006022145]]}";__FJ7M0G
"{""type"": ""LineString"", ""coordinates"": [[-123.1882005348092, 49.25927433203889], [-123.18828300508564, 49.259276887242926]]}";__FJ7M0P
"{""type"": ""LineString"", ""coordinates"": [[-123.18927022685332, 49.25930666753546], [-123.18921044156555, 49.25930631569743]]}";__FJ7M0Q
"{""type"": ""LineString"", ""coordinates"": [[-123.19745983201784, 49.262424663729796], [-123.19738148285529, 49.26242299856099]]}";__FJ7M0Y
"{""type"": ""LineString"", ""coordinates"": [[-123.19728320778844, 49.26242216793813], [-123.19721241974173, 49.262420939504544]]}";__FJ7M0Z
"{""type"": ""LineString"", ""coordinates"": [[-123.13062646425644, 49.26408613195025], [-123.13051579608444, 49.26408266792738]]}";__FJ7M15
"{""type"": ""LineString"", ""coordinates"": [[-123.1280326401501, 49.26402388304073], [-123.12784569270102, 49.2640218502424]]}";__FJ7M19
"{""type"": ""LineString"", ""coordinates"": [[-123.14696551948583, 49.27009398270186], [-123.14644176530582, 49.270088809813906]]}";__FJ7M1J
"{""type"": ""LineString"", ""coordinates"": [[-123.1422248779986, 49.27002442755071], [-123.14212452833988, 49.27002411925894]]}";__FJ7M1R
"{""type"": ""LineString"", ""coordinates"": [[-123.10158561029087, 49.26097944158669], [-123.10159156051445, 49.26086518819286]]}";__FJ7M1X
"{""type"": ""LineString"", ""coordinates"": [[-123.10160306641994, 49.26077927381846], [-123.10159905591712, 49.260834148127174]]}";__FJ7M1Y
"{""type"": ""LineString"", ""coordinates"": [[-123.10146927544629, 49.26186782072163], [-123.1014732280781, 49.261784611571024]]}";__FJ7M21
"{""type"": ""LineString"", ""coordinates"": [[-123.10277891289338, 49.261457363154655], [-123.10216178412836, 49.26144667546162]]}";__FJ7M24
"{""type"": ""LineString"", ""coordinates"": [[-123.1038880526348, 49.26145591243196], [-123.1036866974049, 49.261453394743704]]}";__FJ7M26
"{""type"": ""LineString"", ""coordinates"": [[-123.10539792673208, 49.26180936996822], [-123.10517662254927, 49.2618046332655]]}";__FJ7M27
"{""type"": ""LineString"", ""coordinates"": [[-123.10411972415332, 49.26084941775953], [-123.10428053359472, 49.260852421055354]]}";__FJ7M2A
"{""type"": ""LineString"", ""coordinates"": [[-123.10474370214571, 49.260859189264025], [-123.10458153203494, 49.260856196839676]]}";__FJ7M2B
"{""type"": ""LineString"", ""coordinates"": [[-123.10336814197328, 49.25901372016438], [-123.10357636080529, 49.2590171317751]]}";__FJ7M2I
"{""type"": ""LineString"", ""coordinates"": [[-123.10454536778849, 49.25970259374295], [-123.10454925425879, 49.259590590840276], [-123.10434859283063, 49.25958763291323]]}";__FJ7M2M
"{""type"": ""LineString"", ""coordinates"": [[-123.10338510086241, 49.261487397041606], [-123.10338674036409, 49.26129849617874]]}";__FJ7M2N
"{""type"": ""LineString"", ""coordinates"": [[-123.09332627822421, 49.249829522055855], [-123.09284877198381, 49.24982227884332]]}";__FJ7M2O
"{""type"": ""LineString"", ""coordinates"": [[-123.07784914646662, 49.277966653309605], [-123.07750748258995, 49.27795968684731]]}";__FJ7M2W
"{""type"": ""LineString"", ""coordinates"": [[-123.07594554716994, 49.277030199283146], [-123.07547600782455, 49.27702645910482]]}";__FJ7M2X
"{""type"": ""LineString"", ""coordinates"": [[-123.07520770732194, 49.27733292004757], [-123.07479248243963, 49.27732734269026]]}";__FJ7M2Y
"{""type"": ""LineString"", ""coordinates"": [[-123.07476430978889, 49.278226420434144], [-123.07435183259607, 49.27822443778792]]}";__FJ7M31
"{""type"": ""LineString"", ""coordinates"": [[-123.07477689968071, 49.277923733401735], [-123.07436579243175, 49.277916802568754]]}";__FJ7M32
"{""type"": ""LineString"", ""coordinates"": [[-123.07479067955389, 49.27882638197441], [-123.07433282282142, 49.278822179827756]]}";__FJ7M34
"{""type"": ""LineString"", ""coordinates"": [[-123.07665472319503, 49.27904958119224], [-123.07664753607537, 49.2792825521408], [-123.0765506051993, 49.279282166637806]]}";__FJ7M37
"{""type"": ""LineString"", ""coordinates"": [[-123.07496098026725, 49.28004690856093], [-123.07467635452606, 49.280044394300916]]}";__FJ7M3A
"{""type"": ""LineString"", ""coordinates"": [[-123.07006293718219, 49.277859682730636], [-123.0692682323562, 49.27785296571721]]}";__FJ7M3L
"{""type"": ""LineString"", ""coordinates"": [[-123.06777828122459, 49.28085995748349], [-123.06726818540658, 49.28085531720866]]}";__FJ7M3P
"{""type"": ""LineString"", ""coordinates"": [[-123.07242756159238, 49.280924663651234], [-123.0720143862946, 49.2809213238193]]}";__FJ7M3Q
"{""type"": ""LineString"", ""coordinates"": [[-123.07160463986546, 49.2809215784563], [-123.07132276173041, 49.280920853268164]]}";__FJ7M3S
"{""type"": ""LineString"", ""coordinates"": [[-123.07085277873074, 49.2796924100038], [-123.07068160143116, 49.2796916153206]]}";__FJ7M3V
"{""type"": ""LineString"", ""coordinates"": [[-123.07715370533761, 49.251160900869415], [-123.07707322813475, 49.25111102209381]]}";__FJ7M42
"{""type"": ""LineString"", ""coordinates"": [[-123.0728507873399, 49.250593963708525], [-123.07284929823366, 49.250525142179555]]}";__FJ7M48
"{""type"": ""LineString"", ""coordinates"": [[-123.06853977077634, 49.250894991245104], [-123.06854026979192, 49.25075916305679]]}";__FJ7M4A
"{""type"": ""LineString"", ""coordinates"": [[-123.07569832099941, 49.25021552096282], [-123.0756289412067, 49.25021422611184]]}";__FJ7M4K
"{""type"": ""LineString"", ""coordinates"": [[-123.06866314263056, 49.25118545473944], [-123.06865432253679, 49.25125607248974]]}";__FJ7M4R
