Code;Country;Currency;Number;ExchangeRate
NOK;Bouvet Island;Norwegian Krone;578.0;9.13865168824759
NOK;Norway;Norwegian Krone;578.0;9.13865168824759
NOK;Svalbard And Jan Mayen;Norwegian Krone;578.0;9.13865168824759
NPR;Nepal;Nepalese Rupee;524.0;114.05043331204273
NZD;Cook Islands (The);New Zealand Dollar;554.0;1.57933439060504
NZD;New Zealand;New Zealand Dollar;554.0;1.57933439060504
NZD;Niue;New Zealand Dollar;554.0;1.57933439060504
NZD;Pitcairn;New Zealand Dollar;554.0;1.57933439060504
NZD;Tokelau;New Zealand Dollar;554.0;1.57933439060504
OMR;Oman;Rial Omani;512.0;0.38500627830681683
PAB;Panama;Balboa;590.0;0.9996053376495179
PEN;Peru;Nuevo Sol;604.0;3.359934785448844
PGK;Papua New Guinea;Kina;598.0;3.3799618583788176
PHP;Philippines (The);Philippine Peso;608.0;50.559664781964926
PKR;Pakistan;Pakistan Rupee;586.0;155.99987933312042
PLN;Poland;Zloty;985.0;3.8715877583904303
PYG;Paraguay;Guarani;600.0;6444.455868583787
QAR;Qatar;Qatari Rial;634.0;3.6409788352107766
RON;Romania;Romanian Leu;946.0;4.321687920973173
RSD;Serbia;Serbian Dinar;941.0;106.61007087591452
