enzyme,pathway_id
P11182,SMP0000139
P26440,SMP0000139
P11310,SMP0000139
P30084,SMP0000139
Q96RQ3,SMP0000139
Q9HCC0,SMP0000139
P16219,SMP0000139
P45954,SMP0000139
Q9UKU7,SMP0000139
Q6NVY1,SMP0000139
P31937,SMP0000139
P80404,SMP0000139
Q99714,SMP0000139
P42765,SMP0000139
Q02252,SMP0000139
P05165,SMP0000139
P05166,SMP0000139
Q96PE7,SMP0000139
P22033,SMP0000139
Q06278,SMP0000139
P05091,SMP0000139
Q13825,SMP0000139
P54868,SMP0000139
P24752,SMP0000139
P55809,SMP0000139
P21953,SMP0000173
P12694,SMP0000173
P09622,SMP0000173
P35914,SMP0000173
P54687,SMP0000173
P11182,SMP0000173
P26440,SMP0000173
P11310,SMP0000173
P30084,SMP0000173
Q96RQ3,SMP0000173
Q9HCC0,SMP0000173
P16219,SMP0000173
P45954,SMP0000173
Q9UKU7,SMP0000173
Q6NVY1,SMP0000173
P31937,SMP0000173
P80404,SMP0000173
Q99714,SMP0000173
P42765,SMP0000173
Q02252,SMP0000173
P05165,SMP0000173
P05166,SMP0000173
Q96PE7,SMP0000173
P22033,SMP0000173
Q06278,SMP0000173
P05091,SMP0000173
Q13825,SMP0000173
P54868,SMP0000173
P24752,SMP0000173
P55809,SMP0000173
P34896,SMP0000177
P42898,SMP0000177
Q99707,SMP0000177
P32929,SMP0000177
P35520,SMP0000177
Q93088,SMP0000177
P26358,SMP0000177
P17707,SMP0000177
P19623,SMP0000177
Q13126,SMP0000177
P23526,SMP0000177
Q96RQ9,SMP0000177
P56192,SMP0000177
Q96DP5,SMP0000177
P31153,SMP0000177
Q9NZL9,SMP0000177
Q8NE62,SMP0000177
Q8IXL7,SMP0000177
Q9Y3D2,SMP0000177
Q9UDR5,SMP0000186
P49419,SMP0000186
Q8N5Z0,SMP0000186
P30084,SMP0000186
Q16836,SMP0000186
P24752,SMP0000186
P52569,SMP0000186
Q9BXI2,SMP0000186
Q9P0Z9,SMP0000186
Q92947,SMP0000186
Q96HY7,SMP0000186
P36957,SMP0000186
P09622,SMP0000186
P00966,SMP0000188
P04424,SMP0000188
P31327,SMP0000188
P00367,SMP0000188
P04181,SMP0000188
P30038,SMP0000188
O43272,SMP0000188
Q96C36,SMP0000188
P07814,SMP0000188
Q7Z4N8,SMP0000188
Q5T160,SMP0000188
P50440,SMP0000188
Q14353,SMP0000188
P12277,SMP0000188
P05089,SMP0000188
P00480,SMP0000188
Q9Y619,SMP0000188
P14920,SMP0000188
P17174,SMP0000188
P29475,SMP0000188
Q96KN2,SMP0000191
A5YM72,SMP0000191
O60678,SMP0000191
P19113,SMP0000191
P50135,SMP0000191
P21397,SMP0000191
P30838,SMP0000191
P05091,SMP0000191
P42357,SMP0000191
Q96N76,SMP0000191
Q96NU7,SMP0000191
O95954,SMP0000191
P49590,SMP0000191
P12081,SMP0000191
P19801,SMP0000191
Q8N4J0,SMP0000191
Q96KP4,SMP0000191
P17735,SMP0000218
P17174,SMP0000218
P32754,SMP0000218
O43708,SMP0000218
P16930,SMP0000218
P20711,SMP0000218
P30838,SMP0000218
P14679,SMP0000218
