ahfs_code,drugbank_id
12:20.20,DB00732
28:16.08.04,DB00734
56:28.36,DB00736
56:22.08,DB00737
08:30.92,DB00738
28:92.00,DB00740
68:04.00,DB00741
84:06.00,DB00741
56:36.00,DB00741
40:36.00,DB00742
36:40.00,DB00742
40:28.12,DB00742
36:89.00*,DB00743
28:20.80,DB00745
64:00.00,DB00746
12:08.08,DB00747
28:08.04.92,DB00749
72:00.00,DB00750
28:16.04.12,DB00752
28:04.16,DB00753
10:00.00,DB00755
84:16.00,DB00755
56:22.20,DB00757
20:12.18,DB00758
52:04.04,DB00759
08:12.24,DB00759
08:12.07.08,DB00760
40:34.00*,DB00761
88:29.00*,DB00761
40:12.00,DB00761
10:00.00,DB00762
68:36.08,DB00763
52:02.00,DB00768
04:00.00,DB00768
24:12.92,DB00770
10:00.00,DB00773
20:12.18,DB00775
28:12.92,DB00776
28:16.04.12,DB00780
68:16.04,DB00783
28:08.04.92,DB00784
84:04.06,DB00787
08:18.32,DB00787
28:08.04.92,DB00788
92:00.00,DB00789
24:32.04,DB00790
04:04.08,DB00792
28:12.04,DB00794
08:12.20,DB00795
24:32.08,DB00796
08:12.02,DB00798
52:04.04,DB00798
84:04.04,DB00798
84:92.00,DB00799
28:08.08,DB00802
08:12.28.28,DB00803
12:08.00,DB00804
12:08.08,DB00804
20:24.00,DB00806
52:16.00,DB00807
40:28.24,DB00808
52:24.00,DB00809
08:18.32,DB00811
28:08.08,DB00813
28:08.04.92,DB00814
12:12.08.12,DB00816
28:04.92,DB00818
52:40.00,DB00819
52:40.12,DB00819
24:12.12,DB00820
84:08.00,DB00825
84:24.04,DB00825
52:92.00,DB00825
92:01.00*,DB00825
84:08.01*,DB00825
48:01.00*,DB00825
08:36.00,DB00828
28:24.08,DB00829
28:16.08.24,DB00831
08:12.06.08,DB00833
04:04.20,DB00835
56:08.00,DB00836
52:13.00*,DB00840
12:12.08.08,DB00841
12:12.00,DB00841
28:24.08,DB00842
12:04.00,DB00843
28:08.12,DB00844
84:06.00,DB00846
52:92.00,DB00847
92:92.00,DB00847
28:16.08.24,DB00850
10:00.00,DB00851
12:12.12,DB00852
12:12.00,DB00852
10:00.00,DB00853
84:92.00,DB00855
08:14.04,DB00857
84:04.08.04,DB00857
64:00.00,DB00859
68:04.00,DB00860
28:08.04.92,DB00861
24:12.12,DB00862
56:28.12,DB00863
92:44.00,DB00864
84:92.00,DB00864
52:40.12,DB00869
12:12.08.12,DB00871
52:08.08,DB14596
48:16.00,DB00874
28:16.08.32,DB00875
24:32.08,DB00876
92:44.00,DB00877
34:00.00,DB00878
52:04.92,DB00878
84:04.92,DB00878
08:18.08.20,DB00879
24:32.04,DB00881
68:16.12,DB00882
24:12.08,DB00883
92:24.00,DB00884
40:28.08,DB00887
56:22.20,DB00889
52:16.00,DB00892
36:30.00,DB00895
28:24.08,DB00897
84:04.92,DB00898
92:00.00,DB00898
28:08.08,DB00899
08:18.08.20,DB00900
40:28.08,DB00903
56:22.20,DB00904
56:22.00,DB00904
52:40.28,DB00905
52:16.00,DB00907
24:04.00,DB00908
24:04.04.04,DB00908
68:20.16,DB00912
08:18.04,DB00915
28:36.04,DB00915
84:04.04,DB00916
08:30.92,DB00916
84:04.92,DB00916
76:00.00,DB00917
28:32.28,DB00918
52:02.00,DB00920
04:00.00,DB00920
04:92.00,DB00920
28:08.08,DB00921
28:08.12,DB00921
12:20.04,DB00924
56:28.12,DB00927
10:00.00,DB00928
56:28.28,DB00929
24:06.04,DB00930
08:18.08.08,DB00932
28:16.04.28,DB00934
52:32.00,DB00935
84:28.00,DB00936
28:08.04.24,DB00936
24:16.00,DB00936
12:12.08.12,DB00938
12:12.00,DB00938
28:08.04.24,DB00945
10:00.00,DB00947
04:08.00,DB00950
08:16.04,DB00951
28:32.28,DB00952
28:32.28,DB00953
48:08.00,DB00956
10:00.00,DB00958
68:04.00,DB00959
84:06.00,DB00959
24:24.00,DB00960
72:00.00,DB00961
28:24.92,DB00962
52:08.20,DB00963
52:92.00,DB00964
36:68.00,DB00965
24:32.08,DB00966
04:08.00,DB00967
24:08.16,DB00968
10:00.00,DB00970
24:06.05,DB00973
64:00.00,DB00974
24:12.92,DB00975
68:16.04,DB00977
52:24.00,DB00979
84:92.00,DB00982
12:12.08.12,DB00983
56:22.08,DB00985
04:04.04,DB00985
