"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","B2","47942","59535","Other","13.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","E1","18370","22124","Postal & Courier","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Recreation & Access","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1567623","OF4","67032","77617","Capability Management","6.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF1","24615","32703","Military","104.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","E2","15623","18815","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C2 MSF","29258","36333","Business Management and Improvement","28.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1573670","OF4","67032","77617","Capability Management","3.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","C1","38095","44268","Other","70.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","Skill Zone 1","15083","16482","Range Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Administrative Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF1 (RFA)","24615","32703","Capability Management & Force Generation","176.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","Retired Offr 1","37819","44268","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Business Management and Improvement","8.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","C2","29258","36333","Other","202.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","D","23427","29092","Training Support","1.00","Operational delivery"
