"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","6","4B","41531","51000","IS Testing Services Manager","1.00","Information Technology"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","1C","14919","18870","Legal Administration","1.81","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","Legal Adviser","6.61","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Legal Adviser - People","0.61","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Licence Developer","4.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4B","41531","51000","Licencing Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Licensing Specialist","4.14","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Managed Services Contract Manager","1.00","Property and asset management"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","Market Intelligence Analyst","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Marketing Analyst","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Marketing Communications Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3A","25749","31620","Marketing Communictions Manager","4.41","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Marketing Manager","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","Marketing Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","Marketing Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4A","36289","45900","OD Consultant","3.00","Human Resources"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","P&PSS GI Consultant","11.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3C","30644","38760","P&PSS Principal Consultant","2.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","P&PSS Principal Consultant","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","3B","27418","34680","P&PSS Senior GI Developer","9.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3B","27418","34680","P&PSS Senior GI Developer","2.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","PA to DG","2.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","Paralegal","1.00","Law"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","2B","20543","25985","PDU Functional Support","3.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","PDU Process Manager","1.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","4C","45684","56100","Planning & Operations Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","PM Senior Tech Manager","5.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","PM Technical Manager","4.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","4","4B","41531","51000","PPSS Supply Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2A","17741","22440","Press Office Admin","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","3A","25749","31620","Press Officer","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","4A","36289","45900","Print & Supply Resource Manager","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2A","17741","22440","Print & Supply Resource Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Print & Supply Team Leader - SC","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Procurement Manager","2.81","Procurement"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3A","25749","31620","Prod Ass Test Analyst","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4A","36289","45900","Product Development & Engineering Manager","0.54","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Product Manager 1","3.46","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Product Manager 2","9.60","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","1","2B","20543","25985","Production Controller","1.00","Communications"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Production Controller","2.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","3C","30644","38760","Products Business Planner","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","2B","20543","25985","Products Operations Support","1.00","Knowledge and Information Management (KIM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","2","4B","41531","51000","Programme Manager","1.00","Operational Delivery"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","4B","41531","51000","Programme Manager","3.80","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","3","3C","30644","38760","Project Manager","8.00","Programme and Project Management (PPM)"
"Department for Communities and Local Government","Ordnance Survey","Ordnance Survey","5","4A","36289","45900","Proposition Portfolio Manager","3.00","Knowledge and Information Management (KIM)"
