Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589029,C-Commercial and Operations,HILTON CABINET COMPANY LTD,TW13 7QD,475-Other Services,15.5700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,925.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,874.8000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,142.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,902.5400000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,836.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,178.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,129.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,858.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,961.2000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,842.4000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589030,G-C & A - Over 18's,HOME INSTEAD SENIOR CARE,NG9 2NR,520-Community Care,777.6000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589031,N-Development & Growth - Services,IMPRESSION DIGITAL LTD,NG1 1LL,475-Other Services,1500.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20160106,589032,G-C & A - Over 18's,INDIAN COMMUNITY CENTRE (CHARITY) LTD,NG5 1QZ,450-Grants,3466.6800000000
