Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
21483594543352,,,18.03.2013                                               ,                                ,                                ,19 MARKET PLACE                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6AE ,,,,,,4600,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
12679193344556,,,04.05.2014                                               ,HENRY CARS ROCHDALE LTD         ,                                ,LAND KNOWN AS 27-29 HENRY STREET   ,ROCHDALE                           ,                                ,                                ,OL11 1EP,,,,,,4100,LAND USED FOR CAR SALES                                     ,     ,                                                         , ,0,0,Y
21177000750097,,,01.04.2005                                               ,                                ,                                ,149 JUBILEE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2LT ,,,,,,4500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21483500070013,,,15.08.2013                                               ,                                ,                                ,21 MARKET PLACE                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6AE ,,,,,,4450,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
41690300260039,,,01.04.2005                                               ,                                ,                                ,46 VICTORIA STREET                 ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9DB,,,,,,4900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21486X6085726A     ,,,06.01.2012                                               ,                                ,                                ,72 MARKET PLACE                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6AF ,,,,,,9300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13937X92265323     ,,,12.06.2015                                               ,THE CASK & FEATHER              ,                                ,1 OLDHAM ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,,,,,,15500,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0,
12239000290059,,,01.04.2011                                               ,                                ,                                ,65 HALIFAX ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9BA,,,,,,3500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21534396064123,,,18.05.2010                                               ,KIOSK AT MIDDLETON BUS STATION  ,                                ,MIDDLETON WAY                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4DP ,,,,,,12500,KIOSK AND PREMISES                                          ,     ,                                                         , ,0,0,
133534005500X8     ,,,12.11.2012                                               ,                                ,                                ,55 MARKET WAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EA,,,,,,54000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
11954700050078,,,01.04.2005                                               ,I & C CORLETT                   ,                                ,FORSYTH STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7RF,,,,,,11000,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
31570999146527,,,01.04.2005                                               ,                                ,                                ,26 PROMENADE STREET                ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4EH,,,,,,10250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
13937X95438619     ,,,01.04.2005                                               ,                                ,                                ,455-457 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4TD,,,,,,6700,VETERINARY SURGERY AND PREMISES                             ,     ,                                                         , ,0,0,Y
30991200100051,,,01.04.2005                                               ,UNIT 11                         ,                                ,HOOLEY BRIDGE IND ESTATE           ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4AP,,,,,,2900,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
1470229914466A     ,,,01.04.2005                                               ,                                ,                                ,7 SCHOOL LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QP,,,,,,5100,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13298X96262101     ,,,01.08.2014                                               ,                                ,                                ,782 MANCHESTER ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AW,,,,,,4900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
11630199190658,,,01.04.2005                                               ,                                ,                                ,382 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7NH,,,,,,14750,"RECORDING STUDIO, OFFICE AND PREMISES                       ",     ,                                                         , ,0,0,
10844X99144842     ,,,09.06.2014                                               ,                                ,                                ,17 THE BUTTS                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1ES,,,,,,8700,CAFE AND PREMISES                                           ,Y    ,15.01.2016                                               , ,0,0, 
31186499156407,,,01.09.2008                                               ,                                ,                                ,14 MANCHESTER ROAD                 ,HEYWOOD                            ,                                ,                                ,OL10 2AH,,,,,,2500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13622100080094,,,01.04.2015                                               ,SPORT AND PERFORMANCE CARS      ,                                ,MOLESWORTH STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1TP,,,,,,14250,CAR SALES / DISPLAY LAND AND PREMISES                       ,     ,                                                         , ,0,0,
30241400180031,,,09.12.2013                                               ,                                ,                                ,34 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,,,,,,5400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
10124893772935,,,01.10.2015                                               ,                                ,                                ,UNIT 4 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,,,,,,6800,Offices and Premises                                        ,     ,                                                         , ,0,0, 
106043005500X7     ,,,03.11.2014                                               ,                                ,                                ,104 BOLTON ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4RA,,,,,,3700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
3118640010005B     ,,,10.09.2014                                               ,                                ,                                ,46 MANCHESTER ROAD                 ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2AH,,,,,,4350,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
15803291037155,,,26.10.2012                                               ,GND FLR FRONT                   ,                                ,244 YORKSHIRE STREET               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DP,,,,,,7000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13937X98531319     ,,,01.04.2005                                               ,                                ,                                ,21 & 23 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1UA,,,,,,10500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
15542415767003,,,16.05.2005                                               ,                                ,                                ,2B WHITEHALL STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DT,,,,,,2900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13253797086221,,,01.09.2015                                               ,                                ,                                ,29 MACLURE ROAD                    ,ROCHDALE                           ,                                ,                                ,OL11 1DN,,,,,,8700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1547740040009B     ,,,22.03.2009                                               ,                                ,                                ,40 WELL I'TH LANE                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BB,,,,,,4950,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
30238600010087,,,15.08.2013                                               ,                                ,                                ,1 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,,,,,,7300,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
15800896456254,,,15.09.2014                                               ,                                ,                                ,173 YORKSHIRE STREET               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 0DR,,,,,,9200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
22383200015995,,,20.06.2005                                               ,                                ,                                ,159 WINDERMERE ROAD                ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 5NQ ,,,,,,5400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
1556090030004A     ,,,15.01.2015                                               ,                                ,                                ,102 WHITWORTH ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JJ,,,,,,4200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
13571399158735,,,16.03.2009                                               ,                                ,                                ,25-27 MILKSTONE ROAD               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1ED,,,,,,10000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
14459591203474,,,16.11.2015                                               ,                                ,                                ,UNIT 2C THE CALDERSHAW CENTRE      ,INGS LANE                          ,ROCHDALE                        ,LANCS                           ,OL12 7EG,,,,,,44250,WAREHOUSE AND PREMISES                                      ,Y    ,16.11.2015                                               , ,0,0,
10940499192778,,,01.04.2005                                               ,THE DOJO                        ,                                ,CASTLEMERE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1EF,,,,,,8100,MARTIAL ARTS CENTRE AND PREMISES                            ,     ,                                                         , ,0,0,Y
14756292776625,,,23.04.2012                                               ,SUITE G1A JAPE ONE BUSINESS     ,CENTRE                          ,DELL ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6BZ,,,,,,1225,OFFICE                                                      ,     ,                                                         , ,0,0,Y
10790792256504,,,05.08.2011                                               ,BUCKLEY BROOK ENGINEERS         ,                                ,BUCKLEY BROOK MILL                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DJ,,,,,,1375,STORE AND PREMISES                                          ,Y    ,05.08.2011                                               , ,0,0, 
10790799163981,,,05.08.2011                                               ,F TOWNSEND T/A PETS CORNER      ,                                ,BUCKLEY BROOK MILL                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DJ,,,,,,1275,WAREHOUSE AND PREMISES                                      ,Y    ,05.08.2011                                               , ,0,0, 
1079070014004A     ,,,05.08.2011                                               ,G S ASSOCIATES LTD              ,                                ,BUCKLEY BROOK MILL                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9DJ,,,,,,3800,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
13298X7192790B     ,,,01.08.2013                                               ,                                ,                                ,760-762 MANCHESTER ROAD            ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AW,,,,,,8400,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21864100506816,,,02.03.2015                                               ,                                ,                                ,68 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,,,,,,8700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
31219800030025,,,01.04.2005                                               ,                                ,                                ,8 MARKET STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4LY,,,,,,7500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
15803294692855,,,22.01.2006                                               ,                                ,                                ,1ST & 2ND FLRS                     ,244 YORKSHIRE STREET               ,ROCHDALE                        ,LANCS                           ,OL16 2DP,,,,,,2325,STORE AND PREMISES                                          ,Y    ,22.01.2006                                               , ,0,0, 
11273999854254,,,01.08.2014                                               ,                                ,                                ,UNIT 1A SPRINKLER UNIT             ,M K BUSINESS PARK                  ,CRAWFORD STREET                 ,ROCHDALE                        ,OL16 5SA,,,,,,6600,Warehouse and Premises                                      ,     ,                                                         , ,0,0,Y
13574800090067,,,19.03.2014                                               ,                                ,                                ,22 MILKSTONE ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1EB,,,,,,7700,SHOP AND PREMISES                                           ,Y    ,19.03.2014                                               , ,0,0, 
