Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Forwarding Address 1,Forwarding Address 2,Forwarding Address 3,Forwarding Address 4,Forwarding Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
15671X77001105     ,GELDARD ELECTRICAL SUPPLIES LTD ,                                ,17.06.2013                                               ,UNIT 15A                        ,                                ,CANAL SIDE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JB,                                   ,                                   ,                                ,                                ,        ,9500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
15800800250064,GEMCABIN LTD                    ,                                ,01.04.2005                                               ,                                ,                                ,69 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BZ,1 CEDAR SQUARE                     ,BLACKPOOL                          ,                                ,                                ,FY1 1BP ,27750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
31527999165805,GENERAL VACUUM EQUIPMENT LTD    ,                                ,01.04.2005                                               ,GENERAL VACUUM LTD              ,                                ,PILSWORTH ROAD                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TA,UNIT 1                             ,PENNINE BUSINESS PARK              ,PILSWORTH ROAD                  ,HEYWOOD                         ,OL10 2TL,177000,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0,
13298X99173117     ,GENESIS DAY CARE NURSERY LTD    ,                                ,03.11.2008                                               ,SUPERTOTS NURSERY               ,                                ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HJ,SUPERTOTS NURSERY                  ,MANCHESTER ROAD                    ,ROCHDALE LANCASHIRE             ,                                ,OL11 4HJ,20500,DAY NURSERY AND PREMISES                                    ,     ,                                                         , ,0,0,
50337899174416,GENESIS DAY CARE NURSERY LTD    ,                                ,01.04.2005                                               ,                                ,                                ,23 CLIFTON STREET                  ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HP,23 CLIFTON STREET                  ,MILNROW                            ,ROCHDALE LANCASHIRE             ,                                ,OL16 4HP,9700,DAY NURSERY AND PREMISES                                    ,     ,                                                         , ,0,0, 
20103500080091,GENUS (UK) LTD T/A SELECT       ,                                ,13.06.2014                                               ,UNIT 10G MIDDLETON SHOPPING     ,CENTRE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 4EL ,ALPHA HOUSE                        ,REGIS ROAD                         ,KENTISH TOWN                    ,LONDON                          ,NW5 3EW ,85000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
15523099188129,GENUS UK LTD T/A SELECT         ,                                ,01.07.2014                                               ,UNIT 19-20                      ,                                ,THE WHEATSHEAF CENTRE              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,ALPHA HOUSE                        ,REGIS ROAD                         ,KENTISH TOWN                    ,LONDON                          ,NW5 3EW ,52000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
22206501200069,GEOMETRIC FURNITURE LTD         ,                                ,07.09.2005                                               ,GEOMETRIC HOUSE                 ,                                ,TOWNLEY STREET                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AT ,GEOMETRIC HOUSE                    ,TOWNLEY STREET                     ,MIDDLETON                       ,MANCHESTER                      ,M24 1AT ,342500,"WAREHOUSE, WORKSHOP AND PREMISES                            ",     ,                                                         , ,0,0,
21708400050072,GEOMETRIC PROPERTIES LTD        ,                                ,20.06.2008                                               ,                                ,                                ,127 OLDHAM ROAD                    ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AU ,GEOMETRIC HOUSE                    ,TOWNLEY STREET                     ,MIDDLETON                       ,MANCHESTER                      ,M24 1AT ,11750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
21468693117009,GEORGE WALKER TRANSPORT M/CR LTD,T/A PALLETWAYS MANCHESTER       ,01.06.2006                                               ,UNIT 2 RHODES BUSINESS PARK     ,                                ,SILBURN WAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PN ,UNIT 2 RHODES BUSINESS PARK        ,SILBURN WAY                        ,MIDDLETON                       ,MANCHESTER                      ,M24 4PN ,102000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
1118960007001A     ,GEOTECHNICAL CONTRACTING LLP    ,                                ,19.10.2010                                               ,                                ,                                ,234 COLLEGE ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AF,C/O PENNINE DRILLING               ,SERVICES HOUSE                     ,HOLMES ROAD                     ,ROCHDALE                        ,OL12 6AG,8700,Offices and Premises                                        ,     ,                                                         , ,0,0,Y
30764595039121,GES CREATIVE SERVICES LTD       ,                                ,01.01.2013                                               ,UNITS 23 & 24                   ,                                ,PHOENIX CLOSE                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2JG,                                   ,                                   ,                                ,                                ,        ,4700,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
32035694722226,GHH COACH HIRERES LTD T/A GPD   ,TRAVEL                          ,01.10.2013                                               ,COACHMASTERS                    ,                                ,VALE STREET                        ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1PQ,BLAKE HOUSE                        ,11 HIGH STREET                     ,LEES                            ,OLDHAM                          ,OL4 3BH ,3850,LAND USED FOR STORAGE AND PREMISES                          ,     ,                                                         , ,0,0,Y
13940893488153,GIBSONS ACCOUNTANTS LTD         ,                                ,24.06.2009                                               ,                                ,                                ,226 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,226 OLDHAM ROAD                    ,ROCHDALE LANCASHIRE                ,                                ,                                ,OL11 2ER,4100,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0,Y
13937X0224001B     ,GIFTED & TALENTED LTD           ,                                ,05.04.2015                                               ,                                ,                                ,493-495 OLDHAM ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4TF,                                   ,                                   ,                                ,                                ,        ,5700,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
302414004700X7     ,GILLY & CO LTD                  ,                                ,02.04.2015                                               ,                                ,                                ,138 BRIDGE STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QA,16 BRACKEN CLOSE                   ,HEYWOOD                            ,                                ,                                ,OL10 2PD,2900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
302299000400X4     ,GILWOOD (FABRICATORS) LTD       ,                                ,01.04.2005                                               ,G WOOD FABRICATIONS LTD         ,                                ,BRADSHAW STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NZ,GILWOOD FABRICATORS LTD            ,BRADSHAW STREET                    ,HEYWOOD LANCASHIRE              ,                                ,OL10 1PL,61500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
3119510034003B     ,GILWOOD FABRICATORS CO LTD      ,                                ,01.04.2005                                               ,GILWOOD (FABRICATORS) AND CO    ,                                ,MANCHESTER STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NL,GILWOOD (FABRICATORS) COMPANY LTD  ,MANCHESTER STREET                  ,HEYWOOD LANCASHIRE              ,                                ,OL10 1NL,15000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
32122493897878,GJD MANUFACTURING LIMITED       ,                                ,31.10.2005                                               ,UNIT 2                          ,                                ,BIRCH INDUSTRIAL ESTATE            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2SX,UNIT 2                             ,BIRCH INDUSTRIAL ESTATE            ,HEYWOOD LANCASHIRE              ,                                ,OL10 2SZ,38250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,
21864195697339,GL HYDROPONICS                  ,                                ,31.10.2008                                               ,                                ,                                ,66 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,66 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,1475,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
10055596411316,GLAMORGAN RETAIL LIMITED        ,                                ,30.08.2012                                               ,UNIT 3 MAYFIELD PARADE          ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2UE,119 CHORLEY ROAD                   ,SWINTON                            ,MANCHESTER                      ,                                ,M27 4AA ,18000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
21699493669418,GLENBRIDGE INVESTMENTS LTD      ,                                ,24.06.2007                                               ,OFFICE                          ,                                ,1 MIDWAY HOUSE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AG ,OFFICE 3C                          ,MIDWAY HOUSE                       ,MIDDLETON                       ,MANCHESTER                      ,M24 1AG ,13250,OFFICES AND PREMISES                                        ,Y    ,24.06.2007                                               , ,0,0,
21699496516002,GLENBRIDGE INVESTMENTS LTD      ,                                ,24.06.2007                                               ,OFFICE 3A                       ,                                ,MIDWAY HOUSE                       ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AG ,OFFICE 3C                          ,MIDWAY HOUSE                       ,MIDDLETON                       ,MANCHESTER                      ,M24 1AG ,2950,OFFICES AND PREMISES                                        ,Y    ,24.06.2007                                               , ,0,0, 
20829688669324,GLENBRIDGE INVESTMENTS LTD      ,                                ,01.04.2005                                               ,                                ,                                ,36C FOUNTAIN STREET                ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AF ,OFFICE 3                           ,MIDWAY HOUSE FOUNTAIN STREET       ,MANCHESTER                      ,                                ,M24 1AF ,3150,OFFICE AND PREMISES                                         ,Y    ,01.04.2005                                               , ,0,0, 
2169945470561A     ,GLENBRIDGE INVESTMENTS LTD      ,                                ,01.04.2005                                               ,OFFICE                          ,                                ,3 MIDWAY HOUSE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AG ,OFFICE 3C                          ,MIDWAY HOUSE                       ,MIDDLETON                       ,MANCHESTER                      ,M24 1AG ,5000,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
21699400060043,GLENBRIDGE INVESTMENTS LTD      ,                                ,31.03.2016                                               ,UNIT 1 MIDWAY HOUSE             ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 1AG ,OFFICE 3C MIDWAY HOUSE             ,FOUNTAIN STREET                    ,MIDDLETON                       ,MANCHESTER                      ,M24 1AF ,8900,SHOP AND PREMISES                                           ,Y    ,31.03.2016                                               , ,0,0, 
14261096000135,GLOBAL COMPOUNDS LTD            ,                                ,08.07.2014                                               ,                                ,                                ,UNIT LG2 AT UNITS 1-2 ENSOR MILL   ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,EARL BUSINESS CENTRE               ,DOWRY STREET                       ,OLDHAM                          ,                                ,OL8 2PF ,29000,Warehouse and Premises                                      ,     ,                                                         , ,0,0,
209494013400X6     ,GLOBAL DRAW LTD                 ,T/A SG GAMING                   ,01.05.2015                                               ,UNIT 1-5 LINKWAY TRADING ESTATE ,                                ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2AA ,S G HOUSE                          ,1 DUKES GREEN AVENUE               ,FELTHAM                         ,MIDDLESEX                       ,TW14 0LR,144000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
10787977176987,GLOBAL SWITCHGEAR SERVICES LTD  ,                                ,01.11.2011                                               ,UNIT 4D                         ,                                ,BUCKLEY ROAD INDUSTRIAL ESTATE     ,BUCKLEY ROAD                       ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9EF,                                   ,                                   ,                                ,                                ,        ,18000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,
13716696821490,GLOBAL TELECOM EUROPE LTD       ,                                ,01.05.2008                                               ,SUITE F7.5 GLOBE HOUSE          ,                                ,GLOBE PARK MOSS BRIDGE ROAD        ,ROCHDALE                           ,                                ,                                ,OL16 5EB,SUITE F7.5 GLOBE HOUSE             ,GLOBE PARK MOSS BRIDGE ROAD        ,ROCHDALE                        ,                                ,OL16 5EB,1650,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
15560900240241,GLOBE PETS LTD                  ,                                ,01.04.2014                                               ,                                ,                                ,48 WHITWORTH ROAD                  ,ROCHDALE                           ,                                ,                                ,OL12 0EZ,                                   ,                                   ,                                ,                                ,        ,16750,VETERINARY CLINIC & PREMISES                                ,     ,                                                         , ,0,0,
31006300080096,GLOW AND GROW HAIR LIMITED      ,                                ,01.05.2015                                               ,                                ,                                ,11 HORNBY STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1AA,EGERTON HALL                       ,CHAPEL LANE                        ,ASHWORTH                        ,                                ,OL11 5NU,6200,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
30238699171644,GMAP ESTATES LIMITED            ,                                ,01.09.2014                                               ,                                ,                                ,41-43 BRIDGE STREET                ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,2D CHURCH STREET                   ,MORLEY                             ,LEEDS                           ,WEST YORKSHIRE                  ,LS27 8LY,16000,WINE BAR AND PREMISES                                       ,     ,                                                         , ,0,0,
12242990500085,GMC ROCHDALE FIRE SERVICE       ,                                ,08.01.2014                                               ,                                ,                                ,ROCHDALE COMMUNITY FIRE STATION    ,HALIFAX ROAD                       ,ROCHDALE                        ,                                ,OL12 9BD,ROCHDALE COMMUNITY FIRE STATION    ,HALIFAX ROAD                       ,ROCHDALE                        ,                                ,OL12 9BD,95000,FIRE STATION AND PREMISES                                   ,     ,                                                         , ,0,0,
12782799190529,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE1736)                  ,                                ,JOHN STREET                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2HP,P O BOX 429                        ,PORTLAND STREET PICCADILLY GARDENS ,MANCHESTER                      ,                                ,M60 1HX ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190517     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2579) ADJ              ,                                ,ARBURY AVENUE MANCHESTER ROAD      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4LL,P O BOX 429                        ,PORTLAND STREET PICCADILLY GARDENS ,MANCHESTER                      ,                                ,M60 1HX ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190502     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE1715) ADJ WALMSLEY     ,HOUSE                           ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JG,P O BOX 429                        ,PORTLAND STREET PICCADILLY GARDENS ,MANCHESTER                      ,                                ,M60 1HX ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
1329559919049A     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2580) ADJ KING STREET  ,SOUTH                           ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JG,P O BOX 429                        ,PORTLAND STREET PICCADILLY GARDENS ,MANCHESTER                      ,                                ,M60 1HX ,600,AD RIGHT                                                    ,     ,                                                         , ,0,0, 
13295599190485,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2581) ADJ DUNSTERVILLE ,                                ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3RB,P O BOX 429                        ,PORTLAND STREET PICCADILLY GARDENS ,MANCHESTER                      ,                                ,M60 1HX ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
2186419919046A     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2640) ADJ              ,                                ,64 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 3UP ,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISISNG RIGHT                                          ,     ,                                                         , ,0,0, 
21402399190455,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2642) ADJ              ,                                ,NEW LANE                           ,LONG STREET MIDDLETON              ,MANCHESTER                      ,                                ,M24 3UQ ,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
21399299190435,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2644) OPP NEW INN      ,                                ,LONG STREET                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 3UG ,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
3029899919059B     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3493) OPP HEADY HILL   ,ROAD                            ,BURY NEW ROAD                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4RG,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
30292X99190581     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3489) OPP ROSE         ,                                ,HILL STREET BURY STREET            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QT,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
30292X99190577     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3230) ADJ              ,                                ,PEEL STREET BURY STREET            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QF,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT.                                          ,     ,                                                         , ,0,0, 
31183X99190562     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2619) OPP              ,                                ,TWIN STREET MANCHESTER ROAD        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2AH,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
31183X99190558     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2615) OPP              ,                                ,HOPWOOD AVENUE MANCHESTER ROAD     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2PP,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
3118649919054A     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE2611) ADJ              ,                                ,BADER DRIVE MANCHESTER ROAD        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2PL,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
30877399190602,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3495) ADJ BRIDGE INN   ,                                ,BURY NEW ROAD HEAP BRIDGE          ,BURY                               ,LANCASHIRE                      ,                                ,BL9 7HR ,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
30289199190425,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3488) ADJ ROSE         ,                                ,HILL STREET BURY STREET            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HP,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADSHEL                                                      ,     ,                                                         , ,0,0, 
15803299190335,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3327) OPP              ,                                ,RUGBY ROAD YORKSHIRE STREET        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2EF,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
15803299190299,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3332) ADJ T/HEAD CAR   ,PARK                            ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DR,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
12239099190288,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE3324) OPP              ,                                ,COOK STREET HALIFAX ROAD           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9BD,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
12239099190273,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE 3318) ADJ LIBRARY     ,                                ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9SE,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190269     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE0340) ADJ              ,                                ,ABBOTT STREET MANCHESTER ROAD      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AE,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190254     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE1847) ADJ              ,                                ,BOLTON ROAD MANCHESTER ROAD        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4PE,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
1329559919024A     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE0339) OPP              ,                                ,NIXON STREET MANCHESTER ROAD       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AD,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
12239099190235,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE 3325) OPP             ,                                ,ROTHWELL STREET HALIFAX ROAD       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2NL,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
12242999190224,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE 3319) MILLGATE        ,                                ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2NT,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190216     ,GMPTE                           ,                                ,01.04.2005                                               ,ADJ 858                         ,                                ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2SP,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13298X99190199     ,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE0338) ADJ              ,                                ,KESWICK STREET MANCHESTER ROAD     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AA,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
13295599190184,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE0337) OPP              ,                                ,KESWICK STREET MANCHESTER ROAD     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3AA,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISING RIGHT                                           ,     ,                                                         , ,0,0, 
21534398449026,GMPTE                           ,                                ,30.07.2005                                               ,MIDDLETON BUS STATION           ,                                ,MIDDLETON WAY                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4DP ,PROPERTY INFORMATION OFFICER       ,TRANSPORT FOR GREATER MANCHESTER   ,2 PICCADILLY PLACE              ,MANCHESTER                      ,M1 3BG  ,155000,BUS STATION AND PREMISES                                    ,     ,                                                         , ,0,0,
11774399191445,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE1705)                  ,                                ,TOWN HALL SQUARE                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1AH,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,800,ADVERTISING RIGHT AND PREMISES                              ,     ,                                                         , ,0,0, 
21861799190207,GMPTE                           ,                                ,01.04.2005                                               ,GMPTE (NE 0318) OPP             ,                                ,750 ROCHDALE ROAD                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RA ,2 PICCADILLY PLACE                 ,MANCHESTER                         ,                                ,                                ,M1 3BG  ,600,ADVERTISISNG RIGHT                                          ,     ,                                                         , ,0,0, 
41711500010086,GNG FOAM CONVERTERS LTD         ,                                ,01.04.2005                                               ,G N G CONVERTERS (LANCS) LTD    ,                                ,TODMORDEN ROAD                     ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AH,                                   ,                                   ,                                ,                                ,        ,10000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
41642293210159,GNG FOAM CONVERTORS LTD         ,                                ,01.07.2011                                               ,UNIT 4                          ,                                ,PENNDALE INDUSTRIAL ESTATE         ,TODMORDEN ROAD                     ,LITTLEBOROUGH                   ,LANCS                           ,OL15 9EG,                                   ,                                   ,                                ,                                ,        ,12750,Workshop and Premises                                       ,     ,                                                         , ,0,0,
13937X98134617     ,GO LOCAL RC LTD                 ,                                ,01.04.2014                                               ,                                ,                                ,GND FLR 293C OLDHAM ROAD           ,ROCHDALE                           ,                                ,                                ,OL16 5JG,                                   ,                                   ,                                ,                                ,        ,12000,Shop and Premises                                           ,     ,                                                         , ,0,0,
13118900020056,GOING PLACES LEISURE TRAVEL LTD ,                                ,01.04.2005                                               ,                                ,                                ,2-3 LORD SQUARE                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1ED,THOMAS COOKE BUSINESS PARK         ,ESTATES UNITS 15-16                ,CONINGSBY ROAD                  ,PETERBOROUGH                    ,PE3 8SB ,41250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,
15803200530057,GOOD COMPANIONS ROCHDALE LTD    ,                                ,13.04.2015                                               ,                                ,                                ,104A YORKSHIRE STREET              ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JY,                                   ,                                   ,                                ,                                ,        ,3800,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
1371660001008A     ,GORDON RIGG (NURSERIES) LTD     ,                                ,01.04.2005                                               ,GORDON RIGG NURSERIES           ,                                ,MOSS BRIDGE ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4UX,CALDERBANK NURSERIES               ,WALSDEN                            ,TODMORDEN                       ,                                ,OL14 7TJ,159000,GARDEN CENTRE AND PREMISES                                  ,     ,                                                         , ,0,0,
