Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",455,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2500,Warehouse And Premises,Rateable Value below threshold
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,,860,Workshop And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212761,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1300,Store And Premises,Listed Building
Shaw Lodge Mills Ltd,"Office G3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526753,"Reedham House, 31 King Street, Manchester, M3 2PJ",2150,Offices and Premises,Listed Building
Shaw Lodge Mills Ltd,"Office G7 Shaw Lodge House, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526721,"Reedham House, 31 King Street, Manchester, M3 2PJ",990,Office,Listed Building
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2400,Store And Premises,Empty Property - RV < 15000
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1900,Warehouse And Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"Level 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526737,"Reedham House, 31 King Street, Manchester, M3 2PJ",8400,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 2 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526707,"Reedham House, 31 King Street, Manchester, M3 2PJ",2450,Warehouse And Premises,Listed Building
Blackshaw Holdings Ltd,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056742,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 28 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056741,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,,2075,Offices and Premises,Empty Property - RV < 15000
Shaw Lodge Mills Ltd,"Office F3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526756,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
Warmco Space Heating Ltd,"Unoff Address Units 4DEFGH, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",5500,Offices and Premises,Empty Relief - Post 01/04/2008
Pennine Housing 2000,"120 Oak Avenue, Todmorden, OL14 5PD",78340120,"Bull Green House, Bull Green, Halifax, HX1 2EB",2425,Shop and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unofficial Address, Unit 201 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2125,Office and Premises,Rateable Value below threshold
,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",64172003,,1825,Shop and Premises,Rateable Value below threshold
Resource Medical (Uk) Ltd,"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",64004701,"C/O Mr Zulfkar Ahmed, 2 Carlton Avenue, Batley, WF17 7AQ",13750,Public House and Premises,Empty Relief - Post 01/04/2008
,"4 Huddersfield Road, Brighouse, HD6 1JZ",29344004,,11250,Shop and Premises,Empty Relief - Post 01/04/2008
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276708,"295 Kings Road, London, SW3 5EP",10000,Offices and Premises,Listed Building
,"Office Suite D 248, Dean Clough Office Park, Halifax, HX3 5AX",64788735,,1225,Office,Rateable Value below threshold
Bizspace Ltd,"Unit 16C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628836,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2025,Office,Rateable Value below threshold
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",56000,Public House and Premises,Empty Relief - Post 01/04/2008
,"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",64756736,,5100,Shop and Premises,Listed Building
Heathleigh Ltd,"Compound Opp Unit 17, Woodman Works, South Lane, Elland               HX5 0PA",56220783,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",2050,Land Used For Storage and Premises,Empty Property - RV < 15000
Nutclough Mill Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176002,"3 Richmond House, Caldene Business Park, Mytholmroyd, Hebden Bridge, HX7 5QJ",7400,Surgery And Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",6400,Warehouse And Premises,Empty Relief - Post 01/04/2008
Rosehill Polymers Ltd,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",77644721,"Rose Hill Mills, Beech Road, Sowerby Bridge, HX6 2JT",83000,Factory and Premises,Empty Relief - Post 01/04/2008
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Industrial Supplies Todmorden Ltd,"St Aidans Arts, Bacup Road, Todmorden, OL14 7PJ",78024757,"Part 1st Floor, St Aidans Works, Bacup Road, Todmorden, OL14 7PJ",3600,Workshop And Premises,Empty Relief - Post 01/04/2008
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",5800,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 102, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420750,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2700,Offices and Premises,Empty Property - RV < 15000
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",9500,Offices and Premises,Listed Building
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,11000,Shop and Premises,Empty Relief - Post 01/04/2008
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",2200,Shop and Premises,Rateable Value below threshold
,"90 Parkinson Lane, Halifax, HX1 3QH",68224090,,2325,Shop and Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"The Design Studios, Shaw Lodge Mill Room F1/G4, Shaw Lane, Halifax              HX3 9ET",68526722,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",22500,Shop and Premises,Empty Relief - Post 01/04/2008
