Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Due West Ltd,"50 Southgate, Halifax, HX1 1DL",68652050,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",12750,Shop and Premises,Awaiting occupation
Kino & Co,"Office Hm 3.11-3.15, Holmfield Mills, Holdsworth Road, Holmfield",65344502,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",50500,Offices and Premises,Awaiting occupation
Canal & River Trust,"Calder Suite, 1ST Floor No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",77128747,"C/O Lambert Smith Hampton, 9 Bond Court, Leeds, LS1 2JZ",5700,Offices And Premises,Awaiting occupation
Calderdale Mbc,"29 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252727,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Landowne Ltd,"7 Crossley Street, Halifax, HX1 1UG",64748007,"Fao Marjorie Binns, The Estate Office, Ashgrove House, Elland Road, Elland, HX5 9JB",10250,Offices and Premises,Listed Building
Pennine Housing 2000 Ltd,"7 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196007,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2750,Shop and Premises,Rateable Value below threshold
,"2 Bank Terrace, Luddenden, Halifax, HX2 6PJ",64140001,,2050,Shop and Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Cellar Store 1, Borough Market, Halifax, HX1 1DZ",64288770,"19 Albion Street, Halifax, HX1 1DU",149,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Cellar Store 4, Borough Market, Halifax, HX1 1DZ",64288773,"19 Albion Street, Halifax, HX1 1DU",149,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Balcony Store 32, Borough Market, Halifax, HX1 1DZ",64288804,"19 Albion Street, Halifax, HX1 1DU",133,Store And Premises,Rateable Value below threshold
,"Basement Unit 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",76256731,,430,Store And Premises,Rateable Value below threshold
Pennine Housing 2000 Ltd,"122 Oak Avenue, Todmorden, OL14 5PD",78340122,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",2700,Post Office And Premises,Rateable Value below threshold
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472709,,2400,Warehouse And Premises,Rateable Value below threshold
Butterworth Properties Ltd,"Part Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",76420715,"The Paddock, Old Town Mill, Wadsworth, Hebden Bridge, HX7 8SW",1800,Warehouse And Premises,Rateable Value below threshold
Calderdale Mbc Land & Property Services,"Former Music School, Wellesley Park, Gibbet Street, Halifax              HX2 0BA",65164854,"Building Consultancy, Westgate House, Westgate, Halifax, HX1 1PS",8000,Offices and Premises,Listed Building
,"43 Hanson Lane, Halifax, HX1 5NX",65264720,,1600,Shop and Premises,Rateable Value below threshold
City Centre Restaurants (Uk) Ltd,"21 Crossley Street, Halifax, HX1 1UG",64748021,"5-7 Marshalsea Road Borough, London, SE1 1EP",13500,Offices and Premises,Listed Building
,"Second & Third Floors, 51 Crown Street, Halifax, HX1 1JB",64756737,,1950,Offices and Premises,Listed Building
,"Unit 12b, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164733,,830,Store And Premises,Rateable Value below threshold
,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088872,,2000,Factory and Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352707,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1775,Garage And Premises,Listed Building
Binns & Sons (Greetland) Ltd,"4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",68444733,"The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",1150,Aerobics Studio And Premises,Rateable Value below threshold
Binns & Sons (Greetland) Ltd,"Pt 4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",68444742,"The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",1550,Warehouse And Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D175, Dean Clough, Halifax, HX3 5AX",64788805,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",12750,Office,Listed Building
City Centre Restaurants (Uk) Ltd,"Above Waterhouse Street, Halifax, HX1 1UG",69304704,"5-7 Marshalsea Road Borough, London, SE1 1EP",1450,Store And Premises,Listed Building
Calder Brook Estates Ltd,"Unit 5, Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN",68132753,"C/O Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",1725,Store,Rateable Value below threshold
Calderdale Mbc,"5 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252736,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",900,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Part Ground & First Floors, Wilkin Royd Mills, Mill Lane, Brighouse           HD6 1PN",29648707,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1450,Store And Premises,Rateable Value below threshold
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132764,"Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",3000,Workshop And Premises,Empty Relief - Post 01/04/2008
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132763,"Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",9500,Workshop And Premises,Empty Relief - Post 01/04/2008
Towngate Plc,"Part Ground Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",29656736,"C/O Sanderson Weatherall Llp, 25 Wellington Street, Leeds, LS1 4WG",4300,Store And Premises,Empty Relief - Post 01/04/2008
,"42/44 Bridge End, Brighouse, HD6 3DS",29092708,,6000,Workshop And Premises,Empty Relief - Post 01/04/2008
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Site Ref H D 0017, Clough Lane, Rastrick             HD6 3QL",29184706,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",8100,Communication Station and Premises,Unoccupied Land
Due West Ltd,"Part Ground Floor, 14 Horton Street, Halifax, HX1 1PU",65388014,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",790,Store And Premises,Rateable Value below threshold
,"29 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624703,,5800,Shop and Premises,Empty Relief - Post 01/04/2008
Royds Properties Ltd,"First Floor Unit 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",56196743,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",5500,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Part 1ST Floor, Thornton Works, Fenton Road, Halifax             HX1 3PP",65072710,,2950,Workshop And Premises,Empty Relief - Post 01/04/2008
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900704,"C/O Mr P Hutchinson, 5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",4000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",69352706,"A Johnson - Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",13000,Offices and Premises,Empty Relief - Post 01/04/2008
Gallyville Ltd (In Liquidation),"1ST Floor, Southgate House, Wards End, Halifax              HX1 1BX",69264733,"Inquesta, St John's Terrace, 11-15 New Road, Manchester, M26 1LS",45000,Offices and Premises,Empty Relief - Post 01/04/2008
,"9 Carlton Street, Halifax, HX1 2AL",64488709,,5700,Offices and Premises,Empty Relief - Post 01/04/2008
,"Part 3rd Floor, Mount Pleasant Mill, Mytholmroyd, Hebden Bridge       HX7 5NR",76444706,,1925,Workshop And Premises,Listed Building
Specialised Coatings Holdings Ltd,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",65164851,"Units 1-4 Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",11250,Offices and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite E328, Dean Clough Mills, Halifax, HX3 5AX",64778818,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",6000,Office,Listed Building
W H Greenwood (Holdings) Ltd,"Telecommunication Mast, Site Ref H X 0002, Square Road, Halifax              HX1 1QG",68708718,"9 Newlands Crescent, Halifax, HX3 7HU",4050,Communication Station and Premises,Unoccupied Land
,"Car Sales Site, Junction Of Trimmingham Lane, Burnley Road, Halifax              HX2 7JG",64444707,,1800,Car Sales Site and Premises,Empty Property - RV < 15000
,"8,10 ,12 Crossley Street, Halifax, HX1 1UG",64748714,,36000,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 16E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628791,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1650,Offices and Premises,Rateable Value below threshold
The Administrators Of Unibrook Ltd,"62 Horton Street, Halifax, HX1 1QE",65388062,"Capa Audit & Property Advisors, Audit Department, Po Box 29416, Glasgow, G67 1XU",38000,Showroom And Premises,Company in Administration (Empty)
Everything Everywhere Ltd,"Telecommunication Mast, Site Ref 7040, 1 Shannon Road, Brighouse            HD6 3LF",29668001,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",4300,Communication Station and Premises,Unoccupied Land
Warmco Space Heating Ltd,"Unit 304 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",325,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 101 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",710,Store And Premises,Listed Building
,"2ND Floor, 41A Crown Street, Halifax, HX1 1JB",64756745,,5900,Offices and Premises,Listed Building
,"135 Gibraltar Road, Halifax, HX1 3UH",65168135,,3000,Garage And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Land & Property Services,"60 Rustic, Piece Hall, Halifax, HX1 1RE",68252720,"Northgate House, Northgate, Halifax, HX1 1UN",3150,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"66 Rustic, Piece Hall, Halifax, HX1 1RE",68252718,"Northgate House, Northgate, Halifax, HX1 1UN",2075,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"67 Rustic, Piece Hall, Halifax, HX1 1RE",68252778,"Northgate House, Northgate, Halifax, HX1 1UN",3050,Shop and Premises,Listed Building
,"The Pump House, Broad Hollin Farm, Hollins Lane, Ripponden           HX6 4LE",77102700,,1250,Store And Premises,Empty Property - RV < 15000
,"First Floor Room 1, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",29576711,,1925,Offices and Premises,Listed Building
Santander,"First Floor, 24/26 Commercial Street, Brighouse, HD6 1AQ",29196726,"C/O Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",8300,Gym And Premises,Empty Relief - Post 01/04/2008
,"4 Savile Park Street, Halifax, HX1 3DX",68476004,,2500,Shop and Premises,Rateable Value below threshold
,"32 Pellon Lane, Halifax, HX1 5SP",68236032,,1025,Store And Premises,Empty Property - RV < 15000
Ladyship Estates Ltd,"David Beck Stone Yard, Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132743,"C/O John Crossley Carpets Ltd, Bankfield Works, Haley Hill, Halifax, HX3 6ED",1775,Land Used For Vehicle Training,Rateable Value below threshold
Dean Clough Ltd,"Part 4TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",64778797,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",128000,Offices and Premises,Listed Building
Calderdale Mbc,"Art Galleries, Piece Hall, Halifax, HX1 1RE",68252795,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",7600,Art Gallery And Premises,Listed Building
Finn Gledhill & Co,"2 Harrison Road, Halifax, HX1 2AG",65276724,"1/3 Harrison Road, Halifax, HX1 2AG",23500,Offices and Premises,Listed Building
Marrtree Investments Limited,"Unit 23, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080777,"4a Greengate, Cadale Park, Harrogate, HG3 1GY",1150,Land Used For Storage and Premises,Rateable Value below threshold
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264744,,1825,Store And Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 22 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056751,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2000,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 23 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056752,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",4200,Offices and Premises,Empty Relief - Post 01/04/2008
Westfield Properties,"Unit 1, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164729,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",2200,Workshop And Premises,Empty Property - RV < 15000
Units To Let [Northern] Ltd,"Part 1ST & 2ND Floor, Unit 18 Mill House Works, Triangle, Sowerby Bridge       HX6 3LN",77352751,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",940,Store And Premises,Empty Property - RV < 15000
Kino & Co,"Office H M 2.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344881,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1550,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 301 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212741,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",310,Store And Premises,Rateable Value below threshold
Setbray Properties Ltd,"(Unoff Add)Suite 3 1ST Floor, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552759,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",17000,Offices and Premises,Empty Relief - Post 01/04/2008
Shaw Lodge Mills Ltd,"LEVEL-1 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526705,"Reedham House, 31 King Street, Manchester, M3 2PJ",5200,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level - 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526734,"Reedham House, 31 King Street, Manchester, M3 2PJ",9200,Warehouse And Premises,Listed Building
,"First Floor, 32 Fenton Road, Halifax, HX1 3PP",65072724,,1175,Store And Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",68908712,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2800,Stone Yard And Premises,Unoccupied Land
Shaw Lodge Mills Ltd,"Level 3 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526735,"Reedham House, 31 King Street, Manchester, M3 2PJ",4450,Warehouse And Premises,Listed Building
,"23 Roils Head Road, Halifax, HX2 0NQ",68396023,,2800,Shop and Premises,Rateable Value below threshold
Mobile Broadband Network Ltd,"Telecommunication Mast, Site Ref 99609, Lister Street, Brighouse            HD6 2AH",29670701,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",11750,Communication Station and Premises,Unoccupied Land
Due West Ltd,"Part 1ST & 2ND Floor, 16-18 Union Street, Halifax, HX1 1PR",69144715,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",1050,Store And Premises,Empty Property - RV < 15000
,"55A Halifax Road, Todmorden, OL14 5BB",78192834,,1900,Store And Premises,Rateable Value below threshold
Kino & Co,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344854,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1200,Offices and Premises,Rateable Value below threshold
Swinton Group Ltd,"Fieldhead House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288708,"Attn Andrew Mellor, Swinton House, 6 Great Marlborough Street, Manchester, M1 5SW",30500,Offices and Premises,Empty Relief - Post 01/04/2008
Ramsdens Legal Services Ltd,"Unit 3, 99/101 Birds Royd Lane, Brighouse, HD6 1NG",29052765,"Oakley House, 1 Hungerford Road, Edgerton, Huddersfield, HD3 3AL",13500,Offices and Premises,Empty Relief - Post 01/04/2008
,"Ground Floor, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420729,,6000,Warehouse And Premises,Listed Building
,"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",76420718,,5500,Workshop And Premises,Listed Building
Nutclough Mill Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176709,"3 Richmond House, Caldene Business Park, Mytholmroyd, Hebden Bridge, HX7 5QJ",1875,Store And Premises,Rateable Value below threshold
All Counties Logistics Ltd,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",68308800,"3rd Floor, 207 Regent Street, London, W1B 3HH",77500,Car Showroom And Premises,Empty Relief - Post 01/04/2008
Finestreet Ltd,"21B Back Halifax Road, Todmorden, OL14 5AG",78192770,"21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",2425,Offices and Premises,Empty Property - RV < 15000
Reactiv Media Limited - In Liquidation,"The Warehouse, Elland Wharf, Gas Works Lane, Elland               HX5 9HH",56104710,"Peter Murray, Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG",45250,Offices and Premises,Listed Building
Blackshaw Holdings Ltd,"Office 3 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084822,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1825,Office,Empty Property - RV < 15000
,"6 Savile Park Street, Halifax, HX1 3DX",68476006,,3100,Shop and Premises,Empty Relief - Post 01/04/2008
,"Land Adj. Hartsoil House, Highmoor Lane, Cleckheaton, BD19 6LL",79048704,,7700,Empty Garden Centre and Premises,Empty Relief - Post 01/04/2008
Birds Royd Property Co Ltd,"Office 3 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052747,"C/O R A S Sports, Princess Works, Bird Royd Lane, Brighouse, HD6 1LJ",1700,Offices,Empty Property - RV < 15000
Dean Clough Ltd,"Pt Grd 4TH & 5TH Flrs F Mill, Dean Clough Mills, Halifax, HX3 5AX",64296740,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",302500,Offices and Premises,Listed Building
Industrials Uk Ltd Partnership,"White Lee Estates Office, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",76088829,"C/O Ryden Llp, 3rd Floor Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",1825,Office,Empty Property - RV < 15000
,"Office 3 First Floor, Linden Works, Linden Road, Hebden Bridge        HX7 7DP",76340721,,1225,Offices and Premises,Rateable Value below threshold
,"Arundel Street, Halifax, HX1 4LE",64084704,,2275,Warehouse And Premises,Rateable Value below threshold
,"2nd Floor, Arundel Street, Halifax, HX1 4LE",64084707,,960,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 4C, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124711,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2050,Store And Premises,Empty Property - RV < 15000
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 12, John Street, Halifax, HX1 1YA",64400737,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
Staywarm Uk Limited,"""Unauth Address""  Staywarm, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",65344520,"85 Riley Lane, Bradshaw, Halifax, HX2 9QE",1300,Office and Premises,Rateable Value below threshold
Marshalls Mono Ltd,"West Lane, Southowram, Halifax, HX3 9TW",69352702,"A Johnson - Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",103000,Factory and Premises,Occupation prohibited by law
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 26, John Street, Halifax, HX1 1YA",64400743,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 4, John Street, Halifax, HX1 1YA",64400746,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
Dean Clough Ltd,"4 Seedlings Mount, Cross Hills, Halifax, HX1 1XQ",64716700,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",7700,Warehouse And Premises,Listed Building
,"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",29344836,,46250,Warehouse And Premises,Qualifying industrial hereditament
,"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",68308710,,12750,Warehouse And Premises,Empty Relief - Post 01/04/2008
Thornber Chicks Ltd,"Units 6-7 Hoo Hole Mill, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5JT",76160829,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",8300,Workshop And Premises,Empty Relief - Post 01/04/2008
Halifax Opportunities Trust,"Office 33 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242730,"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",2050,Offices and Premises,Empty Property - RV < 15000
,"Office 24, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452778,,1025,Offices And Premises,Empty Property - RV < 15000
Calderdale Mbc Land & Property Services,"54 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424054,"Northgate House, Northgate, Halifax, HX1 1UN",2475,Shop and Premises,Rateable Value below threshold
,"Unit 10, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",64040746,,8500,Warehouse And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Lgnd Flr Fearnley Mill, Dean Clough Mills, Halifax, HX3 5AX",64778829,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",30000,Offices And Premises,Listed Building
,"Unit 2C, New Delight Works, Boothtown Road, Halifax              HX3 6TU",64284829,,650,Vehicle Repair Workshop And Premises,Empty Property - RV < 15000
Leo Sawrij Ltd,"Swalesmoor Farm (Whse), Swales Moor Road, Halifax, HX3 6UF",68908713,"Swales Moor Farm, Swales Moor Road, Halifax, HX3 6UF",93000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Thornber Chicks Ltd,"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160807,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",7400,Offices and Premises,Empty Relief - Post 01/04/2008
,"18 Water Street, Todmorden, OL14 5AB",78508018,,2600,Shop and Premises,Awaiting occupation
Calderdale Mbc,"Elland Library, Coronation Street, Elland, HX5 0DF",56052709,"Regen & Development, Northgate House, Northgate, Halifax, HX1 1UN",2650,Community Centre And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 4B Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212754,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1250,Store And Premises,Listed Building
V C E P Limited,"Victoria Road, Sowerby Bridge, HX6 3AQ",77624708,"C/O Mr Clive Lloyd, Design & Display Ltd, Lowfield Way, Lowfield Business Park, Elland, HX5 9DA",11500,Workshop And Premises,Empty Relief - Post 01/04/2008
,"19 Roils Head Road, Halifax, HX2 0NQ",68396019,,2600,Shop and Premises,Awaiting occupation
Bizspace Ltd,"Unit 11F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628869,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1250,Offices And Premises,Rateable Value below threshold
Seadrift Offshore Ltd,"Unit 6/6B/6C Commercial Mill, Oldham Road, Ripponden, Sowerby Bridge       HX6 4EB",77408741,"Unit 6 Riverside Mills, Saddleworth Road, Elland, HX5 0RY",5600,Warehouse And Premises,Qualifying industrial hereditament
Ei Group Plc,"Unofficial Address, Harrison Social, 11 Harrison Road, Halifax              HX1 2AF",65276710,"Purchase Ledger Department, Ei Group Plc, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",53000,Public House and Premises,Awaiting occupation
Tyler Projects (Halifax) Ltd In Administration,"Part 1ST Floor, Somerset House, Rawson Street, Halifax              HX1 1NH",68356713,"F.A.O. Julian Pitts, Begbies Traynor, 4th Floor Toronto Square, Toronto Street, Leeds, LS1 2HJ",11000,Restaurant and Premises,Bankrupt / Liquidation / Winding Up Order
New Hope Reformed Church,"New Hope Church, Warley Road, Halifax, HX2 0AD",69276710,"F A O Mr David Truswell, Warley Road, Halifax, HX2 0AD",157,Hall And Premises,Awaiting occupation
,"Office 18, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452777,,1175,Offices and Premises,Empty Property - RV < 15000
Brogan Business Parks Ltd,"Unit R1, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448827,"C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",6100,Offices and Premises,Empty Relief - Post 01/04/2008
Temple Retail Ltd,"35/37 Westgate House, Market Street, Halifax, HX1 1PD",65736707,,55000,Shop and Premises,Empty Relief - Post 01/04/2008
Adhan Property Consultants Ltd,"Unit 5, Salford Industrial Estate, Salford, Todmorden           OL14 5BT",78408784,"Adhan House, 1st Floor, 52a Preston New Road, Blackburn, BB2 6AH",3300,Workshop And Premises,Empty Relief - Post 01/04/2008
,"4 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",64832703,,3800,Shop and Premises,Empty Relief - Post 01/04/2008
,"98 Parkinson Lane, Halifax, HX1 3QH",68224098,,2900,Shop and Premises,Empty Relief - Post 01/04/2008
Flowquip Ltd,"16 Bull Close Lane, Halifax, HX1 2EF",64432016,"Riverside, Canal Road, Sowerby Bridge, HX6 2AY",13250,Offices and Premises,Awaiting occupation
Danish Crown Uk Ltd,"Units 8-9, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",76252816,"57 Stanley Road, Whitefield, Manchester, M45 8GZ",42500,Warehouse And Premises,Qualifying industrial hereditament
Caldene Business Park Ltd,"Unit D1 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",76088870,"Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5QJ",7900,Warehouse And Premises,Qualifying industrial hereditament
Units To Let [Northern] Ltd,"Unit 20/21, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",77024782,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",5300,Workshop And Premises,Qualifying industrial hereditament
Setbray Properties Ltd,"Unit 7, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 7BZ",76552721,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",8100,Workshop And Premises,Qualifying industrial hereditament
,"1ST Floor, 43A Crown Street, Halifax, HX1 1JB",64756719,,2550,Offices and Premises,Listed Building
,"278 Gibbet Street, Halifax, HX1 4LT",65164278,,2850,Shop and Premises,Rateable Value below threshold
,"35 Tillotson Avenue, Sowerby, Sowerby Bridge, HX6 1BX",77592035,,2025,Shop and Premises,Rateable Value below threshold
