"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","G7","48400","61000","Legal Adviser","7.34","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","G6","61200","75200","Senior Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","EO","25150","30000","Legal Officer","11.80","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Private Law & Inquiries Team A5 - General Private Law, Companies, Costs and Inquiries Team","25","AO","21850","23800","Legal Support Officer","14.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","LO","42000","42000","Legal Manager","3.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","G7","48400","61000","Legal Adviser","16.68","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","G6","61200","75200","Senior Legal Adviser","6.39","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","EO","25150","30000","Legal Officer","11.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office","32","AO","21850","23800","Legal Support Officer","5.36","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","69","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","69","G6","61200","75200","Senior Legal Adviser","5.70","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","138","G7","48400","61000","Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","138","G6","61200","75200","Senior Legal Adviser","4.69","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","SEO","36250","43000","Not in Post","2.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","LT","28000","32000","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","HEO","29550","35000","Not in Post","3.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","G7","48400","61000","Not in Post","32.17","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","G6","61200","75200","Not in Post","13.03","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","EO","25150","30000","Not in Post","4.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","AO","21850","23800","Not in Post","1.00","Other"
