"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior policy adviser","9.80","Human resources"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior IT manager","1.00","Information Technology"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Technical Adviser","2.00","Information Technology"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Legal Adviser","2.00","Law"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Operational Manager","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Private Secretary","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Operational Manager","2.89","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior policy adviser","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Project Manager","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Analyst","1.00","Other"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Commercial Manager","9.00","Other"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Analyst","3.00","Other"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Policy Adviser","14.85","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Programme Manager","5.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Analyst","1.81","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior policy adviser","73.33","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Correspondence Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Private Secretary","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Programme Manager","4.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Project Manager","2.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Project Support Officer","4.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior policy adviser","7.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Procurement Officer","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Project Manager","9.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Technical Adviser","2.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Finance Officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Office Manager","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Operational Manager","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Programme Manager","4.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Programme officer manager","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Project Manager","20.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Technical Adviser","1.00","Property and Asset Management"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Analyst","1.00","Social Research"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","A/BAND A","44300","59885","Senior Statistician","1.00","Statisticians"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B/Faststream","27000","35817","Policy Adviser","1.00","Human resources"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B/Faststream","27000","35817","Private Secretary","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B/Faststream","27000","35817","Economist","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B/Faststream","27000","35817","Policy Adviser","11.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B/Faststream","27000","35817","Project Support Officer","2.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Executive Assistant","4.00","Human resources"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Policy Adviser","3.00","Human resources"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Diary Manager","3.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Operations Support Officer","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Project Support Officer","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Executive Assistant","4.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Policy Adviser","3.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Policy Support Officer","6.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Programme support officer","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Project Support Officer","2.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Diary Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Executive Assistant","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Policy Support Officer","1.83","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Project Support Officer","2.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Executive Assistant","2.66","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B1/BAND B1","23557","29795","Programme support officer","2.00","Programme and Project Management (PPM)"
