Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,2006,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG",01/01/04,09/29/06
Hanson Building Products Ltd,-3065.94,-3065.94,2004,"Dodgson Street, Elland, HX5 0PA","6 Dodgson Street (Garage), Elland, Halifax, HX5 0PB",04/01/91,07/21/04
,-25.82,-25.82,2006,"10 Bridge End, Brighouse, HD6 3DH",,11/01/03,03/01/07
Chief Environmental Health Officer,-363.3,-994.84,2002,"Stainland Road, Barkisland, Halifax","Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",04/01/90,03/31/00
,-0.66,-0.66,2012,"15 Borough Market, Halifax, HX1 1DY",,01/26/04,
Calderdale Mbc Adults Health And Social Care,-4837.24,-4837.24,2016,"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG","Attn Janet Green, 1 Park Road, Halifax, HX1 2TU",04/01/00,06/14/16
,-831.45,-2667.52,2006,"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",,08/10/04,08/10/06
,-0.38,-0.38,2012,"40 Towngate, Clifton, Brighouse, HD6 4HS",,04/06/05,
,-7.48,-7.48,2005,"Union Cross Hotel, 12 Old Market, Halifax, HX1 1TN",,09/06/05,01/03/06
Asda Stores Ltd,-1368.55,-6628.3,2015,"Kwiksave, Burnley Road, Todmorden, OL14 7BU","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",03/24/05,02/28/16
Vodafone Ltd,-216.5,-33.69,2011,"Television Mast, Land Near Tinker Hey Farm, North Dean Road, Greetland            HX4 8QA","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",11/01/04,
,-496.83,-1208.55,2011,"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",,06/09/05,06/12/11
,-43.85,-43.85,2010,"7 West Street, Sowerby Bridge, HX6 3AP",,08/27/05,08/26/10
Primesight Ltd,-0.01,113.99,2014,"Advertising Right, Adj Haley Hill Service Stn, Haley Hill, Halifax              HX3 6ED","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",04/01/05,
,-210.07,-210.07,2008,"Unit 2B, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,05/01/05,12/22/08
,-1.03,-1.03,2012,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,07/19/04,
,-263.79,-1534.14,2010,"Old Pond Inn, 15 Spout House Lane, Brighouse, HD6 2PL",,10/18/04,10/27/10
St Malachys Credit Union Ltd,-0.22,-0.22,2012,"26a Illingworth Road, Illingworth, Halifax, HX2 9EN","F.A.O. Mr Stuart Stott, 26a Illingworth Road, Illingworth, HX2 9EN",04/01/06,
D & S Baths Ltd [In Administration],-1998,-4364.05,2007,"Aquarius Building, 190 Hanson Lane, Halifax, HX1 4SD","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU",03/24/06,10/29/08
,-76.66,-76.66,2006,"68 West Street, Sowerby Bridge, HX6 3AP",,04/01/05,02/04/07
,-0.01,363.99,2014,"32 Crown Street, Halifax, HX1 1TT",,11/21/05,
,-71.15,-71.15,2012,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",,04/01/90,12/31/11
,-367.42,-367.42,2012,"3 Common Lane, Southowram, Halifax, HX3 9PA",,01/01/06,
Timber Building Installations Ltd,-3.92,-3.92,2006,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Unit 1, Calder Valley Motors, Burnley Rd, Mytholmroyd, Hebden Bridge, HX7 5AD",09/01/06,04/01/07
,-25.9,-25.9,2006,"Unit 13/14, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,08/03/06,01/30/07
,-12.2,-12.2,2014,"Clarence Brass Works, Aked's Road, Halifax, HX1 2TR",,04/26/06,09/11/14
,-81.18,-81.18,2007,"3 Clare Road, Halifax, HX1 2HX",,04/01/07,03/31/07
