Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
E. Lancs Motor Trade Consultants Ltd,-1062.08,-1062.08,2016,"151 Pellon Lane, Halifax, HX1 5RL","Mr Simon Fielding, 1st Floor, Grimshaw Park Service Station, Grimshaw Park, Blackburn, BB2 3AG",11/12/13,05/30/16
Community Transport Ltd,-120.79,-242.56,2015,"Office 1, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ","Offices 1, 2 & 3, Church Of St John Evangelist, Calder Street, West Vale, HX4 8AQ",04/01/15,
Rockmount Utilities Ltd,-60.35,-60.35,2015,"15 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB","35 Rocky Road, Gilnarhirk, Belfast, Northern Ireland, BT5 7TA",01/04/16,03/03/16
,-0.38,-0.38,2012,"Stainland Road, Stainland, Halifax, HX4 9PD",,02/27/06,
G.H.P Ltd,-2523.7,-2523.7,2015,"Empire House, Mulcture Hall Road, Halifax, HX1 1SP","Empire House, Mulcture Hall Road, Halifax, HX1 1SP",06/01/14,09/22/15
Birds Royd Property Co Ltd,-229.25,-229.25,2014,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH","C/O R A S Sports, Princess Works, Bird Royd Lane, Brighouse, HD6 1LJ",07/01/14,02/28/15
O & M Electrical Services Ltd,-109.83,-109.83,2015,"Unit 2 Providence Works, Queens Road, Halifax, HX1 3NS","Oldroyd Properties Ltd, C/O Burniston, Skircoat Moor Road, Halifax, HX3 0JW",03/01/15,08/31/15
,-60.95,-60.95,2016,"6 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,10/25/15,06/10/16
B W Sipp Trustees Limited,-669.56,-669.56,2014,"Bay 1, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE","C/O Throstle Nest, Warley Wood Lane, Luddendenfoot, Halifax, HX2 6BW",04/01/14,09/07/14
,-113.01,-113.01,2015,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,02/01/15,10/31/15
Graham Construction Limited,-1568.41,-4425.79,2015,"18/20 Square, Halifax, HX1 1RJ",,01/11/16,
Tosca North East Ltd,-11277.04,-11277.04,2015,"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN","Management Ltd, 8 Elmbank Gardens, Charing Cross, Glasgow, G2 4NQ",02/15/15,05/14/15
,-182,728,2015,"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",,02/09/16,
,-263.04,-263.04,2014,"7 Victoria Road, Elland, HX5 0AB",,10/10/14,10/13/14
,-510.63,870.32,2014,"Rawson Arcade, 13 Rawson Street, Halifax, HX1 1NH",,09/18/14,
The Electricity Network Company Ltd,-106.48,-106.48,2016,"Ind Dis Network Operator, Spout House Lane, Brighouse, HD6 2PL","Energy House, Woolpit Business Park, Woolpit, Bury St Edmunds, IP30 9UP",04/01/14,
Davidson Tiles Ltd,-1482.38,-1482.38,2015,"163 King Cross Road, Halifax, HX1 3LN","Ashley House, 415 Halifax Road, Brighouse, HD6 2PD",09/01/15,12/23/15
R H & G Travis & Sons Ltd,-74.37,-74.37,2012,"1a Birds Royd Lane, Brighouse, HD6 1LQ",,04/01/90,
Vodafone Ltd,-277.2,-588,2013,"Telecommunications Mast, Site Ref  3661, Brighouse, HD6 1SP","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",01/01/98,
,-5.4,-5.4,2006,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4EN",,04/01/90,05/07/06
Tote Bookmakers Ltd,-545.55,-545.55,2012,"5 Canal Street, Brighouse, HD6 1NR","Westgate House, Chapel Lane, Wigan, WN3 4HS",07/01/95,10/14/13
Stereosound Productions Ltd T/A Sentra Consumer Products,-3168.87,-3168.87,2002,"Locksley Works, Armytage Road, Brighouse, HD6 1QF",,04/01/90,06/28/90
,-3.63,-3.63,2002,"77 New Hey Road, Brighouse, HD6 3PY",,09/11/98,01/24/99
,-50.53,-50.53,2003,"12 Southgate, Elland, HX5 0BW",,10/01/00,03/14/04
,-374.31,-374.31,2002,"11a Aked's Road, Halifax, HX1 2TR",,03/18/91,10/31/93
,-66.05,-66.05,2004,"120 Albert View, Pellon, Halifax, HX2 0DD",,06/29/94,07/23/04
,-7.18,-7.18,2002,"5 Albion Street, Halifax, HX1 1DU",,04/01/90,06/29/02
Casson & Co Ltd,-262.7,-298.19,2010,"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ","117 Huddersfield Road, Oldham, OL1 3NY",04/01/92,04/30/11
,-0.88,-0.88,2012,"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",,06/01/98,
Hardcastle Bros (Brighouse) Ltd,-0.63,-0.63,2012,"24 Rastrick Common, Brighouse, HD6 3DR","22 Rastrick Common, Brighouse, HD6 8DR",04/01/90,
Brewster Ltd [In Liquidation],-55.16,-55.16,2002,"Grove Inn, 2/4 Tofts Grove Fold, Rastrick, Brighouse           HD6 3NW","C/O Neville Russell, Airedale House, 77 Albion Street, Leeds, LS1 5HT",11/01/97,02/02/98
,-6928,-77567.88,2006,"The Surgery, Burley Street, Elland, HX5 0AQ",,04/01/90,
,-7392,-77567.88,2008,"The Surgery, Burley Street, Elland, HX5 0AQ",,04/01/90,
,-6922.35,-77567.88,2013,"The Surgery, Burley Street, Elland, HX5 0AQ",,04/01/90,
,-88.08,-88.08,2002,"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,12/13/93,09/30/96
Benjamin Whiteley & Sons Ltd,-0.3,-0.3,2012,"Park Road Mills, Park Road, Elland, HX5 9HX","Park Road Mills, Park Road, Elland, HX5 9HX",08/01/01,
Nova Clothing Ltd,-70.68,-70.68,2002,"Unit 5 (3rd Floor), Wellington Mills, Quebec Street, Elland              HX5 9AS",,07/01/94,08/31/97
Tyne Insulation Supplies Ltd,-1197.78,-1197.78,2004,"Unit 19 Woodman Works, South Lane, Elland, HX5 0PA","Unit 6, 30 City Link Industrial Park, Phoenix Way, Bradford, BD4 8JP",10/18/95,01/31/05
,-37.68,-37.68,2016,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",,08/28/92,
Talk Line Communications Ltd[In Liquidation],-406.35,-406.35,2002,"20 Crown Street, Halifax, HX1 1TT","C/O Jennings Johnson, 19 Borough Road, Sunderland, SR1 1LA",03/03/97,11/04/98
V T L [Europe] Ltd,-1612.07,-3645.24,2012,"Cooper House Works, Luddendenfoot, Halifax, HX2 6EL","St Thomas Road, Huddersfield, HD1 3LG",04/01/90,06/07/12
,-23.09,-136.31,2000,"Adjacent Coliseum, Fountain Street, Halifax, HX1 2AB",,11/01/00,03/31/02
Calderdale P C T,-550.6,-18042.06,2008,"Mixenden Stones Surgery, Mixenden Stones, Mixenden, Halifax             HX2 8RQ","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",02/04/00,04/30/08
,-5.37,-5.37,2004,"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",,03/27/98,03/30/05
Brewster Ltd [In Liquidation],-1300.32,-1300.32,2002,"Union Cross Hotel, 12 Old Market, Halifax, HX1 1TN","C/O Neville Russell, Airedale House, 77 Albion Street, Leeds, LS1 5HT",11/01/97,02/02/98
,-70.8,-70.8,2003,"98a Oxford Lane, Siddal, Halifax, HX3 9BJ",,10/02/01,08/09/03
,-154,-154,2002,"21/23 Park Drive, Rochdale Road, Halifax, HX2 7NP",,04/01/90,12/01/91
B B M (Electronic Office)Ltd[In Liquidation],-56.2,-56.2,2002,"Whitehall Chambers, Halifax Road, Hipperholme, Halifax             HX3 8EN","C/O Grant Thornton, [B2688/MEGS/JW/NMH], St Johns Centre, 110 Albion St, Leeds, LS28LA",04/01/90,08/10/93
Saville Machine Tools Ltd,-26.21,-26.21,2002,"Hope Street, Halifax, HX1 5DW","C/O Messrs Coopers & Lybrand, 1 East Parade, Sheffield, S1 2ET",04/01/90,08/06/93
Central Garage (Mirfield)Ltd,-2888.07,-2888.07,2003,"Hanson Lane Garage, 1 Hope Street, Halifax, HX1 5DW",No Forwarding Address,04/01/90,12/04/03
,-14652,-112580.43,2007,"Beechwood Medical Centre, Keighley Road, Halifax, HX2 8AL",,09/01/98,10/13/12
,-208.52,-208.52,2002,"163 King Cross Road, Halifax, HX1 3LN",,04/01/90,03/15/95
,-29.31,-29.31,2002,"58 Rochdale Road, Greetland, Halifax, HX4 8AX",,04/01/92,04/11/99
,-4111.25,-24371.08,2014,"Rosegarth Surgery, Rothwell Mount, Halifax, HX1 2HB",,04/01/90,
Primesight Ltd,-0.02,113.98,2014,"Advertising Right, At Stump Cross Inn, Stump Cross, Halifax             HX3 7AU","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",08/14/00,
B.K Ventures Ltd,-1599.92,-1599.92,2001,"Old Cock Hotel, Halifax, HX1 1DS","The Coiners, 16 Silver Street, Halifax, HX1 1HS",04/02/01,10/28/01
Vodafone Ltd,-277.2,-536.4,2013,"Telecommunications Mast, Site Ref 4628  Shroggs Farm, Sowerby Lane, Luddendenfoot        HX2 6JP","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",09/01/98,
Vodafone Ltd,-288,-536.4,2015,"Telecommunications Mast, Site Ref 4628  Shroggs Farm, Sowerby Lane, Luddendenfoot        HX2 6JP","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",09/01/98,
,-1.62,50.38,2015,"Square Chapel Arts Centre, 10 Square Road, Halifax, HX1 1QG",,05/28/93,
,-219.12,-219.12,2002,"Unit 6, 25 Square Road, Halifax, HX1 1QG",,12/31/99,11/27/01
,-110.6,-490.4,2006,"55 Stainland Road, Greetland, Halifax, HX4 8BD",,04/01/90,03/31/06
,-702.12,-702.12,2004,"42 The Colonnade, Piece Hall, Halifax, HX1 1RE",,09/30/02,06/23/04
,-1.25,-1.13,2012,"52 Market Street, Hebden Bridge, HX7 6AA",,02/15/91,
,-143.6,-143.6,2004,"58 Market Street, Hebden Bridge, HX7 6AA",,11/01/02,09/30/04
Mitaz Ltd,-50.18,-50.18,2003,"13 New Road, Hebden Bridge, HX7 8AD","C/O Mr D Boud, 2 Damems Lane, Keighley, BD22 7AP",06/01/01,04/30/03
,-92.62,-92.62,2004,"Second Floor, Old Town Mill, Wadsworth, Hebden Bridge       HX7 8SP",,06/01/00,09/30/04
,-20.91,-20.91,2008,"Unit 8, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",,11/01/99,01/31/09
,-93.19,-93.19,2002,"224 Halifax Road, Ripponden, Sowerby Bridge, HX6 4BG",,02/04/93,02/04/93
,-2.22,-2.22,2002,"Walnut Street, Halifax, HX1 5JB",,04/01/96,09/30/97
,-1267.71,-699.64,2007,"Horse & Jockey Inn, 301 Warley Road, Halifax, HX2 0AD",,12/15/93,04/24/08
,-0.66,-0.66,2012,"Wellington Garage, Wellington Street West, Halifax, HX1 2TQ",,04/01/90,
Autec Electronics Ltd [In Liquidation],-312.14,-312.14,2002,"Portland House, West Vale, Halifax, HX4 8NY","C/O Jacksons Joliffe Cork, 33 George Street, Wakefield, WF1 1LX",04/01/90,08/21/96
,-2431.92,-5915.41,2006,"Albert Hotel, 3 Albert Street, Hebden Bridge, HX7 8AH",,11/10/99,10/17/06
,-65.68,-65.68,2005,"16a Bridge Gate, Hebden Bridge, HX7 8EX",,04/01/99,06/30/05
,-0.41,-0.41,2012,"4 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,04/01/90,
G Dunkley & Son [H.B] Ltd [In Liquidation],-19.09,-19.09,2002,"3 Carlton House, Crown Street, Hebden Bridge, HX7 8ES","C/O Baker Tilly, Carlton House, Grammar School Street, Bradford, BD1 4NS",10/01/93,07/15/97
,-4.45,-4.45,2002,"22 Town Hall Street, Sowerby Bridge, HX6 2EA",,04/01/97,05/03/99
,-67.9,-67.9,2006,"2nd Floor, Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge      HX6 2EA",,10/01/93,12/15/06
Repack Services Ltd,-662.84,-662.84,2005,"Unit 2 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",02/20/99,10/08/05
,-225.97,-225.97,2005,"Dental Surgery, 92 Wharf Street, Sowerby Bridge, HX6 2AF",,04/01/90,11/01/05
,-35.73,-35.73,2004,"Thornlea East, Holme House Road, Todmorden, OL14 8LD",,04/01/00,12/17/04
Joint Admin Receivers Of Lois Fabric Printing Co Ltd,-7.11,-7.11,2002,"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ","C/O Coopers & Lybrand, Abacus Court, 6 Minshull Street, Manchester, M1 3ED",09/03/94,09/09/94
A C S Products Ltd,-334.32,-334.32,2002,"Units 5 & 7, Penair Works, Mill Fold, Ripponden           HX6 4DJ","Units 5 & 7, Mill Fold, Ripponden, HX6 4DJ",06/30/98,11/30/99
A Kinghorn & Co Ltd-In Receivership,-2184.48,-2184.48,2002,"Hammer Mill, Stackhills Road, Todmorden, OL14 5QW","C/O Messrs Grant Thornton, Heron House, Albert Square, Manchester, M2 5HD",04/01/90,01/06/93
Primesight Ltd,-0.02,113.98,2014,"Crowtrees Garage, Huddersfield Road, Brighouse, HD6 1HA","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",05/01/02,
Continental Books,-40.75,-40.75,2003,"51 Crown Street, Halifax, HX1 1JB","F.A.O. Mr Phillip Rhodes, 51 Crown Street, Halifax, HX1 1JB",07/06/03,01/31/04
,-6.66,-6.66,2006,"Hole In The Wall Inn, Hebden Bridge, HX7 7DD",,08/18/03,04/12/07
Haley Bros [ Builders] Ltd [In Liquidation],-9.64,-9.64,2008,"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ",04/28/03,12/10/08
,-49.51,-49.51,2008,"Office Suite D254, Dean Clough Office Park, Halifax, HX3 5AX",,06/01/04,07/01/08
Brogan Business Parks Ltd,-216.26,443.74,2015,"Unit W8, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",02/01/04,
,-222,-453.41,2003,"2 Langdale Street, Elland, HX5 0JL",,04/01/03,03/31/03
,-228,-453.41,2004,"2 Langdale Street, Elland, HX5 0JL",,04/01/03,03/31/03
,-66,-66,2004,"2ND & 3RD Floors, Blue Note, Bridge Street, Todmorden           OL14 5AQ",,07/01/04,06/30/04
Bar Refreshments [Uk] Ltd,-877.8,-1799.3,2008,"Martins Mill, Pellon Lane, Halifax, HX1 5QJ",No Forwarding Address,01/01/04,03/31/08
,-41.6,-41.6,2005,"5 Clare Road, Halifax, HX1 2HX",,04/01/04,03/31/05
,-16.67,-16.67,2008,"4 South Parade, Stainland, Halifax, HX4 9HW",,03/22/04,06/05/08
,-51.09,-51.09,2007,"Unit 2D Crossley Works, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5EY",,08/01/04,07/01/07
,-50.38,-76.72,2011,"219 King Cross Road, Halifax, HX1 3JL",,03/01/05,03/13/11
,-0.51,-0.51,2012,"Unit 3A, Mitchell Street, Todmorden, OL14 7DW",,04/01/05,
,-27.86,-27.86,2009,"44 Clough Lane, Mixenden, Halifax, HX2 8SN",,04/01/05,06/29/09
,-104.05,-104.05,2005,"Branch House, Saddleworth Road, Barkisland, Halifax              HX4 8NU",,09/23/05,03/19/06
Asda Stores Ltd,-5259.75,-6628.3,2016,"Kwiksave, Burnley Road, Todmorden, OL14 7BU","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",03/24/05,02/28/16
Vodafone Ltd,-240,-33.69,2015,"Television Mast, Land Near Tinker Hey Farm, North Dean Road, Greetland            HX4 8QA","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",11/01/04,
Starway Motorcycles Ltd [In Administration],-91.88,-91.88,2006,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ","C/O Milner Boardman & Partners, Century House, Ashley Road, Hale, WA15 9TG",05/01/05,02/14/07
,-10,-10,2006,"65 Rustic, Piece Hall, Halifax, HX1 1RE",,05/11/05,06/30/06
,-0.34,-0.34,2014,"38 Boothtown Road, Halifax, HX3 6NE",,07/30/05,
,-169.96,-169.96,2005,"Office 7, 162A Haugh Shaw Road, Halifax, HX1 3BG",,01/01/05,12/01/05
Hebden Bridge Brass Band,-0.18,-0.16,2012,"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","Fao Mr Steve Gardiner, Unit 1A, Topland Country Bus Park, Cragg Road, Mytholmroyd, HX7 5RU",08/01/04,
,-1.4,-1.4,2012,"Unit 26, Phoebe Lane Industrial Est., Halifax, HX3 9EX",,09/01/05,
Repack Services Ltd,-4.73,-4.73,2005,"Unit 22 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BS","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",04/01/04,10/08/05
K Hamnett [Machinery Removers],-242.02,-242.02,2007,"Philmar House, Gibbet Street, Halifax, HX2 0AR","Philmar House, Highroad Well Works, Gibbet Street, Halifax, HX2 0AR",04/01/04,06/17/07
,-0.38,-0.38,2012,"3 Tower Hill, Sowerby Bridge, HX6 2EQ",,04/01/06,
,-2.25,305.75,2015,"Culver Works, Hopwood Lane, Halifax, HX1 5ER",,02/01/06,
,-20.45,-20.45,2012,"Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QQ",,07/03/06,
V E S (Halifax) Ltd,-20.96,-20.96,2008,"Listers Road, Halifax, HX3 6AG","The Old Tannery, 224 Spen Lane, Gomersal, Cleckheaton, BD19 4PJ",05/03/06,05/05/08
,-90,-90,2010,"15 Hill Crest, Burnley Road, Sowerby Bridge, HX6 2TJ",,10/01/05,06/30/09
Powder Coaters Ltd [In Liquidation],-1824.66,-1824.66,2004,"Part Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",04/01/04,03/31/04
1st 4 Training Ltd,-30.55,-30.55,2006,"Unit 15B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","12 Prospect Court, Norton Tower, Halifax, HX2 0NR",07/14/05,02/14/07
Nature Cameras Ltd,-0.91,-0.91,2012,"3b Bonegate Road, Brighouse, HD6 1TQ","Fao Mr David Turner, 3b Bonegate Road, Brighouse, HD6 1TQ",11/19/05,
,-20,-50,2006,"196 Rochdale Road, Todmorden, OL14 7NA",,12/19/05,03/31/08
,-1.08,-1.08,2012,"38 Halifax Road, Todmorden, OL14 5QG",,08/21/06,
Admiral Taverns Ltd,-8.6,-8.6,2006,"Big D's, 355 Halifax Road, Todmorden, OL14 5SR","Purchase Ledger Dept, Suite H3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN",09/07/06,03/30/07
Osprey Land & Homes Ltd,-10.68,-10.68,2006,"Health Centre, Thrush Hill Road, Mytholmroyd, Hebden Bridge       HX7 5AQ","2 Park Farm Courtyard, High Easthorpe, Malton, North Yorkshire, YO17 6QX",10/12/06,10/31/06
,-66.32,-66.32,2010,"27 Borough Market, Halifax, HX1 1DY",,10/02/06,03/31/11
,-1088.12,-1088.12,2010,"2 Swine Market, Halifax, HX1 5DT",,12/11/06,08/31/10
Tefonica O2 (Uk) Ltd,-248.4,-786.4,2010,"Telecommunications Mast, Site Ref 37419, Royd Road, Todmorden           OL14 8DW","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",10/04/06,
Tefonica O2 (Uk) Ltd,-259.8,-786.4,2011,"Telecommunications Mast, Site Ref 37419, Royd Road, Todmorden           OL14 8DW","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",10/04/06,
Tefonica O2 (Uk) Ltd,-277.2,-786.4,2013,"Telecommunications Mast, Site Ref 37419, Royd Road, Todmorden           OL14 8DW","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",10/04/06,
Tefonica O2 (Uk) Ltd,-282.6,-786.4,2014,"Telecommunications Mast, Site Ref 37419, Royd Road, Todmorden           OL14 8DW","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",10/04/06,
,-25.28,-25.28,2007,"Heart Gallery Arts Centre, 4 Market Street, Hebden Bridge, HX7 6AA",,10/01/06,09/30/07
Pennine Housing 2000 Ltd,-2304,-5998.65,2015,"3E Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",08/24/06,08/07/13
,-163.59,-766.35,2007,"11/13 Lilly Street, Sowerby Bridge, HX6 3DG",,07/01/07,01/04/08
Calderdale Mbc Children & Young People's Services,-13667.5,-13741.59,2016,"7 Horton Street, Halifax, HX1 1PX","Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",04/01/90,03/29/16
C.C.L Group Ltd [In Administration],-346.5,-899.1,2008,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR",07/06/07,02/02/10
,-27.09,-27.09,2007,"39/41 Thornhill Road, Brighouse, HD6 3AX",,01/05/07,03/12/08
,-166.5,-966.7,2012,"Balcony Store 30, Borough Market, Halifax, HX1 1DZ",,04/01/07,03/31/10
The Bradford T.P.S,-637.76,-637.76,2010,"Bradford T P S, Halifax Road, Shelf, Halifax              HX3 7JT","C/O Halifax V W, Halifax Road, Shelf, Halifax, HX3 7JT",08/01/07,05/31/10
,-118,874,2014,"White Cottage, Cooper Bridge Road, Mirfield, WF14 0BS",,04/01/07,
,-100.56,-100.56,2011,"Bradford Road, Brighouse, HD6 1RY",,05/21/07,01/31/12
Tefonica O2 (Uk) Ltd,-259.05,-666.7,2014,"Telecommunication Mast, Site Ref 18479, Old Lindley Road, Holywell Green       HX4 9DF","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/05,
Tefonica O2 (Uk) Ltd,-264,-666.7,2015,"Telecommunication Mast, Site Ref 18479, Old Lindley Road, Holywell Green       HX4 9DF","Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",04/01/05,
R & A Parcels (Hx) Ltd [Dissolved],-91.28,-91.28,2009,"Unit G6, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF","Ceased To Trade , No Assets., Dissolved",01/03/08,09/15/09
,-589,-589,2008,"Unit 7, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,03/17/08,03/16/08
,-0.55,-0.55,2012,"25A Towngate, Northowram, Halifax, HX3 7DX",,10/15/07,
,-394.64,-394.64,2009,"23 Boothtown Road, Halifax, HX3 6EU",,06/29/07,04/20/10
,-77.06,-77.06,2008,"Unit 11 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,03/01/08,10/04/08
Heritage Cashmere Ltd [In Administration],-29.72,-299.25,2007,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE",02/12/08,05/28/09
Heritage Cashmere Ltd [In Administration],-38.53,-299.25,2009,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE",02/12/08,05/28/09
Design & Display Ltd,-1330.43,-1330.43,2009,"Unit K1 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA","C/O Vcep Investments Llp, Jubilee Way, Grange Moor, Wakefield, WF4 4TD",04/23/08,08/03/08
Pg Control Systems Ltd,-0.22,-0.22,2012,"Unit 9C, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU","Unit 9c, Top Land Country Business Park, Cragg Road , Mytholmroyd, Hebden Bridge, HX7 5RW",08/01/08,
,-110,-110,2008,"Unit J, Atlas Mill Road, Brighouse, HD6 1ES",,01/04/08,11/30/08
,-13.44,-13.44,2008,"Container No. 6, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,04/01/08,01/31/09
,-0.06,-0.06,2012,"18 Albert Street, Hebden Bridge, HX7 8AH",,11/06/08,
Csc Computer Sciences  Ltd,-117.12,-117.12,2011,"Unit SM4 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","Royal Pavilion, Tower 3 Lower Ground Floor, Wellesley Road, Aldershot, Hants, GU11 1PZ",10/01/08,01/31/12
The Elmet Trust Ltd,-87,-87,2016,"1 Aspinall Street, Mytholmroyd, Hebden Bridge, HX7 5NL","19 Centre Vale, Littleborough, OL14 9EL",08/01/08,
,-510.97,-900.19,2011,"Market Stall 5,6-8, Borough Market, Halifax, HX1 1DZ",,12/01/08,11/09/12
,-31.03,-31.03,2008,"114 Commercial Street, Brighouse, HD6 1AQ",,03/20/09,09/30/12
,-194.95,-194.95,2010,"26 Halifax Road, Todmorden, OL14 5QG",,04/01/09,03/31/10
Primesight Ltd,-0.05,95.95,2014,"Advertising Right At Jet, Service Stn (YDUK0702019034), Stainland Road, Greetland            HX4 8BQ","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",04/01/09,
Royds Properties Ltd,-252,840,2013,"First Floor Unit 9, Wellington Mills, Quebec Street, Elland               HX5 9BX","Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",05/01/08,
Id Ess (Retail) Ltd,-341.69,-341.69,2013,"Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX",,05/05/09,11/07/13
,-5.51,-5.51,2010,"38 Gooder Lane, Brighouse, HD6 1HT",,05/06/09,07/12/10
,-3.63,-3.63,2014,"10 Silver Street, Halifax, HX1 1HS",,10/03/13,06/09/14
,-5.34,-5.34,2010,"Old Cragg Hall Barn, Cragg Vale, Hebden Bridge, HX7 5TB",,05/29/09,
Primesight Ltd,-82.39,349.61,2014,"Board No 2183, Gable Of Deal Street, Halifax, HX1 1QX","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",09/01/09,
,-64.15,-64.15,2009,"Unit 1A South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,05/01/09,01/31/10
Primesight Ltd,-37.72,178.28,2014,"Board No 9201, Gable Queens Rd Cash & Carry, Queens Road, Halifax              HX1 3NS","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",09/01/09,
Primesight Ltd,-0.04,407.96,2014,"Advertising Right, 349 Salterhebble Hill, Halifax, HX3 0QA","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",09/01/09,
,-15.15,-15.15,2012,"Unit D Third Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",,04/01/09,10/31/13
,-0.3,-0.3,2012,"621 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,11/18/09,
