Property Address,RATEPAYER,RV,LIABILITY_START
"The Long Chimney, 1 West Street, Sowerby Bridge, HX6 3AN",,2600,11/07/2016
"25 Roils Head Road, Halifax, HX2 0NQ",,1950,01/07/2016
"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",Threadneedle Uk Property Trust,500000,09/07/2016
"33 Market Street, Hebden Bridge, HX7 6EU",,8300,01/04/2016
"Unit 23 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,2000,01/05/2016
"Unit 12 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Ayup Digital Ltd,2050,01/05/2016
"71 Bradford Road, Brighouse, HD6 1RS",Owram Estates Ltd,12000,03/07/2016
"Wainwright Hall, Jepson Lane, Elland, HX5 0PY",C H Property Trstee Bands Capital Limited,4850,19/05/2016
"Unit 10 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,1875,14/10/2015
"Unit 16 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Upper Calder Valley Renaissance (Phase 2) Ltd,1125,18/01/2016
"Unit 6 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Gibbons Associates Ltd,1525,18/01/2016
"19a Crown Street, Hebden Bridge, HX7 8EH",,8600,01/07/2016
"Units 12A & 12B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Calderdale Stairlifts Ltd,2950,01/07/2016
"Storeroom 9 Market Hall, Brook Street, Todmorden, OL14 5AJ",,220,16/05/2016
"Unit 16I & Unit 16J, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",Itv Moorside Ltd,4650,25/01/2016
"Office B18 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",,1625,31/07/2015
"Unit 10, The Ainleys, Huddersfield Road, Elland              HX5 9JR",K & M Hulme Ltd,2650,01/04/2016
"Unit 2A, The Old Arcade, Halifax, HX1 1TJ",Inky Jims Tattoos,6000,01/06/2015
"73 Southgate, Elland, HX5 0DQ",,5300,29/02/2016
"Unit 14C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1025,01/05/2012
"352 Ovenden Road, Halifax, HX3 5TJ",,3550,19/01/2016
"Unit 15, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,4200,01/04/2016
"7a Commercial Street, Brighouse, HD6 1AF",E.P.I.C Plc,4750,09/10/2014
"8 Bull Green, Halifax, HX1 5AB",,22000,29/06/2016
"Offices T01-T03&T05 1ST Flr, Cromwell House, Elland Road, Brighouse            HD6 2RG",Kip McGrath (Brighouse) Lp,5200,01/12/2015
"Units 18A & 18B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Subsidium Recruitment Ltd,3250,01/06/2016
"Unit 16, Station Industrial Park, Station Road, Luddendenfoot        HX2 6AD",Yorkshire Heritage Bus Co. Ltd,26500,12/01/2016
"37 Stainland Road, Greetland, Halifax, HX4 8AD",,1825,01/06/2016
"15a Woolshops, Halifax, HX1 1RU",3 Uk Retail Ltd,7000,01/04/2016
"Unit 11 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Cansquared Ltd,1475,01/06/2016
"Unit 17 Woodman Works, South Lane, Elland, HX5 0PA",Green Valley Arborists Ltd,5800,11/07/2016
"4 Clare Road, Halifax, HX1 2HX",Makin Dixon Solicitors,5400,14/06/2016
"First Floor Unit B8, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",Wayne Fuel Management Uk Ltd,25500,18/04/2016
"Units 1 & 2, The Old Post Office, Station Road, Sowerby Bridge       HX6 3AA",Marmerel Ltd,12250,26/07/2016
"27 Southgate, Halifax, HX1 1DL",Calderdale Mbc Economy & Environment,13750,13/07/2016
"Office 7 James Street Mills, South Lane, Elland, HX5 0HB",Viewstone Ltd,1175,01/03/2014
"Unit T1, Dean Clough Industrial Park, Halifax, HX3 5WL",Dean Clough Ltd,15750,01/11/2013
