Travel Date,No of Passengers,Class of Service,Departure Airport,Destination Airport,Cost of Booking excluding VAT,Airline,Dept.
03/02/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£9.00,British Airways,DFID
19/02/2011,1,ECONOMY                  ,Lon Heathrow,Beirut,£449.00,Middle East Airlines,DFID
04/02/2011,1,ECONOMY                  ,Istanbul,Lon Heathrow,£63.00,Turkish Airlines,DFID
14/01/2011,1,ECONOMY                  ,Montserrat,Antigua,-£861.00,Virgin Atlantic Airways,DFID
13/02/2011,1,ECONOMY                  ,Glasgow,Southampton,£203.96,Flybe,DFID
12/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£64.43,Easyjet,DFID
09/02/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£25.44,Easyjet,DFID
19/01/2011,1,ECONOMY                  ,London City,Zurich,£32.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,London City,Luxembourg,£404.00,Luxair,DFID
31/01/2011,1,ECONOMY                  ,Southampton,Brussels,£39.00,Flybe,DFID
04/02/2011,1,ECONOMY                  ,Baghdad,Istanbul,£248.00,Turkish Airlines,DFID
02/02/2011,1,ECONOMY                  ,Glasgow,Birmingham,£77.00,Flybe,DFID
20/01/2011,1,ECONOMY                  ,Basel-Mulhouse,London City,£514.00,Swiss International Airlines,DFID
12/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£68.89,Easyjet,DFID
13/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£40.44,Easyjet,DFID
13/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£83.00,British Airways,DFID
14/01/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£271.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£87.00,British Airways,DFID
14/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£57.00,British Midland,DFID
07/02/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£7.00,British Midland,DFID
19/01/2011,1,ECONOMY                  ,London City,Geneva,£142.00,Swiss International Airlines,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£73.00,British Airways,DFID
11/01/2011,1,ECONOMY                  ,Lon Heathrow,Baghdad,£364.00,Royal Jordanian,DFID
17/01/2011,1,ECONOMY                  ,Lon Heathrow,Ndjili,£270.00,Ethiopian Airlines,DFID
16/01/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£241.00,British Airways,DFID
24/01/2011,1,FIRST                    ,London City,Geneva,£28.00,Swiss International Airlines,DFID
12/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£34.00,British Airways,DFID
16/01/2011,1,ECONOMY                  ,Manchester,Lon Heathrow,£42.00,British Midland,DFID
21/01/2011,1,ECONOMY                  ,Lon Heathrow,Cape Town,£771.00,British Airways,DFID
15/04/2011,1,ECONOMY                  ,Maputo,Melbourne Vi,£0.00,South African Airways,DFID
15/04/2011,1,ECONOMY                  ,Maputo,Melbourne Vi,£0.00,South African Airways,DFID
21/01/2011,1,ECONOMY                  ,Phnom Penh,Bangkok,£97.00,Bangkok Airways Ltd,DFID
16/01/2011,1,BUSINESS                 ,Lon Heathrow,Lusaka,"£2,998.00",British Airways,DFID
16/01/2011,1,BUSINESS                 ,Lon Heathrow,Lusaka,"£2,998.00",British Airways,DFID
14/01/2011,1,ECONOMY                  ,Belfast Harb,Lon Heathrow,£248.00,British Midland,DFID
20/01/2011,1,ECONOMY                  ,London City,Glasgow,£97.00,British Airways,DFID
11/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£0.00,British Airways,DFID
05/02/2011,1,ECONOMY                  ,Kano,Abuja,£111.00,Virgin Nigeria Airways Ltd,DFID
16/01/2011,1,BUSINESS                 ,Lon Heathrow,Lusaka,"-£2,516.16",British Airways,DFID
01/02/2011,1,BUSINESS                 ,Dubai,Lon Heathrow,"£1,195.00",Virgin Atlantic Airways,DFID
16/01/2011,1,BUSINESS                 ,Lon Heathrow,Lusaka,"£2,489.00",British Airways,DFID
21/01/2011,1,ECONOMY                  ,Lilongwe,Johannesburg,£433.00,South African Airways,DFID
16/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£111.43,Easyjet,DFID
15/04/2011,1,ECONOMY                  ,Maputo,Melbourne Vi,£0.00,South African Airways,DFID
15/04/2011,1,ECONOMY                  ,Maputo,Melbourne Vi,£0.00,South African Airways,DFID
19/01/2011,1,BUSINESS                 ,Lon Heathrow,Phnom Penh,"£2,675.00",Thai Airways International,DFID
07/02/2011,1,ECONOMY                  ,Lon Heathrow,Johannesburg,£340.00,British Airways,DFID
21/01/2011,1,ECONOMY                  ,Lilongwe,Johannesburg,£433.00,South African Airways,DFID
29/01/2011,1,ECONOMY                  ,Lon Heathrow,Kano,£380.00,KLM UK,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£48.74,Easyjet,DFID
11/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£73.49,Easyjet,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£78.00,British Airways,DFID
16/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£872.00,British Airways,DFID
21/01/2011,1,BUSINESS                 ,Lon Heathrow,Sanaa,£700.00,Egyptair,DFID
17/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,"£1,109.00",British Airways,DFID
17/01/2011,1,PREMIUM ECONOMY          ,Lon Heathrow,Nairobi,"£1,781.00",British Airways,DFID
10/01/2011,1,ECONOMY                  ,Lon Heathrow,Islamabad Intl,£15.00,Pakistan Int'L Airlines,DFID
23/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£53.00,British Airways,DFID
17/01/2011,1,ECONOMY                  ,London City,Geneva,£328.00,Swiss International Airlines,DFID
04/02/2011,1,ECONOMY                  ,Lon Gatwick,Edinburgh,£9.00,British Airways,DFID
10/02/2011,1,ECONOMY                  ,Sanaa,Cairo,£0.00,Egyptair,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Beograd,£120.00,JAT,DFID
25/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£61.00,British Airways,DFID
13/01/2011,1,ECONOMY                  ,Birmingham,Islamabad Intl,£865.00,Pakistan Int'L Airlines,DFID
21/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£48.74,Easyjet,DFID
19/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£80.43,Easyjet,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Dubai,£320.00,Emirates,DFID
31/01/2011,1,ECONOMY                  ,Washington National,Kennedy Ny,£59.00,Delta Airlines Inc,DFID
24/01/2011,1,ECONOMY                  ,Sanaa,Lon Heathrow,£181.00,Qatar Airways,DFID
23/01/2011,1,ECONOMY                  ,Glasgow,Dubai,£470.00,Emirates,DFID
28/01/2011,1,ECONOMY                  ,Harare,Lon Heathrow,£462.00,Virgin Atlantic Airways,DFID
19/02/2011,1,ECONOMY                  ,Lon Heathrow,Sanaa,£299.00,Egyptair,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Dubai,£415.00,Emirates,DFID
24/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£32.00,British Midland,DFID
01/02/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,"£2,133.00",Virgin Atlantic Airways,DFID
21/02/2011,1,ECONOMY                  ,Lon Heathrow,Amman,£503.00,Royal Jordanian,DFID
13/01/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£99.00,British Midland,DFID
20/04/2011,1,ECONOMY                  ,Santiago Chile,Buenos Aires Eze,-£637.16,Aerosur,DFID
03/02/2011,1,BUSINESS                 ,Lon Heathrow,Dubai,"£1,437.00",Emirates,DFID
20/04/2011,1,ECONOMY                  ,Santiago Chile,Buenos Aires Eze,£610.00,Aerosur,DFID
31/01/2011,1,ECONOMY                  ,Lon Heathrow,Nairobi,"£1,500.00",Kenya Airways,DFID
17/01/2011,1,ECONOMY                  ,Lon Heathrow,Dar Es Salaam,£175.00,Swiss International Airlines,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£781.00,British Airways,DFID
17/03/2011,1,BUSINESS                 ,Dubai,Lon Heathrow,"£2,296.00",Emirates,DFID
10/02/2011,1,ECONOMY                  ,Delhi,Kabul,£221.00,Indian Airlines,DFID
27/01/2011,1,ECONOMY                  ,Dubai,Delhi,£108.00,Emirates,DFID
14/01/2011,1,ECONOMY                  ,Abuja,Copenhagen,£296.00,Lufthansa German Airlines,DFID
14/01/2011,1,ECONOMY                  ,Abuja,Copenhagen,£296.00,Lufthansa German Airlines,DFID
14/01/2011,1,ECONOMY                  ,Abuja,Copenhagen,£395.00,Lufthansa German Airlines,DFID
26/01/2011,1,ECONOMY                  ,Glasgow,Da Vinci,£336.00,KLM UK,DFID
16/01/2011,1,ECONOMY                  ,Luton Engla,Glasgow,£100.43,Easyjet,DFID
06/02/2011,1,ECONOMY                  ,Nairobi,Lon Heathrow,£413.00,Kenya Airways,DFID
07/02/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£30.00,British Airways,DFID
29/01/2011,1,ECONOMY                  ,Lon Heathrow,Tel Aviv,£52.00,British Airways,DFID
22/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£14.00,British Airways,DFID
02/02/2011,1,ECONOMY                  ,Zurich,Brussels,£646.00,Swiss International Airlines,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Dulles,£781.00,British Airways,DFID
22/01/2011,1,ECONOMY                  ,Dubai,Lon Heathrow,£418.00,Emirates,DFID
18/01/2011,1,ECONOMY                  ,Glasgow,Lon Heathrow,£199.00,British Midland,DFID
24/01/2011,1,PREMIUM ECONOMY          ,Dubai,Lon Heathrow,£367.00,British Airways,DFID
28/01/2011,1,ECONOMY                  ,Accra,Lon Heathrow,£392.00,British Airways,DFID
10/01/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£60.00,British Airways,DFID
19/01/2011,1,ECONOMY                  ,Glasgow,Luton Engla,£31.44,Easyjet,DFID
23/01/2011,1,ECONOMY                  ,Glasgow,Lon Gatwick,£100.00,Easyjet,DFID
18/01/2011,1,ECONOMY                  ,Edinburgh,Geneva,£113.43,Easyjet,DFID
14/01/2011,1,ECONOMY                  ,Lon Heathrow,Dubai,£325.00,Emirates,DFID
23/01/2011,1,ECONOMY                  ,Lon Heathrow,Dushanbe,£634.00,Turkish Airlines,DFID
31/01/2011,1,ECONOMY                  ,Lon Heathrow,Nairobi,"£1,500.00",Kenya Airways,DFID
25/01/2011,1,ECONOMY                  ,Lon Heathrow,Geneva,£181.00,British Airways,DFID
22/01/2011,1,ECONOMY                  ,Lon Heathrow,Dar Es Salaam,£293.00,Swiss International Airlines,DFID
20/01/2011,1,ECONOMY                  ,London City,Glasgow,£54.00,British Airways,DFID
18/01/2011,1,ECONOMY                  ,Lon Heathrow,Kuala Lumpur,£644.00,Malaysia Airlines,DFID
19/01/2011,1,ECONOMY                  ,Kuala Lumpur,Ho Chi Minh,£40.00,Vietnam Airlines UK,DFID
30/01/2011,1,ECONOMY                  ,Lon Gatwick,Zurich,£96.74,Easyjet,DFID
07/02/2011,1,ECONOMY                  ,Lon Heathrow,Glasgow,£10.00,British Airways,DFID
22/01/2011,1,ECONOMY                  ,Lon Gatwick,Glasgow,£14.00,British Airways,DFID
