PLACE-REF,Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,ANALYSIS-CD,RV,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
7262109079,0,117.55,V,120.71,MINRV,0,3.16,0,,0,0,0,CP1,450,EMECH CONSULTANTS LTD,IN LIQUIDATION REF E0214/N/RIW/SM,C/O CAMPBELL CROSSLEY & DAVIS,"GROUND FLOOR, SENECA HOUSE","LINKS POINT, AMY JOHNSON WAY",BLACKPOOL,FY4 2FF,01/04/2005,CAR SPACES (3),EMECH CONSULTANTS LTD,109 SHAW HEATH,STOCKPORT,,SK2 6QR,CAR PARKING SPACE AND PREMISES
7262109199,0,1515.12,V,1555.82,LQ,0,40.7,0,,0,0,0,CO,5800,EMECH CONSULTANTS LTD,IN LIQUIDATION REF E0214/N/RIW/SM,C/O CAMPBELL CROSSLEY & DAVIS,"GROUND FLOOR, SENECA HOUSE","LINKS POINT, AMY JOHNSON WAY",BLACKPOOL,FY4 2FF,31/10/2010,SUITE 6,CARRWOOD HOUSE,109 SHAW HEATH,STOCKPORT,,SK2 6QR,OFFICES AND PREMISES
715010019,0,6292,V,0,,0,169,0,,0,0,0,IF,13000,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,14/05/2010,ADJ PARK SQUARE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,,SK3 0XN,FACTORY AND PREMISES
715010429,0,2904,V,2982,LN,0,78,0,,0,0,0,CP1,6000,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,05/03/2012,CAR SPACES (JACOBS ENGINEERING 1ST FLOOR),PARK SQUARE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0AA,CAR PARKING SPACES
715010549,0,40414,V,0,,0,1085.5,0,,0,0,0,CO,83500,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,05/10/2012,VACANT PT GND FLR PARK SQUARE,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,,SK3 0AA,OFFICES AND PREMISES
2857001149,0,11161.84,V,11461.64,3MTHS,0,299.8,0,,0,0,0,CO,45500,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/12/2014,2ND FLOOR,APPLICON HOUSE,EXCHANGE STREET,DAW BANK,STOCKPORT,SK3 0EY,OFFICES AND PREMISES
2857001529,0,779.7,V,0,,0,20.94,0,,0,0,0,CP1,3500,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,15/07/2016,DNV GL LTD CAR SPACES (10),APPLICON/HIGHBANK HOUSE,EXCHANGE STREET,DAW BANK,STOCKPORT,SK3 0EY,CAR PARKING SPACE
3933200219,0,46948,O,0,,0,1261,0,,0,0,0,CO,97000,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/04/2005,11TH FLOOR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933200259,0,169.4,O,0,,0,0,0,,0,0,0,CP1,350,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/04/2005,CAR SPACE 83,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACE (1)
3933200429,0,847,O,0,,0,0,0,,0,0,0,CP1,1750,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,12/03/2007,CAR SPACES 1-3 & 44 -45,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACES (5)
