Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£2,199.62"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£3,590.13"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£4,191.50"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£2,405.52"
Rochdale,20/05/2014,SWP CONSULTING,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"£8,000.00"
Rochdale,30/05/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"£2,000.00"
Rochdale,30/05/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,"£1,500.00"
Rochdale,30/05/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,HEAD OF SERVICE,£900.00
Rochdale,01/05/2014,THE NATIONAL AUTISTIC SOCIETY,Human Resources,EARLY HELP AND SCHOOLS,HEALTH RELATED SHORT BREAKS,"£2,600.00"
Rochdale,12/05/2014,MICHAEL MANDELSTAM LIMITED,Human Resources,PHYSICAL DIS & OLDER PEOPLE,HIA,£875.00
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,HIGHWAYS CAPITAL INVESTMENT,£583.90
Rochdale,06/05/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,ICT MANAGEMENT,"£3,635.00"
Rochdale,06/05/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,ICT MANAGEMENT,"£1,760.00"
Rochdale,06/05/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,ICT MANAGEMENT,"£1,760.00"
Rochdale,16/05/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,ICT MANAGEMENT,"£3,630.00"
Rochdale,02/05/2014,SYSOP LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,"£1,070.00"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,312.90"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,471.30"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,162.90"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,162.90"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,081.30"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,261.30"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£2,811.90"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£1,639.96"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,162.90"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,081.30"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,424.20"
Rochdale,20/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
Rochdale,20/05/2014,SAFEHOUSES NORTH LIMITED,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,759.99"
Rochdale,28/05/2014,ADOPTION MATTERS,Human Resources,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,£750.00
Rochdale,09/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£5,207.58"
Rochdale,13/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£5,207.58"
Rochdale,15/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£528.00
Rochdale,15/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,£633.60
Rochdale,01/05/2014,THE NATIONAL AUTISTIC SOCIETY,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£1,248.22"
Rochdale,30/05/2014,THE NATIONAL AUTISTIC SOCIETY,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,"£1,267.98"
Rochdale,12/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,012.00"
Rochdale,12/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£607.20
Rochdale,15/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£802.80
Rochdale,28/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£607.20
Rochdale,01/05/2014,MENCAP,Human Resources,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,"£5,207.58"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,LITIGATION SECTION,"£3,228.73"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,LITIGATION SECTION,"£6,103.40"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,LITIGATION SECTION,"£4,170.90"
Rochdale,14/05/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,600.00"
Rochdale,14/05/2014,TIMOTHY JAMES CONSULTANCY LTD,Human Resources,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£2,000.00"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,MERIT SOUTH,£621.66
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,MIDD PIF & TOWNSHIP FUNDING STREET SERV,"£1,599.45"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,MIDD PIF & TOWNSHIP FUNDING STREET SERV,"£5,101.78"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,OPERATIONAL MANAGER 1 H & C,"£1,397.09"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,OTHER CWDC FUNDS,"£3,273.01"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,OTHER CWDC FUNDS,"£1,819.04"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,OTHER CWDC FUNDS,"£4,106.78"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,OTHER CWDC FUNDS,"£3,930.22"
Rochdale,29/05/2014,SELIMA,Human Resources,CUSTOMERS & CORPORATE SERVICES,PAYROLL,"£2,490.00"
Rochdale,14/05/2014,TSL EDUCATION LIMITED,Human Resources,EARLY HELP AND SCHOOLS,PERSONNEL,£699.12
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,"£1,135.35"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£1,780.24"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£6,490.59"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£1,993.56"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£2,488.49"
Rochdale,22/05/2014,LOCAL GOVERNMENT ASSOCIATION,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£3,290.96"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROJECT TEAM,"£2,985.96"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROJECT TEAM,"£1,630.09"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROJECT TEAM,"£1,684.44"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROJECT TEAM,"£2,314.56"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,RBH GROUNDS MAINTENANCE CONTRACT,"£4,187.54"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,RBH GROUNDS MAINTENANCE CONTRACT,"£3,786.33"
Rochdale,06/05/2014,DOTTED EYES LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£7,220.00"
Rochdale,29/05/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£2,816.98"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£10,532.63"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£8,808.78"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£5,920.56"
Rochdale,14/05/2014,KORUS RECRUITMENT GROUP LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£3,220.00"
Rochdale,27/05/2014,OSCAR ASSOCIATES UK LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£700.00
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,REG ELECTORS GENERAL,£575.94
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,REMODELLING SOCIAL WORK,"£2,200.68"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,REMODELLING SOCIAL WORK,£777.91
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,REMODELLING SOCIAL WORK,"£1,924.00"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,REMODELLING SOCIAL WORK,"£3,088.20"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,ROCH PIF & TOWNSHIP FUNDING FOR STREETS,"£4,873.34"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,ROCH PIF & TOWNSHIP FUNDING FOR STREETS,"£9,510.48"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£4,143.22"
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£9,147.03"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£9,147.40"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£1,862.07"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,SCRUTINY & PERFORMANCE,£531.33
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,SCRUTINY & PERFORMANCE,£519.23
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,SCRUTINY & PERFORMANCE,"£1,124.24"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,SEND PATHFINDER,"£1,719.28"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,SEND PATHFINDER,£586.16
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,STREET LIGHTING CLIENT TEAM,"£1,164.20"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS HEYWOOD RBH,"£1,380.04"
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE RBH,"£7,967.31"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,STRONGER FAMILIES PROGRAMME DELIVERY,£535.90
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,STRONGER FAMILIES PROGRAMME DELIVERY,£559.55
Rochdale,29/04/2014,ORANGEBOX LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,SUCCESSION PLANNING,"£3,597.00"
Rochdale,22/05/2014,REACH TRAINING,Human Resources,PUBLIC HEALTH,SUPPORTING CHANGE & COMMUNITIES,£500.00
Rochdale,14/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,£642.57
Rochdale,15/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£2,450.67"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,702.45"
Rochdale,28/05/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,031.36"
Rochdale,01/05/2014,LPS TRAINING & CONSULTANCY LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£525.00
Rochdale,16/05/2014,LPS TRAINING & CONSULTANCY LTD,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£525.00
Rochdale,01/05/2014,CHILD ACTION NORTHWEST,Human Resources,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"£15,833.33"
Rochdale,29/05/2014,NG BAILEY FACILITIES SERVICES LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£582.20
Rochdale,29/05/2014,SUPPLIES TEAM LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£552.90
Rochdale,08/05/2014,ADT FIRE & SECURITY PLC              (S),Information Communication Technology,PROPERTY AND HIGHWAYS,BALDERSTONE LIBRARY,£591.47
Rochdale,23/05/2014,HENRY ALTY LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£1,126.47"
Rochdale,14/05/2014,AVANQUEST SOLUTIONS UK LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£2,360.00"
Rochdale,14/05/2014,AVANQUEST SOLUTIONS UK LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£30,160.00"
Rochdale,02/05/2014,CYGNIA TECHNOLOGIES,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£3,715.00"
Rochdale,16/05/2014,MAYRISE LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£15,037.50"
Rochdale,21/05/2014,MICROCAD,Information Communication Technology,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£8,963.00"
Rochdale,06/05/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,CAF DEMONSTRATOR,"£20,135.98"
Rochdale,20/05/2014,DUE NORTH,Information Communication Technology,FINANCE SERVICES,CORPORATE PROCUREMENT,"£7,891.50"
Rochdale,29/04/2014,COVERGOLD LIMITED,Information Communication Technology,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£3,250.00"
Rochdale,06/05/2014,LIQUIDLOGIC LTD,Information Communication Technology,EARLY HELP AND SCHOOLS,ECAF,"£5,000.00"
Rochdale,02/05/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,EDIT GENERAL,"£8,761.40"
Rochdale,14/05/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS CAPITAL INVESTMENT,"£27,864.01"
Rochdale,08/05/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS MANAGEMENT,"£1,912.50"
Rochdale,14/05/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,HIGHWAYS MANAGEMENT,"£1,215.00"
Rochdale,06/05/2014,GREY MATTER LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,£698.00
Rochdale,06/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,"£27,058.00"
Rochdale,06/05/2014,XN LEISURE SYSTEMS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ICT OVERHEADS,"£2,400.00"
Rochdale,16/05/2014,PROMPTING PLUS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,KV INVESTIGATION,£500.00
Rochdale,28/05/2014,ADT FIRE & SECURITY PLC              (S),Information Communication Technology,PROPERTY AND HIGHWAYS,LOCK 50,"£1,639.24"
Rochdale,08/05/2014,ARROW BUSINESS COMMUNICATIONS LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,LOCK 50,"£1,010.00"
Rochdale,20/05/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,NETWORK MANAGEMENT,"£3,566.25"
Rochdale,21/05/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,NETWORK MANAGEMENT,"£3,566.25"
Rochdale,08/05/2014,PLANET DATA SOLUTIONS,Information Communication Technology,EARLY HELP AND SCHOOLS,NEWHEY - PLACE PLANNING,"£1,482.00"
Rochdale,08/05/2014,PLANET DATA SOLUTIONS,Information Communication Technology,EARLY HELP AND SCHOOLS,NEWHEY - PLACE PLANNING,"£1,300.00"
Rochdale,08/05/2014,PLANET DATA SOLUTIONS,Information Communication Technology,EARLY HELP AND SCHOOLS,NEWHEY - PLACE PLANNING,"£1,980.00"
Rochdale,16/05/2014,GO2TELECOM,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£2,423.95"
Rochdale,02/05/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£547.07
Rochdale,06/05/2014,MISCO,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£765.57
Rochdale,14/05/2014,SOFTCAT LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£548.00
Rochdale,02/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£4,550.00"
Rochdale,02/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£1,650.00"
Rochdale,02/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£6,882.32"
Rochdale,02/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£825.00
Rochdale,06/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£5,186.90"
Rochdale,06/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£6,335.92"
Rochdale,06/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£9,800.70"
Rochdale,06/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£766.40
Rochdale,14/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£18,680.00"
Rochdale,14/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£11,166.15"
Rochdale,14/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£6,600.00"
Rochdale,14/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£3,300.00"
Rochdale,16/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£12,654.97"
Rochdale,16/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£712.80
Rochdale,27/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£594.00
Rochdale,29/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£648.00
Rochdale,06/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£1,660.00"
Rochdale,06/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£5,820.00"
Rochdale,06/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£1,660.00"
Rochdale,16/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£900.00
Rochdale,20/05/2014,CHARANGA LTD,Information Communication Technology,EARLY HELP AND SCHOOLS,SCHOOLS BUSINESS UNIT,£500.00
Rochdale,28/05/2014,IT GUY AND COM SYSTEMS PLC,Information Communication Technology,LEARNING DIS & MENTAL HEALTH,SE SET UP COSTS,"£1,317.96"
Rochdale,16/05/2014,DSG RETAIL LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,SMALLBRIDGE LIBRARY,£656.64
Rochdale,12/05/2014,COOK HAMMOND & KELL,Information Communication Technology,ECONOMY AND ENVIRONMENT,STRATEGIC PLANNING,£750.00
Rochdale,14/05/2014,COOK HAMMOND & KELL,Information Communication Technology,ECONOMY AND ENVIRONMENT,STRATEGIC PLANNING,£750.00
Rochdale,06/05/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£756.13
Rochdale,27/05/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,114.38"
Rochdale,06/05/2014,BOTTOMLINE TECHNOLOGIES LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£563.20
Rochdale,29/05/2014,CABLE & WIRELESS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£4,008.25"
Rochdale,14/05/2014,DAISY COMMUNICATIONS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,493.16"
Rochdale,29/05/2014,DAISY COMMUNICATIONS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,451.72"
Rochdale,14/05/2014,MICRODEC PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,600.00"
Rochdale,02/05/2014,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£15,161.23"
Rochdale,02/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,518.03"
Rochdale,14/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,524.21"
Rochdale,14/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£2,385.00"
Rochdale,14/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£980.00
Rochdale,14/05/2014,UPDATA INFRASTRUCTURE UK LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,913.57"
