Property Address,RATEPAYER,RV,LIABILITY_START
"Firestation (Empty), Dean Clough Mills, Halifax, HX3 5AX",Romero Insurance Brokers Ltd,16750,28/09/2015
"48 Wharf Street, Sowerby Bridge, HX6 2AE",,5400,01/02/2016
"32 Town Hall Street, Sowerby Bridge, HX6 2EA",,3400,01/02/2016
"Unit 6 Linden Works, Linden Road, Hebden Bridge, HX7 7DP",,2900,01/01/2016
"Stanley Works, Lucy Street, Halifax, HX3 6AL",Associated Waste Management Ltd,18000,15/10/2015
"Office Suite D214, Dean Clough Office Park, Halifax, HX3 5AX",Richard Fowler Associates Ltd,3650,01/02/2016
"Office Hm 3.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,2275,15/10/2015
"Office H M 2.1, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Ccrm Ltd,2550,15/10/2015
"School House, 56 Hopwood Lane, Halifax, HX1 5ER",The Halifax Building Consultancy Limited,42500,08/11/2015
"Unit 17C, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,1675,10/06/2015
"Unit 14B, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,2700,15/06/2015
"36 Clare Road, Halifax, HX1 2HX",Halifax Society For The Blind,12000,25/11/2015
"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF",E.P.I.C Plc,4450,29/02/2016
"260A Halifax Road, Brighouse, HD6 2QG",Grapevine Publications Ltd,2950,01/02/2016
"70 Hopwood Lane, Halifax, HX1 4DG",,2475,26/10/2015
"02 Telecommunications Mast, Rosemount Ind Estate, Huddersfield Road, Elland               HX5 0EE",Telefonica Uk Ltd,8400,01/04/2015
"Bar House, Denholmegate Road, Hipperholme, Halifax              HX3 7SB",,670,01/06/2013
"7A Broad Street Plaza, Halifax, HX1 1UX",Mach Health & Fitness Ltd,16000,01/08/2015
"Unit 1, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,2150,01/06/2015
"Slade Lane Works, Slade Lane, Rastrick, Brighouse           HD6 3PP",A T M S Ltd,14250,16/02/2016
"Unit 2B Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,3350,01/10/2015
"Unit 2B, A1 Business Park, 370 Bradford Road, Brighouse            HD6 4DJ",,4500,01/05/2013
"Unit 2-5, A1 Business Park, 370 Bradford Road, Brighouse            HD6 4DJ",A1 Tools & Fixings Ltd,37000,01/05/2013
"Unit 4B, Catherine Street, Elland, HX5 0EZ",Elland Car Sales Ltd,3200,27/01/2016
"Office Suite G1, Dean Clough Mills, Halifax, HX3 5AX",Plexus Law Ltd,87000,24/11/2015
"Storeroom 16 Market Hall, Brook Street, Todmorden, OL14 5AJ",,16,01/04/2015
"Stall 23 Market Hall, Brook Street, Todmorden, OL14 5AJ",,1375,01/04/2015
"Storeroom 17 Market Hall, Brook Street, Todmorden, OL14 5AJ",,275,01/04/2015
"Unit 12E, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,3600,15/06/2015
"Unit 12C, Holdsworth Road, Halifax, HX3 6SW",Kai Trades Ltd,1300,01/11/2015
"256 Gibbet Street, Halifax, HX1 4LT",,3450,01/01/2016
"Storage & Id Cars, Queens Road Works, Queens Road, Halifax              HX1 3NS",,4000,05/10/2015
"Pennine Prestige, Queens Road Works, Queens Road, Halifax              HX1 3NS",,18750,05/10/2015
"Office 3 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,6200,01/10/2015
"Office 4 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,2225,01/10/2015
"Office 6 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,850,01/10/2015
"Office 2 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,690,01/10/2015
"Office 1 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,490,01/10/2015
"Office 5 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,3150,01/10/2015
"A T Recovery, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,9000,01/04/2015
"Unit 17, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",Aquamat Ltd,6300,22/01/2016
"Unit 20, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",Moderna Business Park Ltd,10000,01/02/2016
"Portacabin Adj, Spring Hall Mansion, Huddersfield Road, Halifax              HX3 0AQ",Hebble Harlequins Ltd,7000,01/04/2015
"5 Halifax Road (Basement), Elland, HX5 0SH",Compass Fostering North West Ltd,2650,01/04/2015
"Land East Of Park Nook Farm, Park Nook, Southowram, Halifax              HX3 9TT",,15500,05/10/2015
"Suite 5 Gf Unit 8 Unauth Add, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 7BZ",,18500,01/02/2016
"3 Park Row, Brighouse, HD6 1AB",Castleford Sofa & Bed Centre Ltd,7900,02/02/2016
"Vine, Victoria Mill, Stainland Road, Greetland            HX4 8AD",Vine Wine Bars Ltd,20500,25/08/2015
"Ind Dist Net Operator, Victoria Road, Hebden Bridge, HX7 8JX",The Electricity Network Company Ltd,96,01/04/2015
"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Intelligent Storage W G C Ltd,4600,03/12/2015
"Unit 18H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Intelligent Storage W G C Ltd,3900,03/12/2015
"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",Intelligent Storage W G C Ltd,5200,27/01/2016
"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Intelligent Storage W G C Ltd,2750,03/12/2015
"Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",Country Coffee Ltd,17500,01/03/2016
"Huddersfield Road, Elland, HX5 9AH",B & M Retail Ltd,170000,07/03/2016
"Tower House Hotel, Master Lane, Halifax, HX2 7DX",Tower House Hotel (Halifax) Ltd,28750,01/03/2016
"Unit W4, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,5000,27/12/2015
"Canal Mills, Elland Bridge, Elland, HX5 0SQ",Ragl Investments Ltd,24500,01/02/2016
"End Of Walnut Street, Halifax, HX1 5JB",,9000,10/02/2016
"56 Huddersfield Road, Elland, HX5 9AA",James Robinson Fibres Ltd,4600,07/03/2016
"""Unauthorised Address"", Unit 11 River Street B/Pk, River Street, Brighouse            HD6 1NL",Warmco Space Heating Ltd,1400,08/03/2013
"1 Catherine Street, Elland, HX5 0EZ",James Robinson Fibres Ltd,7200,07/03/2016
"Victoria Works Business Park, Calder Street, Brighouse, HD6 1LZ",Warmco Space Heating Ltd,66000,01/08/2013
"""Unauthorised Address"", Unit 12 River Street B/Pk, River Street, Brighouse            HD6 1NL",Warmco Space Heating Ltd,2475,01/08/2013
"First Floor Unit B8, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",Royds Properties Ltd,25500,23/01/2016
"Ground Floor, 11 Ryburn Buildings, West Street, Sowerby Bridge       HX6 3AH",,2550,19/01/2016
"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Vine Property Management Ltd,7000,01/02/2016
