Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Postal & Courier,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Performance Management,1,Planning
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,IT Support Officer,1,Information Technology
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Knowledge & Information Management Manager,1,Knowledge and Information Management (KIM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Senior Project Manager,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Quality Management,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Project Manager,3,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Project Manager,13,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Safety Management,3,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Quality Management,5,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Quality Management,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C2,29551,36696,Office Manager,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Office Manager,2,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,D,23661,29383,Supply Chain Management,1,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,E1,18554,22345,Administrative Support,4,Other
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B1,57000,72907,Senior Procurement Officer,1,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Senior Procurement Officer,2,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,B2,48421,60130,Project Manager,1,Programme and Project Management (PPM)
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Procurement Officer,5,Procurement
Ministry of Defence,Ministry of Defence,Head Office and Corporate Services,5654,C1,36004,44711,Project Manager,2,Programme and Project Management (PPM)
